*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
27.000000	0.0155565 	27.000000	0.0151912 	27.000000	0.0148573 	27.000000	0.0148536 	27.000000	0.0151842 	27.000000	7.03098e-06	
29.000000	0.014678  	29.000000	0.0143465 	29.000000	0.0139866 	29.000000	0.0139821 	29.000000	0.01434   	29.000000	6.59061e-06	
31.000000	0.0139045 	31.000000	0.0136009 	31.000000	0.013244  	31.000000	0.0132392 	31.000000	0.0135947 	31.000000	6.20428e-06	
33.000000	0.013218  	33.000000	0.0129376 	33.000000	0.0126105 	33.000000	0.0126043 	33.000000	0.0129317 	33.000000	5.8625e-06	
35.000000	0.0126044 	35.000000	0.0123435 	35.000000	0.012041  	35.000000	0.012035  	35.000000	0.0123379 	35.000000	5.55788e-06	
38.000000	0.0117965 	38.000000	0.01156   	38.000000	0.0112902 	38.000000	0.0112833 	38.000000	0.0115548 	38.000000	5.1582e-06	
41.000000	0.0110986 	41.000000	0.0108819 	41.000000	0.0106389 	41.000000	0.0106318 	41.000000	0.0108771 	41.000000	4.81426e-06	
44.000000	0.0104893 	44.000000	0.0102892 	44.000000	0.0100677 	44.000000	0.0100615 	44.000000	0.0102847 	44.000000	4.51502e-06	
47.000000	0.00995254	47.000000	0.00976647	47.000000	0.00956472	47.000000	0.00955763	47.000000	0.00976222	47.000000	4.25218e-06	
50.000000	0.00947574	50.000000	0.00930184	50.000000	0.00911632	50.000000	0.00910917	50.000000	0.00929783	50.000000	4.01941e-06	
55.000000	0.00878896	55.000000	0.00863225	55.000000	0.00846946	55.000000	0.00846167	55.000000	0.00862856	55.000000	3.68532e-06	
60.000000	0.0082091 	60.000000	0.00806676	60.000000	0.00792081	60.000000	0.00791364	60.000000	0.00806336	60.000000	3.40442e-06	
65.000000	0.00771254	65.000000	0.00758261	65.000000	0.00745083	65.000000	0.00744348	65.000000	0.00757945	65.000000	3.16479e-06	
70.000000	0.00728221	70.000000	0.00716324	70.000000	0.00704292	70.000000	0.00703545	70.000000	0.00716028	70.000000	2.95786e-06	
75.000000	0.00690544	75.000000	0.00679632	75.000000	0.00668472	75.000000	0.00667785	75.000000	0.00679354	75.000000	2.7773e-06	
80.000000	0.00657261	80.000000	0.0064725 	80.000000	0.00636921	80.000000	0.00636174	80.000000	0.00646988	80.000000	2.61829e-06	
85.000000	0.0062763 	85.000000	0.00618453	85.000000	0.0060873 	85.000000	0.00608021	85.000000	0.00618205	85.000000	2.47716e-06	
90.000000	0.00601068	90.000000	0.0059267 	90.000000	0.0058346 	90.000000	0.00582782	90.000000	0.00592435	90.000000	2.35102e-06	
95.000000	0.00577112	95.000000	0.00569447	95.000000	0.00560747	95.000000	0.00560021	95.000000	0.00569224	95.000000	2.23756e-06	
100.000000	0.00555388	100.000000	0.00548418	100.000000	0.00540081	100.000000	0.00539387	100.000000	0.00548205	100.000000	2.13496e-06	
105.000000	0.00535591	105.000000	0.00529283	105.000000	0.00521258	105.000000	0.00520592	105.000000	0.00529079	105.000000	2.04169e-06	
110.000000	0.00517469	110.000000	0.00511794	110.000000	0.0050403 	110.000000	0.00503398	110.000000	0.00511599	110.000000	1.95652e-06	
115.000000	0.00500814	115.000000	0.00495747	115.000000	0.00488262	115.000000	0.00487607	115.000000	0.00495559	115.000000	1.87844e-06	
120.000000	0.00485449	120.000000	0.00480968	120.000000	0.00473722	120.000000	0.00473053	120.000000	0.00480787	120.000000	1.80658e-06	
125.000000	0.00471228	125.000000	0.00467312	125.000000	0.0046023 	125.000000	0.00459595	125.000000	0.00467138	125.000000	1.74022e-06	
130.000000	0.00458023	130.000000	0.00454654	130.000000	0.00447729	130.000000	0.00447113	130.000000	0.00454486	130.000000	1.67874e-06	
135.000000	0.00445727	135.000000	0.00442888	135.000000	0.00436147	135.000000	0.00435504	135.000000	0.00442726	135.000000	1.62162e-06	
140.000000	0.00434246	140.000000	0.00431923	140.000000	0.00425325	140.000000	0.00424679	140.000000	0.00431766	140.000000	1.5684e-06	
145.000000	0.00423501	145.000000	0.00421679	145.000000	0.00415182	145.000000	0.00414561	145.000000	0.00421527	145.000000	1.51869e-06	
150.000000	0.0041342 	150.000000	0.00412086	150.000000	0.00405688	150.000000	0.00405082	150.000000	0.00411939	150.000000	1.47215e-06	
155.000000	0.00399227	155.000000	0.00403084	155.000000	0.00396769	155.000000	0.00396184	155.000000	0.00402942	155.000000	1.42848e-06	
160.000000	0.00390907	160.000000	0.00394621	160.000000	0.00388395	160.000000	0.00387815	160.000000	0.00394482	160.000000	1.38743e-06	
165.000000	0.00383062	165.000000	0.00386648	165.000000	0.00380531	165.000000	0.00379929	165.000000	0.00386513	165.000000	1.34875e-06	
170.000000	0.00375651	170.000000	0.00379124	170.000000	0.00373089	170.000000	0.00372485	170.000000	0.00378992	170.000000	1.31226e-06	
175.000000	0.00368639	175.000000	0.00372012	175.000000	0.00366033	175.000000	0.00365447	175.000000	0.00371884	175.000000	1.27776e-06	
180.000000	0.00361993	180.000000	0.00365279	180.000000	0.00359357	180.000000	0.00358784	180.000000	0.00365155	180.000000	1.24509e-06	
185.000000	0.00355686	185.000000	0.00358896	185.000000	0.00353025	185.000000	0.00352465	185.000000	0.00358775	185.000000	1.21412e-06	
190.000000	0.00349692	190.000000	0.00352836	190.000000	0.00347011	190.000000	0.00346465	190.000000	0.00352718	190.000000	1.1847e-06	
195.000000	0.00343988	195.000000	0.00347075	195.000000	0.00341309	195.000000	0.00340761	195.000000	0.00346959	195.000000	1.15673e-06	
200.000000	0.00338553	200.000000	0.00341591	200.000000	0.00335896	200.000000	0.00335331	200.000000	0.00341478	200.000000	1.1301e-06	
210.000000	0.00328416	210.000000	0.0033138 	210.000000	0.00325774	210.000000	0.0032522 	210.000000	0.00331271	210.000000	1.08049e-06	
220.000000	0.00319152	220.000000	0.00322065	220.000000	0.00316532	220.000000	0.00315997	220.000000	0.00321962	220.000000	1.03519e-06	
230.000000	0.00310651	230.000000	0.00313535	230.000000	0.00308065	230.000000	0.00307551	230.000000	0.00313436	230.000000	9.93678e-07	
240.000000	0.00302823	240.000000	0.00305695	240.000000	0.00300318	240.000000	0.0029979 	240.000000	0.003056  	240.000000	9.55479e-07	
250.000000	0.00295589	250.000000	0.00298465	250.000000	0.00293164	250.000000	0.00292634	250.000000	0.00298373	250.000000	9.2021e-07	
260.000000	0.00288885	260.000000	0.00291776	260.000000	0.00286529	260.000000	0.00286017	260.000000	0.00291687	260.000000	8.87543e-07	
270.000000	0.00282655	270.000000	0.00285571	270.000000	0.00280378	270.000000	0.0027988 	270.000000	0.00285485	270.000000	8.57197e-07	
280.000000	0.00276849	280.000000	0.00279799	280.000000	0.0027466 	280.000000	0.00274175	280.000000	0.00279717	280.000000	8.2893e-07	
290.000000	0.00271426	290.000000	0.00274418	290.000000	0.00269357	290.000000	0.00268858	290.000000	0.00274338	290.000000	8.02532e-07	
300.000000	0.00266349	300.000000	0.00269389	300.000000	0.00264393	300.000000	0.00263891	300.000000	0.00269311	300.000000	7.77823e-07	
310.000000	0.00261587	310.000000	0.0026468 	310.000000	0.0025973 	310.000000	0.00259243	310.000000	0.00264604	310.000000	7.54644e-07	
320.000000	0.00257111	320.000000	0.00260261	320.000000	0.00255362	320.000000	0.00254883	320.000000	0.00260187	320.000000	7.32854e-07	
330.000000	0.00252896	330.000000	0.00256106	330.000000	0.00251254	330.000000	0.00250788	330.000000	0.00256035	330.000000	7.12331e-07	
340.000000	0.00248922	340.000000	0.00252194	340.000000	0.00247395	340.000000	0.00246934	340.000000	0.00252125	340.000000	6.92967e-07	
350.000000	0.00245166	350.000000	0.00248505	350.000000	0.00243774	350.000000	0.00243301	350.000000	0.00248437	350.000000	6.74664e-07	
360.000000	0.00241614	360.000000	0.00245019	360.000000	0.00240348	360.000000	0.00239871	360.000000	0.00244954	360.000000	6.57337e-07	
370.000000	0.00238248	370.000000	0.00241722	370.000000	0.00237096	370.000000	0.00236629	370.000000	0.00241658	370.000000	6.4091e-07	
380.000000	0.00235055	380.000000	0.00238598	380.000000	0.00234019	380.000000	0.0023356 	380.000000	0.00238536	380.000000	6.25312e-07	
390.000000	0.00232022	390.000000	0.00235636	390.000000	0.00231103	390.000000	0.00230651	390.000000	0.00235575	390.000000	6.10482e-07	
400.000000	0.00229138	400.000000	0.00232822	400.000000	0.00228334	400.000000	0.00227891	400.000000	0.00232763	400.000000	5.96363e-07	
410.000000	0.00226392	410.000000	0.00230147	410.000000	0.00225707	410.000000	0.00225268	410.000000	0.00230089	410.000000	5.82906e-07	
420.000000	0.00223775	420.000000	0.00227602	420.000000	0.0022322 	420.000000	0.00222774	420.000000	0.00227545	420.000000	5.70064e-07	
430.000000	0.00221279	430.000000	0.00225176	430.000000	0.00220853	430.000000	0.002204  	430.000000	0.0022512 	430.000000	5.57796e-07	
440.000000	0.00218895	440.000000	0.00222863	440.000000	0.00218588	440.000000	0.00218137	440.000000	0.00222808	440.000000	5.46063e-07	
450.000000	0.00216616	450.000000	0.00220654	450.000000	0.00216422	450.000000	0.00215978	450.000000	0.00220601	450.000000	5.3483e-07	
460.000000	0.00214436	460.000000	0.00218544	460.000000	0.00214355	460.000000	0.00213917	460.000000	0.00218492	460.000000	5.24067e-07	
470.000000	0.0021235 	470.000000	0.00216527	470.000000	0.00212381	470.000000	0.00211948	470.000000	0.00216475	470.000000	5.13743e-07	
480.000000	0.0021035 	480.000000	0.00214596	480.000000	0.00210492	480.000000	0.00210065	480.000000	0.00214545	480.000000	5.03833e-07	
490.000000	0.00208433	490.000000	0.00212746	490.000000	0.00208683	490.000000	0.00208262	490.000000	0.00212697	490.000000	4.94311e-07	
500.000000	0.00206594	500.000000	0.00210974	500.000000	0.00206954	500.000000	0.00206536	500.000000	0.00210925	500.000000	4.85155e-07	
520.000000	0.00203131	520.000000	0.00207642	520.000000	0.00203722	520.000000	0.00203294	520.000000	0.00207595	520.000000	4.67858e-07	
540.000000	0.0019993 	540.000000	0.00204569	540.000000	0.00200737	540.000000	0.00200308	540.000000	0.00204524	540.000000	4.51793e-07	
