*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
33.000000	0.0318088 	33.000000	0.0365102 	33.000000	0.0362737 	33.000000	0.0362795 	33.000000	0.0364934 	33.000000	1.68408e-05
35.000000	0.0303336 	35.000000	0.0347965 	35.000000	0.0345915 	35.000000	0.0345934 	35.000000	0.0347806 	35.000000	1.5961e-05
38.000000	0.0283911 	38.000000	0.0325412 	38.000000	0.032379  	38.000000	0.0323722 	38.000000	0.0325264 	38.000000	1.48072e-05
41.000000	0.0267129 	41.000000	0.0305942 	41.000000	0.0304643 	41.000000	0.0304523 	41.000000	0.0305804 	41.000000	1.38148e-05
44.000000	0.0252474 	44.000000	0.0288955 	44.000000	0.0287902 	44.000000	0.0287753 	44.000000	0.0288825 	44.000000	1.29517e-05
47.000000	0.0239561 	47.000000	0.0273999 	47.000000	0.0273149 	47.000000	0.0272972 	47.000000	0.0273877 	47.000000	1.21939e-05
50.000000	0.0228089 	50.000000	0.0260726 	50.000000	0.0260035 	50.000000	0.0259841 	50.000000	0.0260611 	50.000000	1.15231e-05
55.000000	0.0211564 	55.000000	0.0241631 	55.000000	0.0241183 	55.000000	0.0240924 	55.000000	0.0241525 	55.000000	1.05606e-05
60.000000	0.019761  	60.000000	0.0225535 	60.000000	0.0225228 	60.000000	0.0224954 	60.000000	0.0225437 	60.000000	9.75181e-06
65.000000	0.018566  	65.000000	0.0211775 	65.000000	0.021155  	65.000000	0.0211282 	65.000000	0.0211684 	65.000000	9.06215e-06
70.000000	0.0175303 	70.000000	0.0199872 	70.000000	0.0199726 	70.000000	0.0199441 	70.000000	0.0199788 	70.000000	8.46685e-06
75.000000	0.0166234 	75.000000	0.0189471 	75.000000	0.0189377 	75.000000	0.0189081 	75.000000	0.0189391 	75.000000	7.94757e-06
80.000000	0.0158223 	80.000000	0.01803   	80.000000	0.0180242 	80.000000	0.0179937 	80.000000	0.0180225 	80.000000	7.49047e-06
85.000000	0.0151091 	85.000000	0.0172151 	85.000000	0.0172118 	85.000000	0.0171805 	85.000000	0.0172081 	85.000000	7.08488e-06
90.000000	0.0144697 	90.000000	0.0164862 	90.000000	0.0164821 	90.000000	0.0164524 	90.000000	0.0164795 	90.000000	6.72247e-06
95.000000	0.013893  	95.000000	0.0158301 	95.000000	0.0158269 	95.000000	0.0157966 	95.000000	0.0158237 	95.000000	6.39661e-06
100.000000	0.0133701 	100.000000	0.0152363 	100.000000	0.0152335 	100.000000	0.0152026 	100.000000	0.0152302 	100.000000	6.10197e-06
105.000000	0.0128936 	105.000000	0.0146963 	105.000000	0.0146936 	105.000000	0.0146621 	105.000000	0.0146905 	105.000000	5.83422e-06
110.000000	0.0124573 	110.000000	0.014203  	110.000000	0.0141984 	110.000000	0.0141681 	110.000000	0.0141974 	110.000000	5.5898e-06
115.000000	0.0120564 	115.000000	0.0137506 	115.000000	0.0137449 	115.000000	0.0137148 	115.000000	0.0137452 	115.000000	5.36575e-06
120.000000	0.0116865 	120.000000	0.0133341 	120.000000	0.0133281 	120.000000	0.0132974 	120.000000	0.013329  	120.000000	5.15959e-06
125.000000	0.0113442 	125.000000	0.0129494 	125.000000	0.0129422 	125.000000	0.0129116 	125.000000	0.0129445 	125.000000	4.96925e-06
130.000000	0.0110263 	130.000000	0.012593  	130.000000	0.0125836 	130.000000	0.0125541 	130.000000	0.0125882 	130.000000	4.79294e-06
135.000000	0.0107303 	135.000000	0.0122618 	135.000000	0.0122513 	135.000000	0.0122218 	135.000000	0.0122572 	135.000000	4.62916e-06
140.000000	0.0104539 	140.000000	0.0119532 	140.000000	0.0119422 	140.000000	0.0119121 	140.000000	0.0119488 	140.000000	4.47659e-06
145.000000	0.0101952 	145.000000	0.011665  	145.000000	0.0116527 	145.000000	0.0116228 	145.000000	0.0116607 	145.000000	4.33411e-06
150.000000	0.00995255	150.000000	0.0113952 	150.000000	0.0113809 	150.000000	0.0113519 	150.000000	0.011391  	150.000000	4.20074e-06
155.000000	0.00961086	155.000000	0.0111421 	155.000000	0.0111267 	155.000000	0.0110978 	155.000000	0.0111381 	155.000000	4.07562e-06
160.000000	0.00941058	160.000000	0.0109042 	160.000000	0.0108878 	160.000000	0.0108588 	160.000000	0.0109002 	160.000000	3.958e-06
165.000000	0.00922172	165.000000	0.0106801 	165.000000	0.010662  	165.000000	0.0106338 	165.000000	0.0106763 	165.000000	3.84722e-06
170.000000	0.00904332	170.000000	0.0104687 	170.000000	0.0104493 	170.000000	0.0104214 	170.000000	0.0104649 	170.000000	3.74269e-06
175.000000	0.0088745 	175.000000	0.0102689 	175.000000	0.0102489 	175.000000	0.0102208 	175.000000	0.0102652 	175.000000	3.64389e-06
180.000000	0.00871452	180.000000	0.0100798 	180.000000	0.0100593 	180.000000	0.0100308 	180.000000	0.0100762 	180.000000	3.55036e-06
185.000000	0.00856269	185.000000	0.0099005 	185.000000	0.00987901	185.000000	0.00985079	185.000000	0.00989704	185.000000	3.46168e-06
190.000000	0.00841839	190.000000	0.00973033	190.000000	0.00970745	190.000000	0.00967988	190.000000	0.00972695	190.000000	3.37748e-06
195.000000	0.00828107	195.000000	0.00956858	195.000000	0.00954478	195.000000	0.00951745	195.000000	0.00956528	195.000000	3.29742e-06
200.000000	0.00815023	200.000000	0.00941463	200.000000	0.00939038	200.000000	0.00936287	200.000000	0.00941141	200.000000	3.2212e-06
210.000000	0.00790621	210.000000	0.00912803	210.000000	0.00910181	210.000000	0.00907513	210.000000	0.00912495	210.000000	3.07922e-06
220.000000	0.00768319	220.000000	0.00886667	220.000000	0.0088395 	220.000000	0.00881281	220.000000	0.00886372	220.000000	2.94964e-06
230.000000	0.00747854	230.000000	0.00862737	230.000000	0.00859872	230.000000	0.00857271	230.000000	0.00862454	230.000000	2.83089e-06
240.000000	0.00729008	240.000000	0.00840746	240.000000	0.00837791	240.000000	0.00835215	240.000000	0.00840474	240.000000	2.72164e-06
250.000000	0.00711594	250.000000	0.00820469	250.000000	0.00817497	250.000000	0.00814886	250.000000	0.00820207	250.000000	2.6208e-06
260.000000	0.00695455	260.000000	0.00801714	260.000000	0.00798665	260.000000	0.00796093	260.000000	0.00801461	260.000000	2.5274e-06
270.000000	0.00680456	270.000000	0.00784317	270.000000	0.00781188	270.000000	0.0077867 	270.000000	0.00784073	270.000000	2.44066e-06
280.000000	0.00666479	280.000000	0.00768138	280.000000	0.00765005	280.000000	0.00762474	280.000000	0.00767902	280.000000	2.35987e-06
290.000000	0.00653423	290.000000	0.00753055	290.000000	0.00749856	290.000000	0.00747384	290.000000	0.00752826	290.000000	2.28444e-06
300.000000	0.00641202	300.000000	0.0073896 	300.000000	0.00735745	300.000000	0.00733292	300.000000	0.00738739	300.000000	2.21384e-06
310.000000	0.00629738	310.000000	0.00725762	310.000000	0.00722558	310.000000	0.00720104	310.000000	0.00725548	310.000000	2.14763e-06
320.000000	0.00618963	320.000000	0.00713379	320.000000	0.00710136	320.000000	0.00707737	320.000000	0.00713171	320.000000	2.08538e-06
330.000000	0.00608817	330.000000	0.00701739	330.000000	0.0069851 	330.000000	0.00696121	330.000000	0.00701537	330.000000	2.02677e-06
340.000000	0.00599247	340.000000	0.00690779	340.000000	0.00687581	340.000000	0.00685189	340.000000	0.00690582	340.000000	1.97147e-06
350.000000	0.00590208	350.000000	0.00680442	350.000000	0.00677231	350.000000	0.00674886	350.000000	0.0068025 	350.000000	1.91921e-06
360.000000	0.00581655	360.000000	0.00670677	360.000000	0.00667485	360.000000	0.00665161	360.000000	0.0067049 	360.000000	1.86974e-06
370.000000	0.00573552	370.000000	0.0066144 	370.000000	0.00658253	370.000000	0.00655918	370.000000	0.00661257	370.000000	1.82285e-06
380.000000	0.00565866	380.000000	0.0065269 	380.000000	0.00649476	380.000000	0.00647168	380.000000	0.00652512	380.000000	1.77832e-06
390.000000	0.00558564	390.000000	0.00644391	390.000000	0.00641143	390.000000	0.00638873	390.000000	0.00644217	390.000000	1.736e-06
400.000000	0.00551621	400.000000	0.0063651 	400.000000	0.00633272	400.000000	0.00631002	400.000000	0.0063634 	400.000000	1.69571e-06
410.000000	0.00545011	410.000000	0.00629017	410.000000	0.00625798	410.000000	0.00623523	410.000000	0.00628851	410.000000	1.65731e-06
420.000000	0.00538711	420.000000	0.00621885	420.000000	0.00618656	420.000000	0.0061641 	420.000000	0.00621723	420.000000	1.62066e-06
430.000000	0.005327  	430.000000	0.00615091	430.000000	0.00611851	430.000000	0.00609636	430.000000	0.00614932	430.000000	1.58566e-06
440.000000	0.00526961	440.000000	0.00608611	440.000000	0.00605394	440.000000	0.00603181	440.000000	0.00608455	440.000000	1.55219e-06
450.000000	0.00521476	450.000000	0.00602425	450.000000	0.00599242	450.000000	0.00597022	450.000000	0.00602273	450.000000	1.52015e-06
