*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
195.000000	0.0286177 	195.000000	0.0182624 	195.000000	0.0181306 	195.000000	0.0180939 	195.000000	0.0182571 	195.000000	5.29277e-06	
200.000000	0.0281656 	200.000000	0.0179914 	200.000000	0.0178601 	200.000000	0.0178223 	200.000000	0.0179862 	200.000000	5.17277e-06	
210.000000	0.0273223 	210.000000	0.0174864 	210.000000	0.0173527 	210.000000	0.0173156 	210.000000	0.0174814 	210.000000	4.94906e-06	
220.000000	0.0265516 	220.000000	0.0170253 	220.000000	0.0168882 	220.000000	0.0168524 	220.000000	0.0170206 	220.000000	4.74468e-06	
230.000000	0.0258444 	230.000000	0.0166028 	230.000000	0.0164618 	230.000000	0.0164274 	230.000000	0.0165982 	230.000000	4.5572e-06	
240.000000	0.0251931 	240.000000	0.0162141 	240.000000	0.0160715 	240.000000	0.0160361 	240.000000	0.0162098 	240.000000	4.38457e-06	
250.000000	0.0245913 	250.000000	0.0158555 	250.000000	0.0157102 	250.000000	0.0156748 	250.000000	0.0158513 	250.000000	4.22508e-06	
260.000000	0.0240335 	260.000000	0.0155235 	260.000000	0.0153744 	260.000000	0.0153402 	260.000000	0.0155194 	260.000000	4.07726e-06	
270.000000	0.0235152 	270.000000	0.0152154 	270.000000	0.0150627 	270.000000	0.0150294 	270.000000	0.0152114 	270.000000	3.93985e-06	
280.000000	0.0230322 	280.000000	0.0149286 	280.000000	0.0147726 	280.000000	0.0147401 	280.000000	0.0149248 	280.000000	3.81179e-06	
290.000000	0.022581  	290.000000	0.0146611 	290.000000	0.0145037 	290.000000	0.0144702 	290.000000	0.0146574 	290.000000	3.69212e-06	
300.000000	0.0221587 	300.000000	0.014411  	300.000000	0.0142515 	300.000000	0.0142179 	300.000000	0.0144075 	300.000000	3.58005e-06	
310.000000	0.0217625 	310.000000	0.0141768 	310.000000	0.0140141 	310.000000	0.0139815 	310.000000	0.0141733 	310.000000	3.47486e-06	
320.000000	0.0213901 	320.000000	0.0139568 	320.000000	0.0137916 	320.000000	0.0137596 	320.000000	0.0139535 	320.000000	3.37592e-06	
330.000000	0.0210395 	330.000000	0.01375   	330.000000	0.0135822 	330.000000	0.013551  	330.000000	0.0137467 	330.000000	3.2827e-06	
