Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
880.000000	0.0664781 	880.000000	0.0505457 	880.000000	0.0509103 	880.000000	0.0503419 	880.000000	0.0505387 	880.000000	6.94761e-06	
900.000000	0.0660844 	900.000000	0.0502914 	900.000000	0.0506668 	900.000000	0.0500996 	900.000000	0.0502846 	900.000000	6.80556e-06	
920.000000	0.0657126 	920.000000	0.0500512 	920.000000	0.050438  	920.000000	0.0498709 	920.000000	0.0500445 	920.000000	6.66943e-06	
940.000000	0.0653612 	940.000000	0.0498243 	940.000000	0.0502222 	940.000000	0.049655  	940.000000	0.0498177 	940.000000	6.53884e-06	
960.000000	0.0650292 	960.000000	0.0496098 	960.000000	0.0500178 	960.000000	0.0494511 	960.000000	0.0496034 	960.000000	6.41346e-06	
980.000000	0.0647153 	980.000000	0.0494069 	980.000000	0.0498237 	980.000000	0.0492584 	980.000000	0.0494006 	980.000000	6.29297e-06	
1000.000000	0.0644185 	1000.000000	0.0492151 	1000.000000	0.0496394 	1000.000000	0.0490762 	1000.000000	0.0492089 	1000.000000	6.1771e-06	
1020.000000	0.0641379 	1020.000000	0.0490337 	1020.000000	0.0494649 	1020.000000	0.0489039 	1020.000000	0.0490276 	1020.000000	6.06558e-06	
1040.000000	0.0638727 	1040.000000	0.048862  	1040.000000	0.0492999 	1040.000000	0.0487409 	1040.000000	0.0488561 	1040.000000	5.95817e-06	
1060.000000	0.0636219 	1060.000000	0.0486996 	1060.000000	0.0491438 	1060.000000	0.0485866 	1060.000000	0.0486937 	1060.000000	5.85463e-06	
1080.000000	0.0633849 	1080.000000	0.0485459 	1080.000000	0.0489962 	1080.000000	0.0484405 	1080.000000	0.0485402 	1080.000000	5.75477e-06	
