*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
25.000000	0.0321826 	25.000000	0.0208174 	25.000000	0.0204342 	25.000000	0.0204319 	25.000000	0.0208087 	25.000000	8.77146e-06
27.000000	0.0302257 	27.000000	0.0196564 	27.000000	0.0193601 	27.000000	0.0193542 	27.000000	0.0196482 	27.000000	8.19132e-06
29.000000	0.0285188 	29.000000	0.0186317 	29.000000	0.0184111 	29.000000	0.0184037 	29.000000	0.018624  	29.000000	7.68657e-06
31.000000	0.027016  	31.000000	0.0177205 	31.000000	0.0175434 	31.000000	0.0175356 	31.000000	0.0177133 	31.000000	7.24319e-06
33.000000	0.0256821 	33.000000	0.0169049 	33.000000	0.0167479 	33.000000	0.0167378 	33.000000	0.0168981 	33.000000	6.85046e-06
35.000000	0.0244898 	35.000000	0.0161705 	35.000000	0.0160298 	35.000000	0.0160202 	35.000000	0.016164  	35.000000	6.50006e-06
38.000000	0.02292   	38.000000	0.0151961 	38.000000	0.0150801 	38.000000	0.0150689 	38.000000	0.0151901 	38.000000	6.03973e-06
41.000000	0.0215641 	41.000000	0.0143478 	41.000000	0.0142523 	41.000000	0.0142409 	41.000000	0.0143422 	41.000000	5.64305e-06
44.000000	0.0203804 	44.000000	0.0136024 	44.000000	0.0135232 	44.000000	0.0135131 	44.000000	0.0135971 	44.000000	5.29749e-06
47.000000	0.0193374 	47.000000	0.012942  	47.000000	0.0128794 	47.000000	0.0128679 	47.000000	0.012937  	47.000000	4.99361e-06
50.000000	0.018411  	50.000000	0.0123528 	50.000000	0.0123032 	50.000000	0.0122916 	50.000000	0.0123481 	50.000000	4.72421e-06
55.000000	0.0170766 	55.000000	0.0114999 	55.000000	0.0114688 	55.000000	0.0114562 	55.000000	0.0114955 	55.000000	4.33705e-06
60.000000	0.01595   	60.000000	0.0107762 	60.000000	0.0107575 	60.000000	0.0107459 	60.000000	0.0107721 	60.000000	4.01104e-06
65.000000	0.0149852 	65.000000	0.0101541 	65.000000	0.010146  	65.000000	0.010134  	65.000000	0.0101504 	65.000000	3.73256e-06
70.000000	0.0141491 	70.000000	0.00961345	70.000000	0.0096132 	70.000000	0.00960111	70.000000	0.00960995	70.000000	3.4918e-06
75.000000	0.013417  	75.000000	0.00913907	75.000000	0.00914365	75.000000	0.00913252	75.000000	0.00913579	75.000000	3.28148e-06
80.000000	0.0127703 	80.000000	0.00871937	80.000000	0.00872919	80.000000	0.00871709	80.000000	0.00871627	80.000000	3.09608e-06
85.000000	0.0121946 	85.000000	0.00834531	85.000000	0.00835761	85.000000	0.00834613	85.000000	0.00834237	85.000000	2.93137e-06
90.000000	0.0116785 	90.000000	0.00800975	90.000000	0.00802372	90.000000	0.00801274	90.000000	0.00800697	90.000000	2.78403e-06
95.000000	0.0112131 	95.000000	0.007707  	95.000000	0.00772319	95.000000	0.00771144	95.000000	0.00770435	95.000000	2.65139e-06
100.000000	0.010791  	100.000000	0.00743242	100.000000	0.00744897	100.000000	0.00743772	100.000000	0.00742989	100.000000	2.53135e-06
105.000000	0.0104063 	105.000000	0.00718222	105.000000	0.00719873	105.000000	0.00718794	105.000000	0.00717979	105.000000	2.42215e-06
110.000000	0.0100542 	110.000000	0.00695326	110.000000	0.00696929	110.000000	0.00695904	110.000000	0.00695093	110.000000	2.32238e-06
115.000000	0.00973062	115.000000	0.00674292	115.000000	0.00675911	115.000000	0.00674849	115.000000	0.00674069	115.000000	2.23085e-06
120.000000	0.00943209	120.000000	0.00654901	120.000000	0.00656499	120.000000	0.00655415	120.000000	0.00654686	120.000000	2.14655e-06
125.000000	0.00915577	125.000000	0.00636965	125.000000	0.00638447	125.000000	0.00637419	125.000000	0.00636759	125.000000	2.06867e-06
130.000000	0.0088992 	130.000000	0.00620327	130.000000	0.00621706	130.000000	0.00620707	130.000000	0.00620127	130.000000	1.99647e-06
135.000000	0.0086603 	135.000000	0.00604848	135.000000	0.00606188	135.000000	0.00605145	135.000000	0.00604655	135.000000	1.92935e-06
