*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
115.000000	0.00075353	115.000000	0.000859433	115.000000	0.00085752	115.000000	0.000856982	115.000000	0.000859077	115.000000	3.56256e-07	
120.000000	0.000730412	120.000000	0.000833403	120.000000	0.000831426	120.000000	0.000830908	120.000000	0.00083306	120.000000	3.425e-07 	
125.000000	0.000709014	125.000000	0.000809359	125.000000	0.000807317	125.000000	0.000806815	125.000000	0.00080903	125.000000	3.29803e-07	
130.000000	0.000689146	130.000000	0.000787082	130.000000	0.000784969	130.000000	0.000784483	130.000000	0.000786764	130.000000	3.18044e-07	
135.000000	0.000670645	135.000000	0.000766381	135.000000	0.000764186	135.000000	0.000763725	135.000000	0.000766074	135.000000	3.07123e-07	
140.000000	0.000653371	140.000000	0.000747095	140.000000	0.000744874	140.000000	0.00074438	140.000000	0.000746798	140.000000	2.96952e-07	
145.000000	0.000637204	145.000000	0.000729082	145.000000	0.000726846	145.000000	0.000726308	145.000000	0.000728794	145.000000	2.87455e-07	
150.000000	0.000622036	150.000000	0.000712219	150.000000	0.000709909	150.000000	0.000709386	150.000000	0.00071194	150.000000	2.78567e-07	
155.000000	0.00060068	155.000000	0.000696399	155.000000	0.000694012	155.000000	0.000693509	155.000000	0.000696128	155.000000	2.7023e-07	
160.000000	0.000588163	160.000000	0.000681527	160.000000	0.000679076	160.000000	0.000678582	160.000000	0.000681265	160.000000	2.62394e-07	
165.000000	0.000576359	165.000000	0.000667521	165.000000	0.000665004	165.000000	0.000664523	165.000000	0.000667266	165.000000	2.55016e-07	
170.000000	0.000565208	170.000000	0.000654307	170.000000	0.000651727	170.000000	0.000651257	170.000000	0.000654059	170.000000	2.48054e-07	
175.000000	0.000554657	175.000000	0.000641819	175.000000	0.00063918	175.000000	0.00063872	175.000000	0.000641578	175.000000	2.41475e-07	
180.000000	0.000544659	180.000000	0.000629999	180.000000	0.000627303	180.000000	0.000626853	180.000000	0.000629764	180.000000	2.35248e-07	
185.000000	0.000535169	185.000000	0.000618794	185.000000	0.000616046	185.000000	0.000615605	185.000000	0.000618565	185.000000	2.29345e-07	
190.000000	0.00052615	190.000000	0.000608158	190.000000	0.000605361	190.000000	0.000604927	190.000000	0.000607934	190.000000	2.2374e-07	
195.000000	0.000517567	195.000000	0.000598048	195.000000	0.000595199	195.000000	0.000594779	195.000000	0.00059783	195.000000	2.18412e-07	
200.000000	0.00050939	200.000000	0.000588427	200.000000	0.00058553	200.000000	0.000585121	200.000000	0.000588213	200.000000	2.1334e-07	
210.000000	0.000494138	210.000000	0.000570513	210.000000	0.0005676 	210.000000	0.000567143	210.000000	0.000570309	210.000000	2.03894e-07	
220.000000	0.0004802 	220.000000	0.000554178	220.000000	0.000551208	220.000000	0.000550753	220.000000	0.000553982	220.000000	1.95276e-07	
230.000000	0.000467409	230.000000	0.000539221	230.000000	0.000536188	230.000000	0.000535751	230.000000	0.000539034	230.000000	1.87379e-07	
240.000000	0.00045563	240.000000	0.000525476	240.000000	0.000522396	240.000000	0.00052197	240.000000	0.000525296	240.000000	1.80116e-07	
