Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
23.000000	0.436894  	23.000000	0.428316  	23.000000	0.420717  	23.000000	0.425019  	23.000000	0.428124  	23.000000	0.000192072	
24.000000	0.422376  	24.000000	0.414344  	24.000000	0.406403  	24.000000	0.410594  	24.000000	0.414159  	24.000000	0.00018487	
25.000000	0.408894  	25.000000	0.401333  	25.000000	0.393062  	25.000000	0.397131  	25.000000	0.401155  	25.000000	0.000178213	
27.000000	0.38462   	27.000000	0.377826  	27.000000	0.368928  	27.000000	0.372734  	27.000000	0.37766   	27.000000	0.0001663 	
29.000000	0.363364  	29.000000	0.357164  	29.000000	0.347682  	29.000000	0.351216  	29.000000	0.357008  	29.000000	0.000155944	
31.000000	0.344588  	31.000000	0.338859  	31.000000	0.329555  	31.000000	0.332662  	31.000000	0.338712  	31.000000	0.000146855	
33.000000	0.327875  	33.000000	0.322528  	33.000000	0.314038  	33.000000	0.316649  	33.000000	0.322389  	33.000000	0.000138811	
35.000000	0.312899  	35.000000	0.307867  	35.000000	0.30008   	35.000000	0.302291  	35.000000	0.307736  	35.000000	0.000131638	
38.000000	0.293132  	38.000000	0.288485  	38.000000	0.281625  	38.000000	0.283328  	38.000000	0.288363  	38.000000	0.000122223	
41.000000	0.276012  	41.000000	0.271676  	41.000000	0.26558   	41.000000	0.266896  	41.000000	0.271562  	41.000000	0.000114117	
44.000000	0.261033  	44.000000	0.256957  	44.000000	0.251514  	44.000000	0.252511  	44.000000	0.25685   	44.000000	0.000107061	
47.000000	0.247812  	47.000000	0.243958  	47.000000	0.239057  	47.000000	0.239809  	47.000000	0.243857  	47.000000	0.000100862	
50.000000	0.236049  	50.000000	0.232393  	50.000000	0.227956  	50.000000	0.228506  	50.000000	0.232298  	50.000000	9.53691e-05	
55.000000	0.219078  	55.000000	0.215708  	55.000000	0.211887  	55.000000	0.212193  	55.000000	0.215621  	55.000000	8.7482e-05	
60.000000	0.204723  	60.000000	0.201605  	60.000000	0.198306  	60.000000	0.198393  	60.000000	0.201524  	60.000000	8.08469e-05	
65.000000	0.192413  	65.000000	0.189522  	65.000000	0.186622  	65.000000	0.18656   	65.000000	0.189447  	65.000000	7.51842e-05	
70.000000	0.181733  	70.000000	0.179051  	70.000000	0.176458  	70.000000	0.176296  	70.000000	0.178981  	70.000000	7.02922e-05	
75.000000	0.172373  	75.000000	0.169887  	75.000000	0.167565  	75.000000	0.167304  	75.000000	0.169821  	75.000000	6.60216e-05	
80.000000	0.164099  	80.000000	0.161797  	80.000000	0.159684  	80.000000	0.159358  	80.000000	0.161735  	80.000000	6.22597e-05	
85.000000	0.156727  	85.000000	0.154602  	85.000000	0.152663  	85.000000	0.152284  	85.000000	0.154543  	85.000000	5.89195e-05	
90.000000	0.150116  	90.000000	0.148159  	90.000000	0.146368  	90.000000	0.145944  	90.000000	0.148103  	90.000000	5.59331e-05	
95.000000	0.14415   	95.000000	0.142355  	95.000000	0.140692  	95.000000	0.140228  	95.000000	0.142302  	95.000000	5.32464e-05	
100.000000	0.138738  	100.000000	0.137099  	100.000000	0.135545  	100.000000	0.135048  	100.000000	0.137048  	100.000000	5.08157e-05	
105.000000	0.133804  	105.000000	0.132316  	105.000000	0.130859  	105.000000	0.13033   	105.000000	0.132268  	105.000000	4.86059e-05	
110.000000	0.129287  	110.000000	0.127945  	110.000000	0.126555  	110.000000	0.126015  	110.000000	0.127898  	110.000000	4.65875e-05	
115.000000	0.125134  	115.000000	0.123933  	115.000000	0.122612  	115.000000	0.122053  	115.000000	0.123889  	115.000000	4.47366e-05	
120.000000	0.121301  	120.000000	0.120239  	120.000000	0.118978  	120.000000	0.118402  	120.000000	0.120196  	120.000000	4.30328e-05	
125.000000	0.117754  	125.000000	0.116825  	125.000000	0.115606  	125.000000	0.115026  	125.000000	0.116784  	125.000000	4.1459e-05	
130.000000	0.114459  	130.000000	0.113661  	130.000000	0.112481  	130.000000	0.111896  	130.000000	0.113621  	130.000000	4.00007e-05	
135.000000	0.11139   	135.000000	0.11072   	135.000000	0.109586  	135.000000	0.108985  	135.000000	0.110681  	135.000000	3.86455e-05	
