*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
15.000000	0.0228476 	15.000000	0.0130138 	15.000000	0.0127311 	15.000000	0.0127311 	15.000000	0.0130081 	15.000000	5.75496e-06	
16.000000	0.0216704 	16.000000	0.0124618 	16.000000	0.0121785 	16.000000	0.0121783 	16.000000	0.0124563 	16.000000	5.44031e-06	
17.000000	0.0206197 	17.000000	0.0119569 	17.000000	0.0116785 	17.000000	0.0116775 	17.000000	0.0119518 	17.000000	5.16011e-06	
18.000000	0.0196759 	18.000000	0.0114939 	18.000000	0.0112228 	18.000000	0.0112215 	18.000000	0.011489  	18.000000	4.90889e-06	
19.000000	0.0188232 	19.000000	0.0110678 	19.000000	0.0108055 	19.000000	0.0108043 	19.000000	0.0110631 	19.000000	4.6823e-06	
20.000000	0.0180487 	20.000000	0.0106746 	20.000000	0.0104218 	20.000000	0.0104206 	20.000000	0.0106701 	20.000000	4.47682e-06	
21.000000	0.0173419 	21.000000	0.0103107 	21.000000	0.0100682 	21.000000	0.0100668 	21.000000	0.0103064 	21.000000	4.28958e-06	
22.000000	0.0166943 	22.000000	0.00997292	22.000000	0.0097405 	22.000000	0.0097392 	22.000000	0.0099688 	22.000000	4.11821e-06	
23.000000	0.0160984 	23.000000	0.00965868	23.000000	0.00943615	23.000000	0.00943482	23.000000	0.00965472	23.000000	3.96074e-06	
24.000000	0.0155483 	24.000000	0.00936559	24.000000	0.009153  	24.000000	0.00915114	24.000000	0.00936178	24.000000	3.81551e-06	
25.000000	0.0150387 	25.000000	0.0090916 	25.000000	0.00888872	25.000000	0.00888602	25.000000	0.00908792	25.000000	3.68112e-06	
27.000000	0.0141243 	27.000000	0.00859392	27.000000	0.00840765	27.000000	0.00840424	27.000000	0.00859048	27.000000	3.44027e-06	
29.000000	0.0133267 	29.000000	0.00815365	29.000000	0.00798067	29.000000	0.00797733	29.000000	0.00815042	29.000000	3.23052e-06	
31.000000	0.0126244 	31.000000	0.00776139	31.000000	0.00760268	31.000000	0.0075993 	31.000000	0.00775834	31.000000	3.04612e-06	
33.000000	0.0120011 	33.000000	0.00740966	33.000000	0.00726667	33.000000	0.00726349	33.000000	0.00740677	33.000000	2.88266e-06	
35.000000	0.0114439 	35.000000	0.00709245	35.000000	0.00696394	35.000000	0.00696111	35.000000	0.00708971	35.000000	2.73671e-06	
38.000000	0.0107104 	38.000000	0.00667094	38.000000	0.00656324	38.000000	0.00655942	38.000000	0.0066684 	38.000000	2.54482e-06	
41.000000	0.0100768 	41.000000	0.00630338	41.000000	0.00621287	41.000000	0.00620893	41.000000	0.006301  	41.000000	2.3793e-06	
44.000000	0.00952365	44.000000	0.00597996	44.000000	0.00590372	44.000000	0.00590012	44.000000	0.00597772	44.000000	2.235e-06 	
47.000000	0.00903626	47.000000	0.0056931 	47.000000	0.00562916	47.000000	0.00562575	47.000000	0.00569099	47.000000	2.10801e-06	
50.000000	0.00860336	50.000000	0.00543688	50.000000	0.0053834 	50.000000	0.0053802 	50.000000	0.00543488	50.000000	1.99534e-06	
55.000000	0.00797981	55.000000	0.00506558	55.000000	0.00502629	55.000000	0.00502333	55.000000	0.00506374	55.000000	1.8333e-06	
60.000000	0.00745333	60.000000	0.00475015	60.000000	0.00472196	60.000000	0.00471904	60.000000	0.00474845	60.000000	1.69671e-06	
65.000000	0.00700249	65.000000	0.00447874	65.000000	0.0044597 	65.000000	0.00445625	65.000000	0.00447716	65.000000	1.57995e-06	
70.000000	0.00661178	70.000000	0.00424267	70.000000	0.00422998	70.000000	0.00422684	70.000000	0.00424119	70.000000	1.47891e-06	
75.000000	0.00626969	75.000000	0.00403538	75.000000	0.00402768	75.000000	0.00402471	75.000000	0.00403399	75.000000	1.39059e-06	
80.000000	0.0059675 	80.000000	0.00385186	80.000000	0.00384799	80.000000	0.00384519	80.000000	0.00385055	80.000000	1.31269e-06	
85.000000	0.00569847	85.000000	0.00368821	85.000000	0.00368728	85.000000	0.00368462	85.000000	0.00368696	85.000000	1.24343e-06	
90.000000	0.00545731	90.000000	0.00354133	90.000000	0.00354265	90.000000	0.00354011	90.000000	0.00354015	90.000000	1.18145e-06	
95.000000	0.00523981	95.000000	0.00340876	95.000000	0.00341234	95.000000	0.00340932	95.000000	0.00340764	95.000000	1.12562e-06	
100.000000	0.00504257	100.000000	0.00328848	100.000000	0.00329324	100.000000	0.00329036	100.000000	0.0032874 	100.000000	1.07506e-06	
105.000000	0.00486282	105.000000	0.00317883	105.000000	0.00318443	105.000000	0.00318167	105.000000	0.0031778 	105.000000	1.02906e-06	
110.000000	0.00469829	110.000000	0.00307847	110.000000	0.00308463	110.000000	0.00308197	110.000000	0.00307748	110.000000	9.87006e-07	
115.000000	0.00454707	115.000000	0.00298624	115.000000	0.00299274	115.000000	0.00299018	115.000000	0.00298529	115.000000	9.48408e-07	
120.000000	0.00440757	120.000000	0.00290119	120.000000	0.00290784	120.000000	0.00290537	120.000000	0.00290028	120.000000	9.12851e-07	
125.000000	0.00427845	125.000000	0.00282251	125.000000	0.00282917	125.000000	0.00282678	125.000000	0.00282163	125.000000	8.79983e-07	
130.000000	0.00415855	130.000000	0.0027495 	130.000000	0.00275605	130.000000	0.00275373	130.000000	0.00274865	130.000000	8.49507e-07	
135.000000	0.00404691	135.000000	0.00268157	135.000000	0.00268786	135.000000	0.00268567	135.000000	0.00268075	135.000000	8.21165e-07	
140.000000	0.00394268	140.000000	0.00261819	140.000000	0.00262444	140.000000	0.00262208	140.000000	0.0026174 	140.000000	7.94738e-07	
145.000000	0.00384511	145.000000	0.00255894	145.000000	0.00256512	145.000000	0.00256255	145.000000	0.00255817	145.000000	7.70035e-07	
150.000000	0.00375359	150.000000	0.0025034 	150.000000	0.00250919	150.000000	0.0025067 	150.000000	0.00250265	150.000000	7.46891e-07	
155.000000	0.00362472	155.000000	0.00245125	155.000000	0.00245658	155.000000	0.00245418	155.000000	0.00245052	155.000000	7.2516e-07	
160.000000	0.00354919	160.000000	0.00240218	160.000000	0.00240708	160.000000	0.00240473	160.000000	0.00240147	160.000000	7.04714e-07	
165.000000	0.00347796	165.000000	0.00235592	165.000000	0.00236035	165.000000	0.00235806	165.000000	0.00235524	165.000000	6.85441e-07	
170.000000	0.00341067	170.000000	0.00231224	170.000000	0.0023162 	170.000000	0.00231396	170.000000	0.00231158	170.000000	6.67242e-07	
175.000000	0.003347  	175.000000	0.00227093	175.000000	0.0022744 	175.000000	0.00227221	175.000000	0.00227028	175.000000	6.50027e-07	
180.000000	0.00328667	180.000000	0.0022318 	180.000000	0.00223478	180.000000	0.00223264	180.000000	0.00223117	180.000000	6.33718e-07	
185.000000	0.0032294 	185.000000	0.00219469	185.000000	0.00219718	185.000000	0.00219508	185.000000	0.00219407	185.000000	6.18244e-07	
190.000000	0.00317498	190.000000	0.00215943	190.000000	0.00216145	190.000000	0.00215938	190.000000	0.00215883	190.000000	6.03542e-07	
195.000000	0.00312319	195.000000	0.0021259 	195.000000	0.00212741	195.000000	0.00212541	195.000000	0.00212531	195.000000	5.89554e-07	
200.000000	0.00307384	200.000000	0.00209396	200.000000	0.00209499	200.000000	0.00209304	200.000000	0.00209339	200.000000	5.76228e-07	
210.000000	0.00298181	210.000000	0.00203447	210.000000	0.00203487	210.000000	0.00203269	210.000000	0.00203391	210.000000	5.51383e-07	
220.000000	0.0028977 	220.000000	0.00198015	220.000000	0.00197973	220.000000	0.00197756	220.000000	0.00197962	220.000000	5.28681e-07	
230.000000	0.00282052	230.000000	0.00193038	230.000000	0.0019291 	230.000000	0.00192701	230.000000	0.00192987	230.000000	5.07853e-07	
