*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
185.000000	0.0142274 	185.000000	0.0143558 	185.000000	0.0141459 	185.000000	0.014101  	185.000000	0.014351  	185.000000	4.85139e-06
190.000000	0.0139877 	190.000000	0.0141134 	190.000000	0.0139047 	190.000000	0.0138608 	190.000000	0.0141087 	190.000000	4.73387e-06
195.000000	0.0137595 	195.000000	0.013883  	195.000000	0.0136761 	195.000000	0.0136326 	195.000000	0.0138784 	195.000000	4.62211e-06
200.000000	0.0135421 	200.000000	0.0136636 	200.000000	0.013459  	200.000000	0.0134153 	200.000000	0.0136591 	200.000000	4.51571e-06
210.000000	0.0131366 	210.000000	0.0132552 	210.000000	0.0130531 	210.000000	0.0130106 	210.000000	0.0132509 	210.000000	4.31747e-06
220.000000	0.0127661 	220.000000	0.0128826 	220.000000	0.012684  	220.000000	0.0126415 	220.000000	0.0128785 	220.000000	4.1365e-06
230.000000	0.0124261 	230.000000	0.0125414 	230.000000	0.012345  	230.000000	0.0123036 	230.000000	0.0125374 	230.000000	3.97063e-06
240.000000	0.0121129 	240.000000	0.0122278 	240.000000	0.012034  	240.000000	0.011993  	240.000000	0.012224  	240.000000	3.818e-06
250.000000	0.0118236 	250.000000	0.0119386 	250.000000	0.0117482 	250.000000	0.0117067 	250.000000	0.0119349 	250.000000	3.67708e-06
260.000000	0.0115554 	260.000000	0.011671  	260.000000	0.0114828 	260.000000	0.0114419 	260.000000	0.0116675 	260.000000	3.54656e-06
270.000000	0.0113062 	270.000000	0.0114228 	270.000000	0.0112364 	270.000000	0.0111963 	270.000000	0.0114194 	270.000000	3.42531e-06
280.000000	0.0110739 	280.000000	0.011192  	280.000000	0.0110083 	280.000000	0.010968  	280.000000	0.0111887 	280.000000	3.31236e-06
290.000000	0.010857  	290.000000	0.0109767 	290.000000	0.0107946 	290.000000	0.0107553 	290.000000	0.0109735 	290.000000	3.20689e-06
300.000000	0.010654  	300.000000	0.0107756 	300.000000	0.0105956 	300.000000	0.0105565 	300.000000	0.0107725 	300.000000	3.10816e-06
310.000000	0.0104635 	310.000000	0.0105872 	310.000000	0.0104096 	310.000000	0.0103705 	310.000000	0.0105842 	310.000000	3.01554e-06
320.000000	0.0102844 	320.000000	0.0104104 	320.000000	0.0102343 	320.000000	0.0101961 	320.000000	0.0104075 	320.000000	2.92848e-06
330.000000	0.0101159 	330.000000	0.0102443 	330.000000	0.0100703 	330.000000	0.0100323 	330.000000	0.0102414 	330.000000	2.84648e-06
340.000000	0.00995686	340.000000	0.0100878 	340.000000	0.00991612	340.000000	0.00987805	340.000000	0.010085  	340.000000	2.7691e-06
350.000000	0.00980666	350.000000	0.00994019	350.000000	0.00977001	350.000000	0.00973269	350.000000	0.00993749	350.000000	2.69597e-06
360.000000	0.00966455	360.000000	0.00980077	360.000000	0.00963247	360.000000	0.00959548	360.000000	0.00979814	360.000000	2.62674e-06
370.000000	0.00952992	370.000000	0.00966888	370.000000	0.00950292	370.000000	0.00946576	370.000000	0.00966631	370.000000	2.5611e-06
380.000000	0.0094022 	380.000000	0.00954394	380.000000	0.00937971	380.000000	0.00934297	380.000000	0.00954144	380.000000	2.49877e-06
390.000000	0.00928088	390.000000	0.00942543	390.000000	0.00926272	390.000000	0.00922659	390.000000	0.00942299	390.000000	2.43952e-06
400.000000	0.00916551	400.000000	0.00931289	400.000000	0.00915227	400.000000	0.00911615	400.000000	0.00931051	400.000000	2.3831e-06
410.000000	0.00905568	410.000000	0.0092059 	410.000000	0.00904743	410.000000	0.00901123	410.000000	0.00920357	410.000000	2.32933e-06
420.000000	0.008951  	420.000000	0.00910406	420.000000	0.00894719	420.000000	0.00891144	420.000000	0.00910178	420.000000	2.27802e-06
430.000000	0.00885114	430.000000	0.00900703	430.000000	0.00885167	430.000000	0.00881643	430.000000	0.0090048 	430.000000	2.229e-06
440.000000	0.00875578	440.000000	0.0089145 	440.000000	0.00876111	440.000000	0.0087259 	440.000000	0.00891232	440.000000	2.18211e-06
450.000000	0.00866464	450.000000	0.00882617	450.000000	0.00867486	450.000000	0.00863953	450.000000	0.00882403	450.000000	2.13723e-06
460.000000	0.00857745	460.000000	0.00874177	460.000000	0.00859215	460.000000	0.00855708	460.000000	0.00873968	460.000000	2.09422e-06
470.000000	0.00849398	470.000000	0.00866107	470.000000	0.00851287	470.000000	0.00847829	470.000000	0.00865901	470.000000	2.05297e-06
