Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
110.000000	0.0381452 	110.000000	0.0434961 	110.000000	0.0435413 	110.000000	0.0434009 	110.000000	0.0434796 	110.000000	1.64769e-05	
115.000000	0.0369181 	115.000000	0.0421106 	115.000000	0.0421546 	115.000000	0.0420117 	115.000000	0.0420948 	115.000000	1.58187e-05	
120.000000	0.0357861 	120.000000	0.0408352 	120.000000	0.0408774 	120.000000	0.0407324 	120.000000	0.0408199 	120.000000	1.52129e-05	
125.000000	0.0347381 	125.000000	0.0396571 	125.000000	0.0396934 	125.000000	0.0395503 	125.000000	0.0396424 	125.000000	1.46535e-05	
130.000000	0.0337651 	130.000000	0.0385656 	130.000000	0.038597  	130.000000	0.0384547 	130.000000	0.0385514 	130.000000	1.41353e-05	
135.000000	0.0328589 	135.000000	0.0375513 	135.000000	0.0375813 	135.000000	0.0374364 	135.000000	0.0375376 	135.000000	1.36538e-05	
140.000000	0.0320129 	140.000000	0.0366063 	140.000000	0.0366332 	140.000000	0.0364875 	140.000000	0.0365931 	140.000000	1.32052e-05	
145.000000	0.0312209 	145.000000	0.0357237 	145.000000	0.035745  	145.000000	0.035601  	145.000000	0.0357109 	145.000000	1.27863e-05	
150.000000	0.030478  	150.000000	0.0348975 	150.000000	0.0349139 	150.000000	0.034771  	150.000000	0.0348851 	150.000000	1.23941e-05	
155.000000	0.0294318 	155.000000	0.0341223 	155.000000	0.0341366 	155.000000	0.0339923 	155.000000	0.0341103 	155.000000	1.20261e-05	
160.000000	0.0288186 	160.000000	0.0333937 	160.000000	0.0334059 	160.000000	0.0332602 	160.000000	0.033382  	160.000000	1.16801e-05	
165.000000	0.0282403 	165.000000	0.0327074 	165.000000	0.0327153 	165.000000	0.0325706 	165.000000	0.0326961 	165.000000	1.13542e-05	
170.000000	0.0276941 	170.000000	0.0320599 	170.000000	0.0320635 	170.000000	0.0319201 	170.000000	0.0320489 	170.000000	1.10467e-05	
175.000000	0.0271772 	175.000000	0.0314481 	175.000000	0.0314478 	175.000000	0.0313052 	175.000000	0.0314373 	175.000000	1.0756e-05	
180.000000	0.0266874 	180.000000	0.0308689 	180.000000	0.030865  	180.000000	0.0307233 	180.000000	0.0308584 	180.000000	1.04807e-05	
185.000000	0.0262225 	185.000000	0.0303199 	185.000000	0.0303125 	185.000000	0.0301717 	185.000000	0.0303097 	185.000000	1.02198e-05	
190.000000	0.0257806 	190.000000	0.0297988 	190.000000	0.0297882 	190.000000	0.0296481 	190.000000	0.0297888 	190.000000	9.97193e-06	
195.000000	0.0253602 	195.000000	0.0293034 	195.000000	0.0292894 	195.000000	0.0291505 	195.000000	0.0292937 	195.000000	9.73627e-06	
200.000000	0.0249595 	200.000000	0.028832  	200.000000	0.0288149 	200.000000	0.0286769 	200.000000	0.0288225 	200.000000	9.51191e-06	
210.000000	0.0242123 	210.000000	0.0279542 	210.000000	0.027935  	210.000000	0.0277954 	210.000000	0.0279452 	210.000000	9.09391e-06	
