*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
14.000000	2197.49   	14.000000	2175.05   	14.000000	2207.67   	14.000000	2207.65   	14.000000	30.398    	14.000000	17.7833   	14.000000	29.1445   	14.000000	26.3008   	14.000000	29.4502   	
15.000000	2467.69   	15.000000	2436.56   	15.000000	2477.76   	15.000000	2477.75   	15.000000	34.0849   	15.000000	19.8481   	15.000000	32.5542   	15.000000	29.2179   	15.000000	32.8948   	
16.000000	2751.18   	16.000000	2710.4    	16.000000	2760.6    	16.000000	2760.59   	16.000000	37.94     	16.000000	22.0007   	16.000000	36.1093   	16.000000	32.2443   	16.000000	36.4861   	
17.000000	3047.77   	17.000000	2996.49   	17.000000	3055.97   	17.000000	3055.97   	17.000000	41.9599   	17.000000	24.236    	17.000000	39.8069   	17.000000	35.3776   	17.000000	40.2212   	
18.000000	3357.26   	18.000000	3294.76   	18.000000	3363.66   	18.000000	3363.69   	18.000000	46.1421   	18.000000	26.5502   	18.000000	43.6444   	18.000000	38.6155   	18.000000	44.0978   	
19.000000	3679.49   	19.000000	3605.12   	19.000000	3683.49   	19.000000	3683.56   	19.000000	50.4845   	19.000000	28.9409   	19.000000	47.6196   	19.000000	41.9561   	19.000000	48.1135   	
20.000000	4014.29   	20.000000	3927.5    	20.000000	4015.32   	20.000000	4015.42   	20.000000	54.9848   	20.000000	31.406    	20.000000	51.7304   	20.000000	45.3976   	20.000000	52.2665   	
21.000000	4361.51   	21.000000	4261.79   	21.000000	4358.96   	21.000000	4359.1    	21.000000	59.6406   	21.000000	33.9433   	21.000000	55.9749   	21.000000	48.9382   	21.000000	56.5546   	
22.000000	4721      	22.000000	4607.93   	22.000000	4714.28   	22.000000	4714.47   	22.000000	64.4502   	22.000000	36.5514   	22.000000	60.3512   	22.000000	52.5766   	22.000000	60.9763   	
23.000000	5092.62   	23.000000	4965.83   	23.000000	5081.13   	23.000000	5081.36   	23.000000	69.4113   	23.000000	39.2286   	23.000000	64.8574   	23.000000	56.311    	23.000000	65.5298   	
