*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
240.000000	0.948887  	240.000000	0.655218  	240.000000	0.671094  	240.000000	0.65999   	240.000000	0.65505   	240.000000	0.000168122
250.000000	0.926313  	250.000000	0.640414  	250.000000	0.655821  	250.000000	0.644661  	250.000000	0.640252  	250.000000	0.000162003
260.000000	0.905384  	260.000000	0.626712  	260.000000	0.641666  	260.000000	0.630481  	260.000000	0.626556  	260.000000	0.000156332
270.000000	0.885926  	270.000000	0.613995  	270.000000	0.628576  	270.000000	0.617327  	270.000000	0.613844  	270.000000	0.00015106
280.000000	0.867789  	280.000000	0.602161  	280.000000	0.616364  	280.000000	0.605095  	280.000000	0.602015  	280.000000	0.000146147
290.000000	0.850844  	290.000000	0.591123  	290.000000	0.604961  	290.000000	0.593692  	290.000000	0.590981  	290.000000	0.000141556
300.000000	0.834978  	300.000000	0.580804  	300.000000	0.594304  	300.000000	0.58304   	300.000000	0.580667  	300.000000	0.000137257
310.000000	0.82009   	310.000000	0.571138  	310.000000	0.584326  	310.000000	0.573068  	310.000000	0.571005  	310.000000	0.000133221
320.000000	0.806095  	320.000000	0.562066  	320.000000	0.574966  	320.000000	0.563716  	320.000000	0.561936  	320.000000	0.000129426
330.000000	0.792915  	330.000000	0.553535  	330.000000	0.56617   	330.000000	0.554929  	330.000000	0.553409  	330.000000	0.00012585
340.000000	0.780481  	340.000000	0.5455    	340.000000	0.557889  	340.000000	0.54666   	340.000000	0.545377  	340.000000	0.000122474
350.000000	0.768734  	350.000000	0.537919  	350.000000	0.550081  	350.000000	0.538865  	350.000000	0.5378    	350.000000	0.000119282
360.000000	0.757618  	360.000000	0.530757  	360.000000	0.542716  	360.000000	0.531507  	360.000000	0.530641  	360.000000	0.000116259
370.000000	0.747085  	370.000000	0.523981  	370.000000	0.535748  	370.000000	0.524551  	370.000000	0.523868  	370.000000	0.000113392
380.000000	0.737092  	380.000000	0.517561  	380.000000	0.529117  	380.000000	0.517967  	380.000000	0.51745   	380.000000	0.000110668
390.000000	0.727599  	390.000000	0.51147   	390.000000	0.522822  	390.000000	0.511727  	390.000000	0.511362  	390.000000	0.000108077
400.000000	0.71857   	400.000000	0.505686  	400.000000	0.516874  	400.000000	0.505807  	400.000000	0.50558   	400.000000	0.00010561
410.000000	0.709973  	410.000000	0.500186  	410.000000	0.511244  	410.000000	0.500183  	410.000000	0.500083  	410.000000	0.000103258
420.000000	0.70178   	420.000000	0.494951  	420.000000	0.505891  	420.000000	0.494834  	420.000000	0.49485   	420.000000	0.000101012
430.000000	0.693962  	430.000000	0.489962  	430.000000	0.50078   	430.000000	0.489744  	430.000000	0.489863  	430.000000	9.88659e-05
440.000000	0.686497  	440.000000	0.485205  	440.000000	0.495884  	440.000000	0.484893  	440.000000	0.485108  	440.000000	9.68128e-05
450.000000	0.679361  	450.000000	0.480663  	450.000000	0.491211  	450.000000	0.480268  	450.000000	0.480568  	450.000000	9.48466e-05
460.000000	0.672534  	460.000000	0.476323  	460.000000	0.486773  	460.000000	0.475852  	460.000000	0.47623   	460.000000	9.2962e-05
470.000000	0.665998  	470.000000	0.472173  	470.000000	0.482547  	470.000000	0.471635  	470.000000	0.472082  	470.000000	9.11538e-05
480.000000	0.659735  	480.000000	0.468201  	480.000000	0.478491  	480.000000	0.467602  	480.000000	0.468112  	480.000000	8.94174e-05
490.000000	0.65373   	490.000000	0.464397  	490.000000	0.474591  	490.000000	0.463744  	490.000000	0.46431   	490.000000	8.77487e-05
500.000000	0.647967  	500.000000	0.460751  	500.000000	0.470857  	500.000000	0.46005   	500.000000	0.460665  	500.000000	8.61436e-05
520.000000	0.637117  	520.000000	0.453898  	520.000000	0.463895  	520.000000	0.453117  	520.000000	0.453815  	520.000000	8.31101e-05
540.000000	0.627089  	540.000000	0.447577  	540.000000	0.457471  	540.000000	0.446736  	540.000000	0.447497  	540.000000	8.02912e-05
560.000000	0.617798  	560.000000	0.441733  	560.000000	0.451507  	560.000000	0.440848  	560.000000	0.441656  	560.000000	7.76645e-05
580.000000	0.609173  	580.000000	0.436319  	580.000000	0.445996  	580.000000	0.435405  	580.000000	0.436244  	580.000000	7.52109e-05
600.000000	0.60115   	600.000000	0.431292  	600.000000	0.440921  	600.000000	0.43036   	600.000000	0.431219  	600.000000	7.29134e-05
620.000000	0.593674  	620.000000	0.426617  	620.000000	0.436217  	620.000000	0.425678  	620.000000	0.426546  	620.000000	7.07575e-05
640.000000	0.586696  	640.000000	0.42226   	640.000000	0.431815  	640.000000	0.421323  	640.000000	0.422192  	640.000000	6.87304e-05
660.000000	0.580175  	660.000000	0.418195  	660.000000	0.427702  	660.000000	0.417266  	660.000000	0.418128  	660.000000	6.68206e-05
680.000000	0.57407   	680.000000	0.414396  	680.000000	0.42387   	680.000000	0.413482  	680.000000	0.414331  	680.000000	6.50181e-05
700.000000	0.56835   	700.000000	0.410841  	700.000000	0.420288  	700.000000	0.409946  	700.000000	0.410778  	700.000000	6.3314e-05
720.000000	0.562983  	720.000000	0.40751   	720.000000	0.416934  	720.000000	0.406638  	720.000000	0.407449  	720.000000	6.17004e-05
740.000000	0.557942  	740.000000	0.404386  	740.000000	0.413798  	740.000000	0.40354   	740.000000	0.404326  	740.000000	6.01702e-05
760.000000	0.553203  	760.000000	0.401453  	760.000000	0.410868  	760.000000	0.400634  	760.000000	0.401394  	760.000000	5.87169e-05
780.000000	0.548744  	780.000000	0.398696  	780.000000	0.408119  	780.000000	0.397907  	780.000000	0.398638  	780.000000	5.73349e-05
800.000000	0.544545  	800.000000	0.396102  	800.000000	0.405531  	800.000000	0.395343  	800.000000	0.396046  	800.000000	5.60189e-05
820.000000	0.540589  	820.000000	0.393661  	820.000000	0.403091  	820.000000	0.392932  	820.000000	0.393606  	820.000000	5.47643e-05
840.000000	0.536858  	840.000000	0.39136   	840.000000	0.40079   	840.000000	0.390662  	840.000000	0.391307  	840.000000	5.35668e-05
860.000000	0.533338  	860.000000	0.389192  	860.000000	0.39862   	860.000000	0.388523  	860.000000	0.38914   	860.000000	5.24225e-05
880.000000	0.530016  	880.000000	0.387146  	880.000000	0.396572  	880.000000	0.386506  	880.000000	0.387095  	880.000000	5.1328e-05
900.000000	0.526879  	900.000000	0.385216  	900.000000	0.394638  	900.000000	0.384602  	900.000000	0.385166  	900.000000	5.028e-05
920.000000	0.523915  	920.000000	0.383393  	920.000000	0.392812  	920.000000	0.382804  	920.000000	0.383344  	920.000000	4.92756e-05
940.000000	0.521115  	940.000000	0.381671  	940.000000	0.391087  	940.000000	0.381105  	940.000000	0.381623  	940.000000	4.8312e-05
960.000000	0.518469  	960.000000	0.380044  	960.000000	0.389455  	960.000000	0.379499  	960.000000	0.379997  	960.000000	4.73869e-05
980.000000	0.515967  	980.000000	0.378506  	980.000000	0.38791   	980.000000	0.377979  	980.000000	0.37846   	980.000000	4.64978e-05
1000.000000	0.513601  	1000.000000	0.377052  	1000.000000	0.386447  	1000.000000	0.376541  	1000.000000	0.377006  	1000.000000	4.56428e-05
1020.000000	0.511365  	1020.000000	0.375677  	1020.000000	0.385062  	1020.000000	0.375178  	1020.000000	0.375632  	1020.000000	4.48199e-05
1040.000000	0.509251  	1040.000000	0.374377  	1040.000000	0.383749  	1040.000000	0.373887  	1040.000000	0.374333  	1040.000000	4.40272e-05
1060.000000	0.507252  	1060.000000	0.373147  	1060.000000	0.382504  	1060.000000	0.372664  	1060.000000	0.373104  	1060.000000	4.32632e-05
1080.000000	0.505363  	1080.000000	0.371984  	1080.000000	0.381323  	1080.000000	0.371504  	1080.000000	0.371941  	1080.000000	4.25262e-05
1100.000000	0.503578  	1100.000000	0.370884  	1100.000000	0.380203  	1100.000000	0.370403  	1100.000000	0.370842  	1100.000000	4.18149e-05
1120.000000	0.501892  	1120.000000	0.369844  	1120.000000	0.379157  	1120.000000	0.369376  	1120.000000	0.369803  	1120.000000	4.11278e-05
1140.000000	0.5003    	1140.000000	0.36886   	1140.000000	0.378168  	1140.000000	0.368405  	1140.000000	0.36882   	1140.000000	4.04639e-05
1160.000000	0.498797  	1160.000000	0.367931  	1160.000000	0.377229  	1160.000000	0.367485  	1160.000000	0.367891  	1160.000000	3.98218e-05
1180.000000	0.497379  	1180.000000	0.367053  	1180.000000	0.376339  	1180.000000	0.366611  	1180.000000	0.367013  	1180.000000	3.92006e-05
1200.000000	0.496042  	1200.000000	0.366223  	1200.000000	0.375493  	1200.000000	0.365783  	1200.000000	0.366184  	1200.000000	3.85992e-05
1220.000000	0.494782  	1220.000000	0.36544   	1220.000000	0.374691  	1220.000000	0.364997  	1220.000000	0.365401  	1220.000000	3.80167e-05
1240.000000	0.493596  	1240.000000	0.3647    	1240.000000	0.37393   	1240.000000	0.364251  	1240.000000	0.364663  	1240.000000	3.74522e-05
1260.000000	0.492481  	1260.000000	0.364003  	1260.000000	0.373207  	1260.000000	0.363543  	1260.000000	0.363966  	1260.000000	3.69048e-05
1280.000000	0.491434  	1280.000000	0.363346  	1280.000000	0.372521  	1280.000000	0.362871  	1280.000000	0.36331   	1280.000000	3.63738e-05
1300.000000	0.490451  	1300.000000	0.362727  	1300.000000	0.37187   	1300.000000	0.362234  	1300.000000	0.362692  	1300.000000	3.58585e-05
1320.000000	0.48953   	1320.000000	0.362145  	1320.000000	0.371251  	1320.000000	0.36163   	1320.000000	0.36211   	1320.000000	3.5358e-05
1340.000000	0.488668  	1340.000000	0.361598  	1340.000000	0.370664  	1340.000000	0.361056  	1340.000000	0.361563  	1340.000000	3.48719e-05
1360.000000	0.487863  	1360.000000	0.361085  	1360.000000	0.370107  	1360.000000	0.360513  	1360.000000	0.36105   	1360.000000	3.43995e-05
1380.000000	0.487113  	1380.000000	0.360603  	1380.000000	0.369579  	1380.000000	0.359997  	1380.000000	0.360569  	1380.000000	3.39402e-05
1400.000000	0.486415  	1400.000000	0.360152  	1400.000000	0.369078  	1400.000000	0.359508  	1400.000000	0.360119  	1400.000000	3.34935e-05
1420.000000	0.485768  	1420.000000	0.359731  	1420.000000	0.368603  	1420.000000	0.359045  	1420.000000	0.359698  	1420.000000	3.30588e-05
1440.000000	0.485169  	1440.000000	0.359337  	1440.000000	0.368154  	1440.000000	0.358606  	1440.000000	0.359305  	1440.000000	3.26357e-05
1460.000000	0.484616  	1460.000000	0.358971  	1460.000000	0.367728  	1460.000000	0.358191  	1460.000000	0.358939  	1460.000000	3.22236e-05
1480.000000	0.484109  	1480.000000	0.358631  	1480.000000	0.367326  	1480.000000	0.357798  	1480.000000	0.358599  	1480.000000	3.18223e-05
1500.000000	0.483644  	1500.000000	0.358316  	1500.000000	0.366944  	1500.000000	0.357426  	1500.000000	0.358284  	1500.000000	3.14312e-05
1520.000000	0.483222  	1520.000000	0.358024  	1520.000000	0.366583  	1520.000000	0.357074  	1520.000000	0.357993  	1520.000000	3.10499e-05
1540.000000	0.482839  	1540.000000	0.357756  	1540.000000	0.366242  	1540.000000	0.356742  	1540.000000	0.357726  	1540.000000	3.06782e-05
1560.000000	0.482495  	1560.000000	0.35751   	1560.000000	0.365918  	1560.000000	0.356429  	1560.000000	0.35748   	1560.000000	3.03155e-05
1580.000000	0.482188  	1580.000000	0.357286  	1580.000000	0.365611  	1580.000000	0.356133  	1580.000000	0.357256  	1580.000000	2.99617e-05
1600.000000	0.481918  	1600.000000	0.357082  	1600.000000	0.365321  	1600.000000	0.355854  	1600.000000	0.357052  	1600.000000	2.96164e-05
