*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
105.000000	0.0416249 	105.000000	0.0287287 	105.000000	0.0288608 	105.000000	0.0287797 	105.000000	0.0287192 	105.000000	9.49538e-06	
110.000000	0.0402165 	110.000000	0.0278128 	110.000000	0.0279398 	110.000000	0.0278616 	110.000000	0.0278037 	110.000000	9.10508e-06	
115.000000	0.0389222 	115.000000	0.0269715 	115.000000	0.0270947 	115.000000	0.0270173 	115.000000	0.0269628 	115.000000	8.74696e-06	
120.000000	0.0377281 	120.000000	0.0261959 	120.000000	0.0263171 	120.000000	0.026238  	120.000000	0.0261874 	120.000000	8.41714e-06	
125.000000	0.0366229 	125.000000	0.0254785 	125.000000	0.0255952 	125.000000	0.0255164 	125.000000	0.0254703 	125.000000	8.11235e-06	
130.000000	0.0355966 	130.000000	0.0248129 	130.000000	0.0249225 	130.000000	0.0248465 	130.000000	0.0248051 	130.000000	7.8298e-06	
135.000000	0.034641  	135.000000	0.0241938 	135.000000	0.0242988 	135.000000	0.0242227 	135.000000	0.0241862 	135.000000	7.56711e-06	
140.000000	0.0337488 	140.000000	0.0236163 	140.000000	0.0237179 	140.000000	0.0236404 	140.000000	0.023609  	140.000000	7.32223e-06	
145.000000	0.0329137 	145.000000	0.0230764 	145.000000	0.0231727 	145.000000	0.0230956 	145.000000	0.0230693 	145.000000	7.09337e-06	
150.000000	0.0321303 	150.000000	0.0225705 	150.000000	0.0226595 	150.000000	0.0225848 	150.000000	0.0225637 	150.000000	6.879e-06 	
155.000000	0.0310272 	155.000000	0.0220955 	155.000000	0.0221795 	155.000000	0.0221049 	155.000000	0.0220889 	155.000000	6.67776e-06	
160.000000	0.0303806 	160.000000	0.0216487 	160.000000	0.0217279 	160.000000	0.0216531 	160.000000	0.0216422 	160.000000	6.48846e-06	
165.000000	0.0297709 	165.000000	0.0212275 	165.000000	0.0212999 	165.000000	0.0212271 	165.000000	0.0212212 	165.000000	6.31005e-06	
170.000000	0.029195  	170.000000	0.0208298 	170.000000	0.0208966 	170.000000	0.0208247 	170.000000	0.0208237 	170.000000	6.14161e-06	
175.000000	0.02865   	175.000000	0.0204538 	175.000000	0.0205167 	175.000000	0.020444  	175.000000	0.0204478 	175.000000	5.98232e-06	
180.000000	0.0281335 	180.000000	0.0200976 	180.000000	0.0201567 	180.000000	0.0200834 	180.000000	0.0200918 	180.000000	5.83143e-06	
185.000000	0.0276433 	185.000000	0.0197598 	185.000000	0.0198139 	185.000000	0.0197412 	185.000000	0.0197541 	185.000000	5.68828e-06	
190.000000	0.0271775 	190.000000	0.0194389 	190.000000	0.0194871 	190.000000	0.019416  	190.000000	0.0194334 	190.000000	5.5523e-06	
195.000000	0.0267342 	195.000000	0.0191338 	195.000000	0.0191772 	195.000000	0.0191068 	195.000000	0.0191283 	195.000000	5.42294e-06	
200.000000	0.0263118 	200.000000	0.0188432 	200.000000	0.0188832 	200.000000	0.0188122 	200.000000	0.0188379 	200.000000	5.29973e-06	
210.000000	0.025524  	210.000000	0.0183019 	210.000000	0.0183321 	210.000000	0.0182633 	210.000000	0.0182968 	210.000000	5.07006e-06	
220.000000	0.024804  	220.000000	0.0178079 	220.000000	0.0178311 	220.000000	0.0177623 	220.000000	0.017803  	220.000000	4.86025e-06	
230.000000	0.0241433 	230.000000	0.0173552 	230.000000	0.0173702 	230.000000	0.0173032 	230.000000	0.0173505 	230.000000	4.66781e-06	
240.000000	0.0235349 	240.000000	0.0169389 	240.000000	0.0169474 	240.000000	0.0168809 	240.000000	0.0169344 	240.000000	4.49064e-06	
250.000000	0.0229727 	250.000000	0.0165548 	250.000000	0.0165588 	250.000000	0.0164914 	250.000000	0.0165504 	250.000000	4.32696e-06	
260.000000	0.0224517 	260.000000	0.0161993 	260.000000	0.0161974 	260.000000	0.0161311 	260.000000	0.0161951 	260.000000	4.17527e-06	
270.000000	0.0219675 	270.000000	0.0158694 	270.000000	0.0158617 	270.000000	0.0157967 	270.000000	0.0158654 	270.000000	4.03428e-06	
280.000000	0.0215162 	280.000000	0.0155625 	280.000000	0.015551  	280.000000	0.0154858 	280.000000	0.0155586 	280.000000	3.90289e-06	
290.000000	0.0210948 	290.000000	0.0152762 	290.000000	0.0152596 	290.000000	0.0151959 	290.000000	0.0152724 	290.000000	3.78012e-06	
300.000000	0.0207002 	300.000000	0.0150086 	300.000000	0.0149883 	300.000000	0.0149251 	300.000000	0.0150049 	300.000000	3.66516e-06	
310.000000	0.0203301 	310.000000	0.0147579 	310.000000	0.0147348 	310.000000	0.0146715 	310.000000	0.0147543 	310.000000	3.55725e-06	
320.000000	0.0199823 	320.000000	0.0145226 	320.000000	0.0144956 	320.000000	0.0144337 	320.000000	0.0145191 	320.000000	3.45578e-06	
330.000000	0.0196547 	330.000000	0.0143014 	330.000000	0.0142719 	330.000000	0.0142103 	330.000000	0.014298  	330.000000	3.36017e-06	
340.000000	0.0193458 	340.000000	0.014093  	340.000000	0.0140617 	340.000000	0.014     	340.000000	0.0140897 	340.000000	3.26991e-06	
350.000000	0.0190539 	350.000000	0.0138964 	350.000000	0.0138623 	350.000000	0.0138018 	350.000000	0.0138933 	350.000000	3.18458e-06	
360.000000	0.0187778 	360.000000	0.0137107 	360.000000	0.0136747 	360.000000	0.0136147 	360.000000	0.0137076 	360.000000	3.10376e-06	
370.000000	0.0185163 	370.000000	0.013535  	370.000000	0.0134981 	370.000000	0.0134379 	370.000000	0.013532  	370.000000	3.02711e-06	
380.000000	0.0182681 	380.000000	0.0133685 	380.000000	0.01333   	380.000000	0.0132705 	380.000000	0.0133656 	380.000000	2.9543e-06	
390.000000	0.0180324 	390.000000	0.0132106 	390.000000	0.0131703 	390.000000	0.0131118 	390.000000	0.0132077 	390.000000	2.88505e-06	
400.000000	0.0178082 	400.000000	0.0130606 	400.000000	0.0130198 	400.000000	0.0129613 	400.000000	0.0130578 	400.000000	2.81911e-06	
410.000000	0.0175948 	410.000000	0.0129179 	410.000000	0.012877  	410.000000	0.0128183 	410.000000	0.0129152 	410.000000	2.75623e-06	
420.000000	0.0173914 	420.000000	0.0127822 	420.000000	0.0127403 	420.000000	0.0126824 	420.000000	0.0127795 	420.000000	2.69621e-06	
430.000000	0.0171974 	430.000000	0.0126528 	430.000000	0.0126101 	430.000000	0.012553  	430.000000	0.0126502 	430.000000	2.63885e-06	
440.000000	0.0170121 	440.000000	0.0125294 	440.000000	0.0124868 	440.000000	0.0124298 	440.000000	0.0125269 	440.000000	2.58398e-06	
450.000000	0.0168351 	450.000000	0.0124117 	450.000000	0.0123695 	450.000000	0.0123122 	450.000000	0.0124091 	450.000000	2.53144e-06	
460.000000	0.0166657 	460.000000	0.0122991 	460.000000	0.0122569 	460.000000	0.0122001 	460.000000	0.0122966 	460.000000	2.48107e-06	
470.000000	0.0165035 	470.000000	0.0121915 	470.000000	0.0121489 	470.000000	0.0120929 	470.000000	0.012189  	470.000000	2.43275e-06	
480.000000	0.0163481 	480.000000	0.0120885 	480.000000	0.0120464 	480.000000	0.0119908 	480.000000	0.0120861 	480.000000	2.38635e-06	
490.000000	0.0161991 	490.000000	0.0119898 	490.000000	0.0119491 	490.000000	0.0118933 	490.000000	0.0119875 	490.000000	2.34176e-06	
500.000000	0.0160561 	500.000000	0.0118952 	500.000000	0.0118558 	500.000000	0.0118    	500.000000	0.0118929 	500.000000	2.29887e-06	
520.000000	0.015787  	520.000000	0.0117175 	520.000000	0.0116795 	520.000000	0.0116248 	520.000000	0.0117153 	520.000000	2.21782e-06	
540.000000	0.0155382 	540.000000	0.0115535 	540.000000	0.0115179 	540.000000	0.0114635 	540.000000	0.0115514 	540.000000	2.14251e-06	
