# Fitting the markers with func = [0]/x + pol6
# TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    3             15         6        12         2724.2         279.66     -0.0741834    7.59151e-06    4.05976e-09   -5.95547e-13   -4.16646e-16    8.98643e-20
    3             16         6        13       -3024.76        327.962      -0.152838    6.95116e-05   -1.31425e-08   -3.21671e-12    1.77738e-15   -2.07464e-19
    3             17         6        14       -10778.6        373.591       -0.20343    9.63884e-05   -1.76749e-08   -4.09958e-12    2.13217e-15    -2.3385e-19
    4              0         1         1        1460.37      -0.764704      0.0102906   -1.01685e-05   -8.61153e-09    8.61548e-12    1.20161e-14   -1.00523e-17
    4              1         1         2        26.7691        22.9694     -0.0634393    8.27382e-05   -3.81881e-08   -1.22348e-11    1.63871e-14   -3.89579e-18
    4              2         1         3       -472.785        29.2511     -0.0615323    5.96501e-05   -2.11893e-08   -3.62906e-12    4.18888e-15   -7.43032e-19
    4              3         2         3        738.933        44.2354     -0.0404513    2.21837e-05   -4.94547e-09   -9.14263e-13    6.33908e-16    -8.1911e-20
    4              4         2         4        866.915        48.8579     -0.0390712    1.86331e-05   -3.74949e-09   -3.75998e-13    2.71567e-16   -3.01337e-20
    4              5         2         6        730.961        60.3746     -0.0447267     2.0615e-05   -4.02512e-09   -3.62021e-13    2.56472e-16   -2.69828e-20
    4              6         3         6        1296.35        94.1892     -0.0549992    2.38398e-05   -4.91483e-09   -4.18972e-13    3.62444e-16   -4.33523e-20
    4              7         3         7         1210.5        101.428     -0.0578529     2.4095e-05   -4.45485e-09   -4.82939e-13    3.12672e-16   -3.31813e-20
    4              8         3         8        1537.19        105.639     -0.0558901    2.16145e-05   -3.74691e-09   -3.66745e-13    2.26305e-16   -2.25381e-20
    4              9         3         9         1679.5        110.924     -0.0579066     2.2939e-05   -4.05708e-09   -4.92358e-13    2.94035e-16   -3.06137e-20
    4             10         4         7        2496.29        133.721     -0.0528303     1.3469e-05   -7.29122e-10   -3.66218e-13     3.8208e-17    3.47436e-21
    4             11         4         9        2201.37         153.87     -0.0685509    2.54123e-05    -4.2886e-09   -5.93976e-13    3.26175e-16   -3.28612e-20
    4             12         4        10        2160.11        162.382     -0.0708934    2.47636e-05   -3.53001e-09   -6.75953e-13    2.79577e-16   -2.41257e-20
    4             13         5        10         1966.3        213.189     -0.0875244    3.36305e-05   -6.95386e-09    -3.3815e-13    4.20338e-16    -5.1396e-20
    4             14         5        11        2642.06        218.681     -0.0844033     3.0296e-05   -5.54797e-09   -4.50612e-13    3.49647e-16   -3.87154e-20
    4             15         5        12        2411.29        228.698     -0.0861642    2.84847e-05   -4.60081e-09   -3.86347e-13    2.52775e-16   -2.53759e-20
    4             16         6        12        3657.59        277.945     -0.0904533    2.96923e-05   -4.79306e-09   -9.98811e-13    5.33162e-16   -5.87887e-20
    4             17         6        13        7689.63        276.048     -0.0826776    2.59406e-05   -3.52141e-09   -1.23388e-12    5.27238e-16   -5.37968e-20
    4             18         6        14        6224.78        295.767     -0.0983362    3.37827e-05   -5.28097e-09   -1.09339e-12    5.13172e-16   -4.98693e-20
    5              0         1         1        1492.48       -3.44187      0.0319463   -6.72571e-05    4.49011e-08    2.34158e-11   -4.25276e-14    1.44732e-17
    5              1         1         2       -325.339        25.3169     -0.0648602    7.74989e-05   -3.37045e-08   -7.19638e-12    9.96526e-15   -2.13423e-18
    5              2         1         3        10.0027        24.4565     -0.0452908    3.94677e-05   -1.28061e-08   -1.72232e-12    1.91972e-15   -3.06067e-19
    5              3         2         3         453.01        46.0635     -0.0401158    2.10268e-05   -4.60191e-09   -6.72374e-13    4.96772e-16   -6.36939e-20
    5              4         2         4        533.863        51.3221     -0.0399892      1.946e-05   -4.14717e-09   -3.52464e-13    2.95281e-16   -3.40534e-20
    5              5         2         6        920.993        58.7085     -0.0366601    1.43014e-05   -2.30157e-09   -2.85787e-13    1.48328e-16   -1.41104e-20
    5              6         3         6         1165.2        95.2585     -0.0503584    2.00056e-05   -3.72742e-09   -3.53157e-13    2.51481e-16   -2.73787e-20
    5              7         3         7        1220.73        102.324     -0.0533075    2.16527e-05    -4.2851e-09   -2.72581e-13    2.53056e-16   -2.85703e-20
    5              8         3         8         1837.5         103.13     -0.0400854     7.4347e-06    8.87444e-10   -3.08904e-13   -7.53635e-17    1.82607e-20
    5              9         3         9        1142.51         115.91     -0.0607338    2.67005e-05   -5.65906e-09   -5.01971e-13    4.22127e-16   -4.94628e-20
    5             10         4         7        1414.96         142.31      -0.061583    2.19964e-05   -3.85596e-09   -2.96768e-13    2.12837e-16   -2.15741e-20
    5             11         4         9        1577.38        158.833     -0.0663395    2.42426e-05   -4.38413e-09   -4.58329e-13    3.13129e-16   -3.42196e-20
    5             12         4        10        1831.22        166.806     -0.0700434    2.59519e-05   -4.48498e-09   -5.47216e-13    3.12597e-16   -3.08139e-20
    5             13         5        10        1389.54        221.968     -0.0959315    4.41048e-05   -1.06008e-08   -6.53775e-13    7.79482e-16    -9.7721e-20
    5             14         5        11         1902.9         226.53     -0.0860398    3.39761e-05   -7.40538e-09   -3.98964e-13    4.80327e-16    -5.8267e-20
    5             15         5        12        2805.26         230.64     -0.0814976    2.95513e-05   -5.72053e-09   -5.36482e-13    4.19911e-16   -4.77465e-20
    5             16         6        12        4980.41        272.177     -0.0597509    5.14547e-06    2.11882e-09   -2.55851e-13   -1.26763e-16    2.10637e-20
    5             17         6        13        7195.89        277.658     -0.0598146    5.17454e-06    2.38027e-09   -3.12093e-13   -1.54758e-16    2.76805e-20
    5             18         6        14        26586.1        223.603      0.0125004   -3.07856e-05    7.74496e-09    1.04486e-12   -6.75153e-16    7.26722e-20
    5             19         7        15         157725        147.805      0.0255171   -1.46781e-06   -1.34599e-09   -1.89722e-13     4.1499e-17    8.39477e-21
    6              0         1         1        1464.26     -0.0798493      0.0074548   -7.00419e-06   -8.58898e-09    6.79156e-12    1.29922e-14   -1.02682e-17
    6              1         1         2       -835.237        33.7876       -0.10651    0.000152235   -7.69282e-08   -2.50053e-11      3.712e-14   -9.52205e-18
    6              2         1         3       -45.8193        25.8621     -0.0526867    4.91428e-05   -1.63949e-08   -3.15473e-12     3.1977e-15   -5.37078e-19
    6              3         2         3        553.783        46.6434     -0.0470269    2.99797e-05    -8.1977e-09   -1.52657e-12    1.38147e-15   -2.15949e-19
    6              4         2         4        814.258        50.1475     -0.0413958    2.01277e-05   -3.91018e-09   -5.94338e-13    3.62254e-16   -4.07486e-20
    6              5         2         6        955.576        59.9095     -0.0440372    2.01524e-05   -3.89929e-09   -4.03407e-13    2.74198e-16   -2.96375e-20
    6              6         3         6        1398.49        94.8672     -0.0538407    2.20486e-05   -4.26573e-09   -3.37314e-13     2.7371e-16   -3.06047e-20
    6              8         3         8        1714.47        107.315     -0.0574729    2.25849e-05   -3.89702e-09   -5.08848e-13    2.87593e-16   -2.91271e-20
    6              7         3         7        1593.95        100.385     -0.0544382    2.12527e-05   -3.62693e-09   -4.73738e-13     2.6515e-16   -2.67939e-20
    6              9         3         9        1324.28        116.835     -0.0672342    2.93582e-05   -5.65402e-09    -5.8141e-13    3.83169e-16   -3.95206e-20
    6             10         4         7        1285.71        145.121     -0.0738777    3.17267e-05   -6.93782e-09   -4.17799e-13    4.52196e-16   -5.34434e-20
    6             11         4         9        2143.16         156.76      -0.067715    2.21927e-05   -2.85379e-09   -4.93509e-13    1.66627e-16   -1.04609e-20
    6             12         4        10        2940.51        162.773     -0.0702015    2.62075e-05   -4.73961e-09   -5.93732e-13    3.76131e-16   -4.09024e-20
    6             13         5        11        2553.07        224.348      -0.086583    2.99494e-05   -5.06475e-09   -5.60742e-13    3.58707e-16   -3.94356e-20
    6             14         5        12        2922.11        232.801     -0.0897945     3.2081e-05   -5.87955e-09   -4.76623e-13    3.74536e-16   -4.16561e-20
    6             15         6        12        6323.85        267.118     -0.0598212    3.72192e-06    2.67777e-09   -2.59828e-13   -1.76077e-16    3.12647e-20
    6             16         6        13        3640.66        286.795      -0.072056    6.39145e-06    4.09235e-09   -5.88636e-13   -3.54226e-16    7.52099e-20
    6             17         6        14       -7375.66        350.709      -0.159735    6.36174e-05    -8.1968e-09   -3.62553e-12    1.39197e-15   -1.34114e-19
* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    7              0         1         1        1281.34      -0.913261      0.0140634   -1.65994e-05   -1.77771e-08    2.04527e-11    3.48033e-14   -3.39186e-17
    7              1         1         2       -146.041        24.7026     -0.0750539    0.000105983    -5.4355e-08    -1.3573e-11    2.22159e-14   -5.61103e-18
    7              2         1         3       -4.85322        25.0001     -0.0552307    5.69739e-05   -2.15648e-08   -3.95962e-12     4.8724e-15    -9.2458e-19
    7              3         2         3        745.213          42.84     -0.0391391    2.04953e-05   -4.15767e-09    -1.1157e-12    7.29415e-16   -1.04404e-19
