* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   23             14         5        11        0.56964        55.4413      -0.666555     0.00338263    1.41298e-05   -1.25684e-07   -1.14421e-09    8.28913e-12
   23             15         5        12        1.76057        56.9198      -0.633458     0.00269203    1.59669e-05   -1.00729e-07   -1.15297e-09    7.47162e-12
   23             16         5        13        6.52472        57.7546      -0.587581     0.00201305    1.51207e-05   -6.56866e-08   -9.22827e-10    5.18511e-12
   23             17         6        12        1.28612        70.6535      -0.659625     0.00218542    1.58012e-05    -6.2906e-08   -9.38897e-10    4.58666e-12
   23             18         6        13     -0.0945454        73.4364      -0.728466     0.00481062   -1.71638e-05   -6.75949e-08     1.3222e-09   -5.02462e-12
   23             19         6        14        2.01035        74.8841      -0.649023     0.00199139    1.62033e-05   -6.83806e-08   -1.00529e-09    5.61055e-12
   23             20         7        15        2.39563        90.7974       -0.60143    0.000731498    1.59662e-05   -8.37606e-09   -6.97347e-10    1.71967e-12
   24              0         1         1        1.80966       0.860582      0.0171977    -0.00423952   -0.000180759    2.80898e-05     3.3819e-06   -3.18604e-07
   24              1         1         2        1.07588        1.85539     -0.0296226    -0.00807938   -3.11498e-05    4.03685e-05    2.41629e-06    -2.4046e-07
   24              2         1         3       0.781915        2.48008      -0.054757    -0.00763884    2.53407e-05    2.95655e-05    1.36747e-06   -1.22486e-07
   24              3         2         4       0.507513        11.8709      -0.574644     0.00975317    0.000204413   -4.93705e-06   -1.87312e-07    4.14593e-09
   24              4         2         6       0.257188        13.8246      -0.541115     0.00771977    0.000143498   -3.00228e-06   -9.89932e-08    1.94662e-09
   24              5         3         6     -0.0640814         23.245      -0.617519     0.00584174     6.5248e-05   -8.03014e-07   -1.69944e-08    1.95574e-10
   24              6         3         7       -1.91226        25.8227      -0.755738      0.0129834   -8.52585e-05   -8.13779e-07    1.73998e-08   -8.43851e-11
   24              7         4         7      -0.930879         34.448      -0.599694     0.00374637    2.45517e-05   -2.09928e-07   -2.68224e-09    2.06865e-11
   24              8         4         9       -2.23888        40.0332      -0.780488     0.00896476   -3.80334e-05   -2.16459e-07    2.54861e-09   -6.05912e-12
   24              9         4        10       0.990289        40.9738      -0.735055     0.00808667   -3.57921e-05   -1.61401e-07    2.10076e-09   -5.02484e-12
   24             10         5        11       -1.09349        55.2402      -0.734347     0.00599756   -1.95344e-05   -1.22955e-07    1.52489e-09   -4.70304e-12
   25              0         1         1        1.41244        1.06231    -0.00243293    -0.00801783   -0.000171925    7.53243e-05    7.79517e-06   -8.00363e-07
   25              1         1         2        1.34513        1.64925       -0.01938    -0.00693065   -9.25593e-05    3.04782e-05    2.20612e-06    -1.6371e-07
   25              2         1         3        1.71747        2.20681     -0.0422923    -0.00779083    7.43126e-06    3.14974e-05    1.55237e-06   -1.35151e-07
   25              3         2         4        1.14776        10.9843      -0.488352     0.00689874    0.000189015   -3.63908e-06   -1.64698e-07    3.46924e-09
   25              4         2         6      -0.298182        13.8601      -0.569416     0.00859847    0.000151387   -3.31677e-06   -1.07336e-07    2.13401e-09
   25              5         3         6       -2.49836        23.9825      -0.830896      0.0186585   -0.000189128    -1.1084e-06    4.12912e-08    -2.4804e-10
   25              6         3         7       -1.56753        25.2588      -0.774121       0.014459   -0.000107215   -9.20262e-07    2.10918e-08   -9.99857e-11
   25              7         3         8       0.342688         25.233      -0.588034     0.00531292    3.98576e-05   -5.53437e-07   -8.67916e-09    9.79908e-11
   25              8         3         9        1.45076        26.5542      -0.594053     0.00530789    3.66355e-05   -5.39175e-07     -7.764e-09    8.98117e-11
   25              9         4         7       0.172037        33.5589      -0.587189     0.00365138    2.66482e-05   -2.20966e-07   -3.04095e-09    2.36119e-11
   25             10         4         9       -0.81006        38.3898      -0.729117     0.00821873   -3.55251e-05   -1.97896e-07    2.57257e-09   -7.03849e-12
   25             11         4        10       0.237926        39.8153       -0.69561     0.00693595   -2.20552e-05   -1.90225e-07    1.72312e-09   -3.67498e-12
   25             12         5        10       0.064951        51.2144      -0.650347     0.00313994    1.83194e-05   -1.24248e-07   -1.43265e-09    9.25982e-12
   25             13         5        11        0.62271         53.028      -0.646804     0.00319457    1.56799e-05   -1.21996e-07   -1.24472e-09    8.48844e-12
   25             14         5        12       -2.74271        56.1215      -0.786392     0.00806043   -4.43554e-05   -1.46837e-07    3.62055e-09   -1.40193e-11
   25             15         5        13        1.27182        56.0164      -0.593512     0.00210908    1.69143e-05   -7.54792e-08   -1.09721e-09    6.23767e-12
   25             16         6        12        4.12828        66.9274      -0.629201      0.0022353    1.50941e-05   -8.20639e-08   -1.02921e-09    6.49355e-12
   25             17         6        13         4.8933        69.0649      -0.631361     0.00226381    1.53773e-05   -9.21862e-08     -1.106e-09    7.45923e-12
   25             18         6        14        2.18816        72.0889      -0.666313     0.00263048    1.52059e-05   -1.08257e-07    -1.1652e-09    8.32848e-12
   25             19         7        15        3.29423        87.2681      -0.632122     0.00162728    1.49611e-05   -6.07022e-08   -9.02816e-10    4.98186e-12
   26              0         1         1      -0.294133        3.15207      -0.700447      0.0490478     0.00652529   -0.000476753    -9.5355e-05    7.72908e-06
   26              1         1         2       0.904268        2.14753     -0.0763744    -0.00855149    0.000150913    4.98751e-05    2.26515e-06   -2.75448e-07
