*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
5.500000	513.1     	5.500000	509.792   	5.500000	505.569   	5.500000	505.569   	5.500000	8.28037   	5.500000	5.90577   	5.500000	3.28872   	5.500000	3.26021   	5.500000	3.12215
6.000000	594.557   	6.000000	590.902   	6.000000	586       	6.000000	586       	6.000000	9.62701   	6.000000	6.7689    	6.000000	3.79299   	6.000000	3.73131   	6.000000	3.60393
6.500000	681.274   	6.500000	677.121   	6.500000	671.531   	6.500000	671.531   	6.500000	11.0624   	6.500000	7.67587   	6.500000	4.3281    	6.500000	4.22793   	6.500000	4.11537
7.000000	773.181   	7.000000	768.36    	7.000000	762.081   	7.000000	762.081   	7.000000	12.5853   	7.000000	8.62569   	7.000000	4.8935    	7.000000	4.74943   	7.000000	4.65594
7.500000	870.213   	7.500000	864.54    	7.500000	857.575   	7.500000	857.575   	7.500000	14.1945   	7.500000	9.61744   	7.500000	5.4887    	7.500000	5.29527   	7.500000	5.22515
8.000000	972.31    	8.000000	965.586   	8.000000	957.945   	8.000000	957.945   	8.000000	15.8887   	8.000000	10.6504   	8.000000	6.11325   	8.000000	5.86498   	8.000000	5.8226
8.500000	1079.42   	8.500000	1071.43   	8.500000	1063.13   	8.500000	1063.13   	8.500000	17.6671   	8.500000	11.7238   	8.500000	6.76675   	8.500000	6.45812   	8.500000	6.4479
9.000000	1191.48   	9.000000	1182.01   	9.000000	1173.06   	9.000000	1173.06   	9.000000	19.5286   	9.000000	12.8371   	9.000000	7.44884   	9.000000	7.07428   	9.000000	7.10069
9.500000	1308.45   	9.500000	1297.28   	9.500000	1287.7    	9.500000	1287.7    	9.500000	21.4725   	9.500000	13.9894   	9.500000	8.15917   	9.500000	7.7131    	9.500000	7.78066
10.000000	1430.28   	10.000000	1417.15   	10.000000	1406.99   	10.000000	1406.99   	10.000000	23.4977   	10.000000	15.18     	10.000000	8.89743   	10.000000	8.37424   	10.000000	8.4875
11.000000	1688.35   	11.000000	1669.53   	11.000000	1659.56   	11.000000	1659.56   	11.000000	27.8005   	11.000000	17.6803   	11.000000	10.4586   	11.000000	9.76399   	11.000000	9.98267
12.000000	1965.36   	12.000000	1939.99   	12.000000	1930.72   	12.000000	1930.71   	12.000000	32.4435   	12.000000	20.3425   	12.000000	12.1333   	12.000000	11.2437   	12.000000	11.587
13.000000	2261.01   	13.000000	2228.35   	13.000000	2220.24   	13.000000	2220.23   	13.000000	37.4233   	13.000000	23.1638   	13.000000	13.9207   	13.000000	12.8125   	13.000000	13.2999
14.000000	2575.03   	14.000000	2534.43   	14.000000	2527.94   	14.000000	2527.93   	14.000000	42.7374   	14.000000	26.1409   	14.000000	15.8202   	14.000000	14.4695   	14.000000	15.1208
15.000000	2907.15   	15.000000	2858.04   	15.000000	2853.66   	15.000000	2853.65   	15.000000	48.3841   	15.000000	29.2737   	15.000000	17.8313   	15.000000	16.2137   	15.000000	17.0491
16.000000	3257.15   	16.000000	3199.02   	16.000000	3197.24   	16.000000	3197.23   	16.000000	54.3621   	16.000000	32.5615   	16.000000	19.9535   	16.000000	18.0446   	16.000000	19.0845
17.000000	3624.79   	17.000000	3557.21   	17.000000	3558.56   	17.000000	3558.57   	17.000000	60.6699   	17.000000	36.0016   	17.000000	22.1863   	17.000000	19.9615   	17.000000	21.2266
18.000000	4009.87   	18.000000	3932.43   	18.000000	3937.51   	18.000000	3937.54   	18.000000	67.3069   	18.000000	39.5927   	18.000000	24.5294   	18.000000	21.9637   	18.000000	23.475
19.000000	4412.19   	19.000000	4324.55   	19.000000	4333.98   	19.000000	4334.04   	19.000000	74.2731   	19.000000	43.3347   	19.000000	26.9826   	19.000000	24.0509   	19.000000	25.8296
20.000000	4831.54   	20.000000	4733.42   	20.000000	4747.9    	20.000000	4748      	20.000000	81.5683   	20.000000	47.2274   	20.000000	29.5458   	20.000000	26.2227   	20.000000	28.2904
21.000000	5267.76   	21.000000	5158.88   	21.000000	5179.19   	21.000000	5179.33   	21.000000	89.1923   	21.000000	51.27     	21.000000	32.2186   	21.000000	28.4788   	21.000000	30.8572
22.000000	5720.68   	22.000000	5600.82   	22.000000	5627.78   	22.000000	5627.96   	22.000000	97.1451   	22.000000	55.4627   	22.000000	35.0011   	22.000000	30.8188   	22.000000	33.53
23.000000	6190.12   	23.000000	6059.08   	23.000000	6093.59   	23.000000	6093.82   	23.000000	105.427   	23.000000	59.8052   	23.000000	37.8932   	23.000000	33.2426   	23.000000	36.3088
24.000000	6675.92   	24.000000	6533.54   	24.000000	6576.56   	24.000000	6576.85   	24.000000	114.037   	24.000000	64.2962   	24.000000	40.8947   	24.000000	35.7497   	24.000000	39.1934
25.000000	7177.94   	25.000000	7024.09   	25.000000	7076.62   	25.000000	7077      	25.000000	122.974   	25.000000	68.9337   	25.000000	44.0055   	25.000000	38.3399   	25.000000	42.1838
27.000000	8230.04   	27.000000	8052.91   	27.000000	8127.77   	27.000000	8128.45   	27.000000	141.832   	27.000000	78.6485   	27.000000	50.5543   	27.000000	43.7687   	27.000000	48.4817
29.000000	9345.31   	29.000000	9144.62   	29.000000	9246.74   	29.000000	9247.76   	29.000000	162.005   	29.000000	88.958    	29.000000	57.5402   	29.000000	49.5281   	29.000000	55.2035
31.000000	10522.7   	31.000000	10298.3   	31.000000	10432.5   	31.000000	10433.9   	31.000000	183.459   	31.000000	99.8432   	31.000000	64.9569   	31.000000	55.6121   	31.000000	62.3438
33.000000	11761.2   	33.000000	11513.2   	33.000000	11680.6   	33.000000	11682.4   	33.000000	205.982   	33.000000	111.189   	33.000000	72.7648   	33.000000	61.9893   	33.000000	69.8652
35.000000	13059.9   	35.000000	12788.3   	35.000000	12989.5   	35.000000	12991.8   	35.000000	229.538   	35.000000	122.979   	35.000000	80.9494   	35.000000	68.6478   	35.000000	77.7543
38.000000	15119     	38.000000	14812.4   	38.000000	15065     	38.000000	15068     	38.000000	266.79    	38.000000	141.495   	38.000000	93.9123   	38.000000	79.1452   	38.000000	90.2591
41.000000	17308.9   	41.000000	16968     	41.000000	17272.6   	41.000000	17276.7   	41.000000	306.309   	41.000000	160.976   	41.000000	107.675   	41.000000	90.2343   	41.000000	103.548
44.000000	19626.9   	44.000000	19252.6   	44.000000	19610.2   	44.000000	19615.4   	44.000000	348.073   	44.000000	181.414   	44.000000	122.219   	44.000000	101.9     	44.000000	117.606
47.000000	22070.6   	47.000000	21664.1   	47.000000	22075.3   	47.000000	22081.7   	47.000000	392.043   	47.000000	202.795   	47.000000	137.527   	47.000000	114.127   	47.000000	132.417
50.000000	24637.8   	50.000000	24200.1   	50.000000	24665.9   	50.000000	24673.6   	50.000000	438.179   	50.000000	225.099   	50.000000	153.581   	50.000000	126.902   	50.000000	147.967
55.000000	29185     	55.000000	28698.2   	55.000000	29256.7   	55.000000	29266.5   	55.000000	519.772   	55.000000	264.282   	55.000000	181.958   	55.000000	149.381   	55.000000	175.491
60.000000	34060     	60.000000	33527.7   	60.000000	34181.2   	60.000000	34193.2   	60.000000	607.078   	60.000000	305.912   	60.000000	212.303   	60.000000	173.3     	60.000000	204.976
65.000000	39254.1   	65.000000	38680.1   	65.000000	39430.2   	65.000000	39445.4   	65.000000	699.877   	65.000000	349.861   	65.000000	244.546   	65.000000	198.606   	65.000000	236.366
70.000000	44759.5   	70.000000	44147.3   	70.000000	44996.5   	70.000000	45015     	70.000000	798.018   	70.000000	396.096   	70.000000	278.633   	70.000000	225.259   	70.000000	269.613
75.000000	50568.7   	75.000000	49921.7   	75.000000	50872.7   	75.000000	50894.7   	75.000000	901.336   	75.000000	444.511   	75.000000	314.509   	75.000000	253.221   	75.000000	304.674
80.000000	56675     	80.000000	55996     	80.000000	57051.7   	80.000000	57077.4   	80.000000	1009.66   	80.000000	495.075   	80.000000	352.123   	80.000000	282.452   	80.000000	341.505
85.000000	63071.8   	85.000000	62363.4   	85.000000	63526.9   	85.000000	63556.4   	85.000000	1122.84   	85.000000	547.732   	85.000000	391.424   	85.000000	312.918   	85.000000	380.063
90.000000	69752.9   	90.000000	69017.3   	90.000000	70291.9   	90.000000	70325.2   	90.000000	1240.71   	90.000000	602.396   	90.000000	432.363   	90.000000	344.585   	90.000000	420.309
95.000000	76712.7   	95.000000	75951.3   	95.000000	77340     	95.000000	77377.9   	95.000000	1363.1    	95.000000	658.964   	95.000000	474.887   	95.000000	377.415   	95.000000	462.197
100.000000	83945.6   	100.000000	83159.5   	100.000000	84665.2   	100.000000	84708.5   	100.000000	1489.87   	100.000000	717.391   	100.000000	518.951   	100.000000	411.377   	100.000000	505.69
105.000000	91446.5   	105.000000	90635.9   	105.000000	92262.7   	105.000000	92311.3   	105.000000	1620.9    	105.000000	777.683   	105.000000	564.515   	105.000000	446.446   	105.000000	550.756
