*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
15.000000	0.156516  	15.000000	0.151228  	15.000000	0.150271  	15.000000	0.150528  	15.000000	0.151155  	15.000000	7.27265e-05
16.000000	0.148537  	16.000000	0.143799  	16.000000	0.142732  	16.000000	0.142998  	16.000000	0.14373   	16.000000	6.86366e-05
17.000000	0.141404  	17.000000	0.13712   	17.000000	0.135952  	17.000000	0.136221  	17.000000	0.137055  	17.000000	6.50019e-05
18.000000	0.134988  	18.000000	0.131082  	18.000000	0.129822  	18.000000	0.130087  	18.000000	0.131021  	18.000000	6.17493e-05
19.000000	0.129183  	19.000000	0.125598  	19.000000	0.124249  	19.000000	0.124506  	19.000000	0.125539  	19.000000	5.88207e-05
20.000000	0.123905  	20.000000	0.120594  	20.000000	0.119156  	20.000000	0.119405  	20.000000	0.120538  	20.000000	5.61693e-05
21.000000	0.119085  	21.000000	0.116009  	21.000000	0.114482  	21.000000	0.114723  	21.000000	0.115955  	21.000000	5.3757e-05
22.000000	0.114664  	22.000000	0.111792  	22.000000	0.11018   	22.000000	0.110408  	22.000000	0.11174   	22.000000	5.15523e-05
23.000000	0.110594  	23.000000	0.1079    	23.000000	0.106205  	23.000000	0.106419  	23.000000	0.107851  	23.000000	4.95292e-05
24.000000	0.106834  	24.000000	0.104297  	24.000000	0.102518  	24.000000	0.102719  	24.000000	0.104249  	24.000000	4.76657e-05
25.000000	0.103349  	25.000000	0.100951  	25.000000	0.0990868 	25.000000	0.0992779 	25.000000	0.100905  	25.000000	4.59435e-05
27.000000	0.0970905 	27.000000	0.0949273 	27.000000	0.0928995 	27.000000	0.0930674 	27.000000	0.0948845 	27.000000	4.28622e-05
29.000000	0.0916271 	29.000000	0.0896537 	29.000000	0.0874767 	29.000000	0.087615  	29.000000	0.0896136 	29.000000	4.01845e-05
31.000000	0.0868138 	31.000000	0.084997  	31.000000	0.0828478 	31.000000	0.0829546 	31.000000	0.0849592 	31.000000	3.78349e-05
33.000000	0.0825393 	33.000000	0.0808537 	33.000000	0.07888   	33.000000	0.0789613 	33.000000	0.080818  	33.000000	3.57558e-05
35.000000	0.0787164 	35.000000	0.0771424 	35.000000	0.0753332 	35.000000	0.0753829 	35.000000	0.0771085 	35.000000	3.39025e-05
