*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
3.000000	52.6782   	3.000000	47.8846   	3.000000	49.9604   	3.000000	49.9604   	3.000000	0.27583   	3.000000	0.192351  	3.000000	0.497773  	3.000000	0.520824  	3.000000	0.498583
3.500000	64.0384   	3.500000	59.2264   	3.500000	61.3004   	3.500000	61.3004   	3.500000	0.338682  	3.500000	0.232379  	3.500000	0.559789  	3.500000	0.585211  	3.500000	0.561353
4.000000	76.3068   	4.000000	71.5384   	4.000000	73.5895   	4.000000	73.5895   	4.000000	0.407528  	4.000000	0.275527  	4.000000	0.624646  	4.000000	0.652059  	4.000000	0.627102
4.500000	89.4746   	4.500000	84.7828   	4.500000	86.8138   	4.500000	86.8138   	4.500000	0.482255  	4.500000	0.321668  	4.500000	0.692874  	4.500000	0.721849  	4.500000	0.696366
5.000000	103.531   	5.000000	98.9328   	5.000000	100.958   	5.000000	100.958   	5.000000	0.562735  	5.000000	0.370687  	5.000000	0.764783  	5.000000	0.794861  	5.000000	0.769453
5.500000	118.467   	5.500000	113.967   	5.500000	116.009   	5.500000	116.009   	5.500000	0.648843  	5.500000	0.422491  	5.500000	0.840608  	5.500000	0.871315  	5.500000	0.846597
6.000000	134.269   	6.000000	129.868   	6.000000	131.95    	6.000000	131.95    	6.000000	0.740457  	6.000000	0.476996  	6.000000	0.920429  	6.000000	0.951264  	6.000000	0.927871
6.500000	150.928   	6.500000	146.62    	6.500000	148.768   	6.500000	148.768   	6.500000	0.837464  	6.500000	0.534119  	6.500000	1.00441   	6.500000	1.03484   	6.500000	1.01344
7.000000	168.434   	7.000000	164.208   	7.000000	166.449   	7.000000	166.449   	7.000000	0.939757  	7.000000	0.593788  	7.000000	1.09249   	7.000000	1.12195   	7.000000	1.10323
7.500000	186.777   	7.500000	182.619   	7.500000	184.982   	7.500000	184.982   	7.500000	1.04724   	7.500000	0.655939  	7.500000	1.18471   	7.500000	1.21263   	7.500000	1.19729
8.000000	205.947   	8.000000	201.84    	8.000000	204.354   	8.000000	204.354   	8.000000	1.15981   	8.000000	0.72051   	8.000000	1.28104   	8.000000	1.30683   	8.000000	1.29557
8.500000	225.935   	8.500000	221.861   	8.500000	224.554   	8.500000	224.554   	8.500000	1.2774    	8.500000	0.787448  	8.500000	1.38143   	8.500000	1.40451   	8.500000	1.39804
9.000000	246.733   	9.000000	242.67    	9.000000	245.571   	9.000000	245.571   	9.000000	1.39992   	9.000000	0.856704  	9.000000	1.48587   	9.000000	1.50563   	9.000000	1.50467
9.500000	268.332   	9.500000	264.257   	9.500000	267.395   	9.500000	267.395   	9.500000	1.52731   	9.500000	0.928236  	9.500000	1.5943    	9.500000	1.61014   	9.500000	1.6154
10.000000	290.724   	10.000000	286.608   	10.000000	290.018   	10.000000	290.018   	10.000000	1.65948   	10.000000	1.00201   	10.000000	1.70456   	10.000000	1.71795   	10.000000	1.72924
11.000000	337.858   	11.000000	333.119   	11.000000	337.541   	11.000000	337.522   	11.000000	1.93663   	11.000000	1.15608   	11.000000	1.92345   	11.000000	1.94283   	11.000000	1.9536
12.000000	388.078   	12.000000	382.316   	12.000000	387.997   	12.000000	387.926   	12.000000	2.22983   	12.000000	1.32009   	12.000000	2.15963   	12.000000	2.1794    	12.000000	2.19562
13.000000	441.329   	13.000000	434.21    	13.000000	441.329   	13.000000	441.175   	13.000000	2.53895   	13.000000	1.49383   	13.000000	2.41169   	13.000000	2.41347   	13.000000	2.45387
14.000000	497.564   	14.000000	488.799   	14.000000	497.483   	14.000000	497.223   	14.000000	2.86383   	14.000000	1.6766    	14.000000	2.6787    	14.000000	2.65939   	14.000000	2.72742
15.000000	556.734   	15.000000	546.078   	15.000000	556.412   	15.000000	556.025   	15.000000	3.20428   	15.000000	1.86778   	15.000000	2.95984   	15.000000	2.91756   	15.000000	3.01546
16.000000	618.797   	16.000000	606.035   	16.000000	618.072   	16.000000	617.538   	16.000000	3.56008   	16.000000	2.06686   	16.000000	3.25452   	16.000000	3.18731   	16.000000	3.3174
17.000000	683.713   	17.000000	668.659   	17.000000	682.42    	17.000000	681.723   	17.000000	3.93103   	17.000000	2.2735    	17.000000	3.56225   	17.000000	3.46814   	17.000000	3.63277
18.000000	751.442   	18.000000	733.934   	18.000000	749.418   	18.000000	748.544   	18.000000	4.31691   	18.000000	2.48746   	18.000000	3.88262   	18.000000	3.75958   	18.000000	3.96115
19.000000	821.949   	19.000000	801.845   	19.000000	819.025   	19.000000	817.965   	19.000000	4.71746   	19.000000	2.70855   	19.000000	4.21529   	19.000000	4.06128   	19.000000	4.30221
20.000000	895.198   	20.000000	872.373   	20.000000	891.207   	20.000000	889.954   	20.000000	5.13248   	20.000000	2.93652   	20.000000	4.55997   	20.000000	4.37295   	20.000000	4.65566
21.000000	971.157   	21.000000	945.503   	21.000000	965.935   	21.000000	964.481   	21.000000	5.56184   	21.000000	3.17115   	21.000000	4.91642   	21.000000	4.69432   	21.000000	5.02127
22.000000	1049.8    	22.000000	1021.22   	22.000000	1043.18   	22.000000	1041.53   	22.000000	6.00545   	22.000000	3.41233   	22.000000	5.28447   	22.000000	5.02521   	22.000000	5.39888
23.000000	1131.08   	23.000000	1099.5    	23.000000	1122.92   	23.000000	1121.05   	23.000000	6.463     	23.000000	3.65985   	23.000000	5.66387   	23.000000	5.36538   	23.000000	5.78823
24.000000	1214.99   	24.000000	1180.32   	24.000000	1205.1    	24.000000	1203.03   	24.000000	6.93421   	24.000000	3.91354   	24.000000	6.05438   	24.000000	5.7146    	24.000000	6.18909
25.000000	1301.49   	25.000000	1263.68   	25.000000	1289.71   	25.000000	1287.43   	25.000000	7.41891   	25.000000	4.17327   	25.000000	6.45583   	25.000000	6.07269   	25.000000	6.6013
27.000000	1482.15   	27.000000	1437.92   	27.000000	1466.09   	27.000000	1463.4    	27.000000	8.42814   	27.000000	4.71051   	27.000000	7.29087   	27.000000	6.81486   	27.000000	7.45911
29.000000	1672.89   	29.000000	1622.07   	29.000000	1651.85   	29.000000	1648.77   	29.000000	9.48907   	29.000000	5.27055   	29.000000	8.16762   	29.000000	7.5906    	29.000000	8.36032
