* Fitting the markers with func = [0]/x + pol6
*TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
   27              1         1         2        316.031        4.36965    -0.00804312    6.83317e-06   -2.29688e-09   -7.16011e-14    2.04318e-16   -3.15551e-20
   27              2         1         3         280.98        6.13995     -0.0104761    8.28773e-06   -2.57405e-09   -7.70645e-14    1.93352e-16   -2.71218e-20
   28              0         1         1        278.326        3.00122    -0.00772026    8.51356e-06   -3.49957e-09   -2.75375e-13    5.46544e-16   -1.00833e-19
   28              1         1         2        309.692        4.85078    -0.00974419    8.85673e-06    -3.1619e-09   -1.56332e-13    3.49757e-16   -5.75941e-20
   28              2         1         3        360.148        5.76434    -0.00934783    6.98383e-06   -2.04651e-09   -8.09773e-14    1.49288e-16   -1.99134e-20
   29              0         1         1        516.369       0.944165     -0.0013418    5.84582e-07    7.86631e-11   -5.43417e-14   -1.84662e-17    6.32043e-21
   29              1         1         2        307.822        5.14393     -0.0109849    1.05303e-05   -3.86091e-09   -2.72466e-13    4.94566e-16   -8.31604e-20
   29              2         1         3        423.801        5.37061    -0.00876749    6.61886e-06   -1.92756e-09   -7.90975e-14    1.38914e-16    -1.8271e-20
   29             13         5        11       -543.254        92.6466     -0.0510762    1.70274e-05   -1.40162e-09    -6.4935e-13    1.66909e-16   -1.08835e-20
   30              0         1         1        235.939        2.56425    -0.00575962    5.86283e-06   -2.27369e-09     -1.712e-13    3.31672e-16   -6.00783e-20
   30              1         1         2        208.028        4.92175    -0.00992227    9.47893e-06   -3.58513e-09   -2.04532e-13    4.59833e-16   -8.05897e-20
   30              2         1         3        271.659        5.70468    -0.00905514    6.72623e-06   -1.98392e-09   -3.99108e-14    1.25152e-16   -1.65874e-20
   30             14         5        11       -512.216        84.3789     -0.0294035    3.04488e-06     1.2024e-09   -1.42734e-13   -7.58464e-17     1.3221e-20
   33              0         1         1         520.39       0.465703   -0.000460495    1.91335e-07    3.92718e-11   -1.92198e-14   -7.78433e-18     2.4241e-21
   33              1         1         2        386.184        3.73018    -0.00683093    5.70086e-06   -1.82265e-09   -1.05517e-13    1.73699e-16   -2.54781e-20
   33              2         1         3         509.91        4.18808    -0.00630732    4.53509e-06   -1.30849e-09   -4.52486e-14    9.34935e-17   -1.27474e-20
   34              0         1         1        189.533        3.34545    -0.00889009    1.03432e-05    -4.5134e-09    -4.0722e-13    8.34771e-16   -1.66586e-19
   34              1         1         2        280.004        4.49568    -0.00928838    9.05981e-06   -3.44699e-09   -2.73311e-13    5.04381e-16   -9.03519e-20
   34              2         1         3         317.65        5.35305    -0.00844942    6.30382e-06   -1.86693e-09   -5.90483e-14    1.32014e-16   -1.78917e-20
   35              0         1         1        547.646       0.696822   -0.000837544    2.75027e-07    8.00289e-11   -2.00376e-14   -1.11359e-17    1.31114e-21
   35              1         1         2        362.016        4.65027    -0.00931584    8.55038e-06   -3.05649e-09   -2.07232e-13    3.83544e-16   -6.50511e-20
   35              2         1         3        480.693        4.94269    -0.00741692    5.26424e-06   -1.46795e-09   -7.91754e-14    1.13399e-16   -1.50806e-20
   35             13         5        10        -71.858           87.2     -0.0402633    7.15783e-06    1.83937e-09   -3.74003e-13   -1.53508e-16    3.15887e-20
   35             14         5        11        431.764        88.7047     -0.0394994    6.86833e-06    1.78841e-09   -3.61708e-13   -1.48127e-16    3.09456e-20
