* Fitting the markers with func = [0]/x + pol6
* TeleNo     ParticleNo       Z         A          a0             a1             a2           a3             a4             a5             a6             a7
    6              4         2         4        814.258        50.1475     -0.0413958    2.01277e-05   -3.91018e-09   -5.94338e-13    3.62254e-16   -4.07486e-20
    6              5         2         6        955.576        59.9095     -0.0440372    2.01524e-05   -3.89929e-09   -4.03407e-13    2.74198e-16   -2.96375e-20
    6              6         3         6        1398.49        94.8672     -0.0538407    2.20486e-05   -4.26573e-09   -3.37314e-13     2.7371e-16   -3.06047e-20
    6              8         3         8        1714.47        107.315     -0.0574729    2.25849e-05   -3.89702e-09   -5.08848e-13    2.87593e-16   -2.91271e-20
    6              7         3         7        1593.95        100.385     -0.0544382    2.12527e-05   -3.62693e-09   -4.73738e-13     2.6515e-16   -2.67939e-20
    6              9         3         9        1324.28        116.835     -0.0672342    2.93582e-05   -5.65402e-09    -5.8141e-13    3.83169e-16   -3.95206e-20
    6             10         4         7        1285.71        145.121     -0.0738777    3.17267e-05   -6.93782e-09   -4.17799e-13    4.52196e-16   -5.34434e-20
    6             11         4         9        2143.16         156.76      -0.067715    2.21927e-05   -2.85379e-09   -4.93509e-13    1.66627e-16   -1.04609e-20
    6             12         4        10        2940.51        162.773     -0.0702015    2.62075e-05   -4.73961e-09   -5.93732e-13    3.76131e-16   -4.09024e-20
    6             13         5        10        2245.29        217.807     -0.0878764    3.13487e-05   -5.12067e-09   -1.15899e-12    6.30763e-16    -7.3683e-20   
    6             14         5        11        2553.07        224.348      -0.086583    2.99494e-05   -5.06475e-09   -5.60742e-13    3.58707e-16   -3.94356e-20
    6             15         5        12        2922.11        232.801     -0.0897945     3.2081e-05   -5.87955e-09   -4.76623e-13    3.74536e-16   -4.16561e-20
    6             16         6        12       -234.083        306.384      -0.129791    5.15498e-05   -8.74638e-09   -1.39287e-12    7.03153e-16   -6.74753e-20
    6             17         6        13        1111.84        301.233     -0.0975797    2.64146e-05   -2.53562e-09   -8.26599e-13     2.6113e-16   -2.00867e-20
    6             18         6        14         4020.6         294.44     -0.0703376    6.17988e-06     2.7053e-09   -3.32975e-13   -1.66337e-16    2.97351e-20
    7              0         1         1        958.915        2.80746    0.000575774   -3.96584e-06   -2.13177e-10    2.77354e-12    1.65479e-15     -1.914e-18
    7              1         1         2       -146.041        24.7026     -0.0750539    0.000105983    -5.4355e-08    -1.3573e-11    2.22159e-14   -5.61103e-18
    7              2         1         3        104.192        23.4147     -0.0478508    4.47202e-05   -1.55568e-08   -1.67499e-12     2.2213e-15   -3.64014e-19
    7              3         2         3        596.964        43.9532     -0.0422601    2.33925e-05   -5.56404e-09    -3.5647e-13    3.84015e-16   -4.59301e-20
    7              4         2         4        922.682        47.5241     -0.0389241    1.86388e-05   -3.76863e-09   -3.67657e-13    2.77643e-16   -3.22191e-20
    7              5         2         6        1003.36        56.7409     -0.0399503    1.65809e-05   -2.68278e-09   -4.00548e-13    1.94623e-16   -1.83385e-20
    7              6         3         6        1376.38         91.345     -0.0525878    2.07274e-05   -3.57358e-09   -3.97682e-13    2.33736e-16   -2.30377e-20
    7              7         3         7        888.917        103.144     -0.0671643    3.20659e-05   -7.24434e-09   -3.05203e-13    4.15908e-16   -4.95815e-20
    7              8         3         8        1495.17        105.009     -0.0596167    2.45016e-05   -4.35425e-09   -5.65825e-13     3.2217e-16   -3.22949e-20
    7              9         3         9        1901.69         107.84     -0.0551126    1.93481e-05   -2.71051e-09   -4.20615e-13    1.73936e-16   -1.42728e-20
    7             10         4         7        982.361        142.994     -0.0801547    3.64562e-05   -7.97505e-09    -5.3452e-13    5.30131e-16    -6.2017e-20
    7             11         4         9        1987.51        152.386     -0.0678318    2.21519e-05   -2.67789e-09   -6.13372e-13    2.02284e-16   -1.39056e-20
    7             12         4        10        1923.72        162.674     -0.0784616    3.16221e-05   -6.21074e-09    -5.2431e-13    4.21207e-16   -4.73997e-20
    7             13         5        10        1768.65        213.787     -0.0964784     3.9347e-05    -7.7741e-09   -7.68163e-13    5.76104e-16   -6.51252e-20
    7             14         5        11        2941.86        214.386     -0.0801026     2.3628e-05   -2.56586e-09   -6.57497e-13    2.11756e-16   -1.58277e-20
    7             15         5        12        2450.04        231.067      -0.116289    8.00739e-05   -4.71011e-08    1.73145e-11   -3.33593e-15    2.56032e-19
    7             16         6        12        4424.32        271.688     -0.0871654    2.57238e-05    -3.5653e-09   -6.57233e-13    3.01947e-16   -2.86567e-20
    7             17         6        13        1622.46        296.942      -0.116318    4.32256e-05   -7.31593e-09    -1.0544e-12    5.80611e-16    -5.9949e-20
    7             18         6        14        3843.19        293.242     -0.0918205    2.21505e-05    -9.2497e-10    -8.5301e-13     1.5447e-16   -5.29185e-21
    8              0         1         1        1655.54      -0.719403     0.00636795   -5.13874e-06   -6.54377e-09    4.65857e-12    9.58661e-15   -7.09655e-18
    8              1         1         2       -696.805        34.4034      -0.114237    0.000168194   -8.51579e-08   -3.59945e-11    5.10171e-14   -1.36703e-17
    8              2         1         3        168.055        25.3861     -0.0549196    5.30332e-05   -1.83663e-08    -3.3191e-12    3.58691e-15   -6.17061e-19
    8              3         2         3        889.909        45.2434     -0.0428895    2.23326e-05   -4.89752e-09   -3.83871e-13    3.34268e-16   -3.79805e-20
    8              4         2         4        1118.66        50.2047     -0.0426981    2.05737e-05   -4.01442e-09   -4.91385e-13    3.12765e-16   -3.39333e-20
    8              5         2         6        1046.13        61.6164      -0.048366    2.29472e-05   -4.63369e-09   -4.48721e-13    3.28894e-16   -3.64683e-20
    8              6         3         6        1756.01        95.3373     -0.0546255    2.08527e-05   -3.42742e-09    -4.8794e-13    2.67925e-16       -2.8e-20
