*EntryIndex         SSDNum     CHNum   ECh_Cut       ECh
28700              1        12   116.017       612
28700              1        13   91.8378       507
28700              2        15   89.7282       404
28800              2         4   96.9622       349
28900              2         1   141.968       346
28900              2         2   72.8214       113
28900              2         3   102.754       133
28900              2         4   96.9622       121
28900              2         5    79.497       100
28900              2         6   81.6839       102
28900              2         7   78.1233        98
28900              2         8   73.6897        92
28900              2         9   74.8055        93
28900              2        10   104.049       123
28900              2        11   110.194       131
28900              2        12   100.955       124
28900              2        13   117.267       140
28900              2        14   93.2145       124
28900              2        15   89.7282       129
28900              2        16   90.0124       281
29000              1         2   80.2209       156
29000              4        12   130.483       667
29100              3         4   119.489       178
29400              1         7   115.958       317
29400              2         5    79.497       588
29500              4        12   130.483      2584
29600              3        14   113.862       543
29700              1        16   102.116       492
29700              2         2   72.8214       119
29700              2         6   81.6839       394
29700              4         1   132.578       437
29800              1        12   116.017       658
29800              1        13   91.8378       117
29800              2         6   81.6839       568
29800              3         6    71.929       420
29900              1        12   116.017       896
29900              2         2   72.8214       269
29900              2         3   102.754       116
30000              1         9   117.688       598
30000              1        15    155.39       815
30000              1        16   102.116       152
30100              1        12   116.017       152
30100              2         2   72.8214       884
30100              4         1   132.578      1603
30200              2         7   78.1233       769
30200              2        11   110.194       773
30400              1        10   115.012       383
30400              4        12   130.483       774
30500              1         8   79.2956      2741
30600              4         6   137.113       813
30600              4         9   143.887      1899
30600              4        16   128.906       227
30700              1         2   80.2209        94
30700              1         9   117.688       794
30700              4         2   118.513       187
30700              4         4   103.428       257
30800              1         2   80.2209       376
30800              4        11   142.904       277
30900              2         2   72.8214       397
30900              3         4   119.489      1127
31000              4         6   137.113       903
31000              4        10   147.035       263
31000              4        12   130.483       976
31100              3        13   121.802      1392
31200              1         8   79.2956       880
31200              1        12   116.017       929
31200              2        13   117.267       131
31200              3         1   114.034       167
31400              4         7   126.957       613
31500              3         3   120.387       477
31600              2         2   72.8214       417
31600              3         3   120.387       732
31700              4         9   143.887      1152
31800              1         3   115.501       376
31800              1         8   79.2956       493
31900              1         9   117.688       430
31900              2         1   141.968       523
31900              2        14   93.2145       105
31900              2        15   89.7282       178
32000              2        14   93.2145      1177
32000              3         1   114.034       564
32000              3        14   113.862       187
32100              2         5    79.497       437
32100              3        13   121.802       754
32300              1         6    80.145       438
32300              2         6   81.6839       959
32400              1        13   91.8378       307
32400              2         2   72.8214       150
32500              1         8   79.2956       114
32600              3         3   120.387       479
32600              4        10   147.035       311
32700              1         1    132.18       509
32700              2         6   81.6839       119
32700              3         8   85.0236       407
32900              2        10   104.049       249
32900              4         1   132.578       234
32900              4         2   118.513       221
32900              4         3   149.066       240
32900              4         4   103.428       180
32900              4         5   135.466       160
32900              4         6   137.113       328
32900              4         8   170.329       330
32900              4         9   143.887       185
32900              4        10   147.035       223
32900              4        11   142.904       234
32900              4        12   130.483       230
32900              4        13    133.21       234
32900              4        14    137.63       243
32900              4        15   125.328       222
32900              4        16   128.906       229
33100              3         2   101.445      1117
33100              3         3   120.387       296
33100              3         4   119.489       171
33100              3         5   129.761       175
33100              3         6    71.929       125
33100              3         7   103.528       161
33100              3         8   85.0236       142
