* ssdnum    stripb    stripf    th_standard (mm)   th_effective (mm)
    1         0        12          1.008             1.01848
    1         0        13          1.008             1.01984
    1         0        14          1.008             1.02147
    1         0        15          1.008             1.02337
    1         1         0          1.008             1.02147
    1         1         1          1.008             1.01957
    1         1         2          1.008             1.01793
    1         1         3          1.008             1.01657
    1         1         4          1.008             1.01548
    1         1         5          1.008             1.01466
    1         1         6          1.008             1.01411
    1         1         7          1.008             1.01384
    1         1         8          1.008             1.01384
    1         1         9          1.008             1.01411
    1         1        10          1.008             1.01466
    1         1        11          1.008             1.01548
    1         1        12          1.008             1.01657
    1         1        13          1.008             1.01793
    1         1        14          1.008             1.01957
    1         1        15          1.008             1.02147
    1         2         0          1.008             1.01984
    1         2         1          1.008             1.01793
    1         2         2          1.008              1.0163
    1         2         3          1.008             1.01493
    1         2         4          1.008             1.01384
    1         2         5          1.008             1.01301
    1         2         6          1.008             1.01247
    1         2         7          1.008             1.01219
    1         2         8          1.008             1.01219
    1         2         9          1.008             1.01247
    1         2        10          1.008             1.01301
    1         2        11          1.008             1.01384
    1         2        12          1.008             1.01493
    1         2        13          1.008              1.0163
    1         2        14          1.008             1.01793
    1         2        15          1.008             1.01984
    1         3         0          1.008             1.01848
    1         3         1          1.008             1.01657
    1         3         2          1.008             1.01493
    1         3         3          1.008             1.01356
    1         3         4          1.008             1.01247
    1         3         5          1.008             1.01164
    1         3         6          1.008             1.01109
    1         3         7          1.008             1.01082
    1         3         8          1.008             1.01082
    1         3         9          1.008             1.01109
    1         3        10          1.008             1.01164
    1         3        11          1.008             1.01247
    1         3        12          1.008             1.01356
    1         3        13          1.008             1.01493
    1         3        14          1.008             1.01657
    1         3        15          1.008             1.01848
    1         4         0          1.008             1.01739
    1         4         1          1.008             1.01548
    1         4         2          1.008             1.01384
    1         4         3          1.008             1.01247
    1         4         4          1.008             1.01137
    1         4         5          1.008             1.01054
    1         4         6          1.008             1.00999
    1         4         7          1.008             1.00972
    1         4         8          1.008             1.00972
    1         4         9          1.008             1.00999
    1         4        10          1.008             1.01054
    1         4        11          1.008             1.01137
    1         4        12          1.008             1.01247
    1         4        13          1.008             1.01384
    1         4        14          1.008             1.01548
    1         4        15          1.008             1.01739
    1         5         0          1.008             1.01657
    1         5         1          1.008             1.01466
    1         5         2          1.008             1.01301
    1         5         3          1.008             1.01164
    1         5         4          1.008             1.01054
    1         5         5          1.008             1.00972
    1         5         6          1.008             1.00917
    1         5         7          1.008             1.00889
    1         5         8          1.008             1.00889
    1         5         9          1.008             1.00917
    1         5        10          1.008             1.00972
    1         5        11          1.008             1.01054
    1         5        12          1.008             1.01164
    1         5        13          1.008             1.01301
    1         5        14          1.008             1.01466
    1         5        15          1.008             1.01657
    1         6         0          1.008             1.01602
    1         6         1          1.008             1.01411
    1         6         2          1.008             1.01247
    1         6         3          1.008             1.01109
    1         6         4          1.008             1.00999
    1         6         5          1.008             1.00917
    1         6         6          1.008             1.00862
    1         6         7          1.008             1.00834
    1         6         8          1.008             1.00834
    1         6         9          1.008             1.00862
    1         6        10          1.008             1.00917
    1         6        11          1.008             1.00999
    1         6        12          1.008             1.01109
    1         6        13          1.008             1.01247
    1         6        14          1.008             1.01411
    1         6        15          1.008             1.01602
    1         7         0          1.008             1.01575
    1         7         1          1.008             1.01384
    1         7         2          1.008             1.01219
    1         7         3          1.008             1.01082
    1         7         4          1.008             1.00972
    1         7         5          1.008             1.00889
    1         7         6          1.008             1.00834
    1         7         7          1.008             1.00807
    1         7         8          1.008             1.00807
    1         7         9          1.008             1.00834
    1         7        10          1.008             1.00889
    1         7        11          1.008             1.00972
    1         7        12          1.008             1.01082
    1         7        13          1.008             1.01219
    1         7        14          1.008             1.01384
    1         7        15          1.008             1.01575
    1         8         0          1.008             1.01575
    1         8         1          1.008             1.01384
    1         8         2          1.008             1.01219
    1         8         3          1.008             1.01082
    1         8         4          1.008             1.00972
    1         8         5          1.008             1.00889
    1         8         6          1.008             1.00834
    1         8         7          1.008             1.00807
    1         8         8          1.008             1.00807
    1         8         9          1.008             1.00834
    1         8        10          1.008             1.00889
    1         8        11          1.008             1.00972
    1         8        12          1.008             1.01082
    1         8        13          1.008             1.01219
    1         8        14          1.008             1.01384
    1         8        15          1.008             1.01575
    1         9         0          1.008             1.01602
    1         9         1          1.008             1.01411
    1         9         2          1.008             1.01247
    1         9         3          1.008             1.01109
    1         9         4          1.008             1.00999
    1         9         5          1.008             1.00917
    1         9         6          1.008             1.00862
    1         9         7          1.008             1.00834
    1         9         8          1.008             1.00834
    1         9         9          1.008             1.00862
    1         9        10          1.008             1.00917
    1         9        11          1.008             1.00999
    1         9        12          1.008             1.01109
    1         9        13          1.008             1.01247
    1         9        14          1.008             1.01411
    1         9        15          1.008             1.01602
    1        10         0          1.008             1.01657
    1        10         1          1.008             1.01466
    1        10         2          1.008             1.01301
    1        10         3          1.008             1.01164
    1        10         4          1.008             1.01054
    1        10         5          1.008             1.00972
    1        10         6          1.008             1.00917
    1        10         7          1.008             1.00889
    1        10         8          1.008             1.00889
    1        10         9          1.008             1.00917
    1        10        10          1.008             1.00972
    1        10        11          1.008             1.01054
    1        10        12          1.008             1.01164
    1        10        13          1.008             1.01301
    1        10        14          1.008             1.01466
    1        10        15          1.008             1.01657
    1        11         0          1.008             1.01739
    1        11         1          1.008             1.01548
    1        11         2          1.008             1.01384
    1        11         3          1.008             1.01247
    1        11         4          1.008             1.01137
    1        11         5          1.008             1.01054
    1        11         6          1.008             1.00999
    1        11         7          1.008             1.00972
    1        11         8          1.008             1.00972
    1        11         9          1.008             1.00999
    1        11        10          1.008             1.01054
    1        11        11          1.008             1.01137
    1        11        12          1.008             1.01247
    1        11        13          1.008             1.01384
    1        11        14          1.008             1.01548
    1        11        15          1.008             1.01739
    1        12         0          1.008             1.01848
    1        12         1          1.008             1.01657
    1        12         2          1.008             1.01493
    1        12         3          1.008             1.01356
    1        12         4          1.008             1.01247
    1        12         5          1.008             1.01164
    1        12         6          1.008             1.01109
    1        12         7          1.008             1.01082
    1        12         8          1.008             1.01082
    1        12         9          1.008             1.01109
    1        12        10          1.008             1.01164
    1        12        11          1.008             1.01247
    1        12        12          1.008             1.01356
    1        12        13          1.008             1.01493
    1        12        14          1.008             1.01657
    1        12        15          1.008             1.01848
    1        13         0          1.008             1.01984
    1        13         1          1.008             1.01793
    1        13         2          1.008              1.0163
    1        13         3          1.008             1.01493
    1        13         4          1.008             1.01384
    1        13         5          1.008             1.01301
    1        13         6          1.008             1.01247
    1        13         7          1.008             1.01219
    1        13         8          1.008             1.01219
    1        13         9          1.008             1.01247
    1        13        10          1.008             1.01301
    1        13        11          1.008             1.01384
    1        13        12          1.008             1.01493
    1        13        13          1.008              1.0163
    1        13        14          1.008             1.01793
    1        13        15          1.008             1.01984
    1        14         0          1.008             1.02147
    1        14         1          1.008             1.01957
    1        14         2          1.008             1.01793
    1        14         3          1.008             1.01657
    1        14         4          1.008             1.01548
    1        14         5          1.008             1.01466
    1        14         6          1.008             1.01411
    1        14         7          1.008             1.01384
    1        14         8          1.008             1.01384
    1        14         9          1.008             1.01411
    1        14        10          1.008             1.01466
    1        14        11          1.008             1.01548
    1        14        12          1.008             1.01657
    1        14        13          1.008             1.01793
    1        14        14          1.008             1.01957
    1        14        15          1.008             1.02147
    1        15         0          1.008             1.02337
    1        15         1          1.008             1.02147
    1        15         2          1.008             1.01984
    1        15         3          1.008             1.01848
    1        15         4          1.008             1.01739
    1        15         5          1.008             1.01657
    1        15         6          1.008             1.01602
    1        15         7          1.008             1.01575
    1        15         8          1.008             1.01575
    1        15         9          1.008             1.01602
    1        15        10          1.008             1.01657
    1        15        11          1.008             1.01739
    1        15        12          1.008             1.01848
    1        15        13          1.008             1.01984
    1        15        14          1.008             1.02147
    1        15        15          1.008             1.02337
    2         0         0          0.526            0.534022
    2         0         1          0.526            0.533031
    2         0         2          0.526            0.532179
    2         0         3          0.526            0.531468
    2         0         4          0.526            0.530899
    2         0         5          0.526            0.530472
    2         0         6          0.526            0.530187
    2         0         7          0.526            0.530044
    2         0         8          0.526            0.530044
    2         0         9          0.526            0.530187
    2         0        10          0.526            0.530472
    2         0        11          0.526            0.530899
    2         0        12          0.526            0.531468
    2         0        13          0.526            0.532179
    2         0        14          0.526            0.533031
    2         0        15          0.526            0.534022
    2         1         0          0.526            0.533031
    2         1         1          0.526            0.532037
    2         1         2          0.526            0.531184
    2         1         3          0.526            0.530472
    2         1         4          0.526            0.529902
    2         1         5          0.526            0.529473
    2         1         6          0.526            0.529188
    2         1         7          0.526            0.529045
    2         1         8          0.526            0.529045
    2         1         9          0.526            0.529188
    2         1        10          0.526            0.529473
    2         1        11          0.526            0.529902
    2         1        12          0.526            0.530472
    2         1        13          0.526            0.531184
    2         1        14          0.526            0.532037
    2         1        15          0.526            0.533031
    2         2         0          0.526            0.532179
    2         2         1          0.526            0.531184
    2         2         2          0.526            0.530329
    2         2         3          0.526            0.529616
    2         2         4          0.526            0.529045
    2         2         5          0.526            0.528616
    2         2         6          0.526             0.52833
    2         2         7          0.526            0.528187
    2         2         8          0.526            0.528187
    2         2         9          0.526             0.52833
    2         2        10          0.526            0.528616
    2         2        11          0.526            0.529045
    2         2        12          0.526            0.529616
    2         2        13          0.526            0.530329
    2         2        14          0.526            0.531184
    2         2        15          0.526            0.532179
    2         3         0          0.526            0.531468
    2         3         1          0.526            0.530472
    2         3         2          0.526            0.529616
