* set the ECsI cut range for all the isotopes by hand
* numtel = ssdindex * 9 + csiindex
* numtel        Z           A      ECsI_Ch_Min    ECsI_Ch_Max
    22          1           1         150           2200
    22          1           2         150           2800
    22          1           3         150           3500
    22          2           3         150           3500
    22          2           4         150           4000
    22          2           6         150           4000
    22          3           6         150           4000
    22          3           7         150           4000
    22          3           8         150           4000
    22          3           9         150           4000
    22          4           7         150           4000
    22          4           9         150           4000
    22          4          10         150           4000
    22          5          10         320           4000
    22          5          11         320           4000
    22          5          12         320           4000
    22          6          12         1200          4000
    22          6          13         1200          4000
    22          6          14         1200          4000
    23          1           1         120           1800
    23          1           2         120           2500
    23          1           3         120           3200
    23          2           3         120           3500
    23          2           4         120           4000
    23          2           6         120           4000
    23          3           6         120           4000
    23          3           7         120           4000
    23          3           8         120           4000
    23          3           9         120           4000
    23          4           7         120           4000
    23          4           9         120           4000
    23          4          10         120           4000
    23          5          10         270           4000
    23          5          11         270           4000
    23          5          12         270           4000
    23          6          12         1000          4000
    23          6          13         1000          4000
    23          6          14         1000          4000
    24          1           1         140           1800
    24          1           2         140           2200
    24          1           3         140           2800
    24          2           3         140           3000
    24          2           4         140           4000
    24          2           6         140           4000
    24          3           6         140           4000
    24          3           7         140           4000
    24          3           8         140           4000
    24          3           9         140           4000
    24          4           7         140           4000
    24          4           9         140           4000
    24          4          10         140           4000
    24          5          10         300           4000
    24          5          11         300           4000
    24          5          12         300           4000
    24          6          12         980           4000
    24          6          13         980           4000
    24          6          14         980           4000
    25          1           1         130           2100
    25          1           2         130           2600
    25          1           3         130           3300
    25          2           3         130           3500
    25          2           4         130           4000
    25          2           6         130           4000
    25          3           6         130           4000
    25          3           7         130           4000
    25          3           8         130           4000
    25          3           9         130           4000
    25          4           7         130           4000
    25          4           9         130           4000
    25          4          10         130           4000
    25          5          10         300           4000
    25          5          11         300           4000
    25          5          12         300           4000
    25          6          12         1000          4000
    25          6          13         1000          4000
    25          6          14         1000          4000
    26          1           1         140           2000
    26          1           2         140           2500
    26          1           3         140           3000
    26          2           3         140           3500
    26          2           4         140           4000
    26          2           6         140           4000
    26          3           6         140           4000
    26          3           7         140           4000
    26          3           8         140           4000
    26          3           9         140           4000
    26          4           7         140           4000
    26          4           9         140           4000
    26          4          10         140           4000
    26          5          10         340           4000
