* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         4         9        128.428           2468
    0         4         9         134.44           2594
    0         4         9        140.414           2720
    0         4         9        146.355           2846
    0         4         9        152.266           2972
    0         4         9        158.153           3098
    0         4         9        164.018           3224
    0         4         9        169.866           3350
    0         4         9        175.698           3476
    0         4         9        181.518           3602
    0         4         9        187.327           3728
    0         4         9        193.128           3854
    0         4         9        198.922           3980
    0         4        10              0            200
    0         4        10        2.97691            326
    0         4        10        14.4729            452
    0         4        10        24.4864            578
    0         4        10         33.616            704
    0         4        10        42.1148            830
    0         4        10        50.1476            956
    0         4        10        57.8213           1082
    0         4        10        65.2088           1208
    0         4        10         72.369           1334
    0         4        10        79.3435           1460
    0         4        10        86.1494           1586
    0         4        10         92.828           1712
    0         4        10         99.376           1838
    0         4        10        105.787           1964
    0         4        10        112.115           2090
    0         4        10        118.377           2216
    0         4        10        124.561           2342
    0         4        10        130.687           2468
    0         4        10        136.763           2594
    0         4        10        142.796           2720
    0         4        10         148.79           2846
    0         4        10        154.751           2972
    0         4        10        160.682           3098
    0         4        10        166.589           3224
    0         4        10        172.473           3350
    0         4        10        178.338           3476
    0         4        10        184.188           3602
    0         4        10        190.023           3728
    0         4        10        195.846           3854
    0         4        10         201.66           3980
    0         5        10              0            200
    0         5        10       0.619413            326
    0         5        10        13.7856            452
    0         5        10        25.3359            578
    0         5        10        35.6975            704
    0         5        10        45.2292            830
    0         5        10        54.1453            956
    0         5        10        62.5886           1082
    0         5        10         70.654           1208
    0         5        10        78.4136           1334
    0         5        10        85.9172           1460
    0         5        10        93.2114           1586
    0         5        10        100.296           1712
    0         5        10        107.202           1838
    0         5        10         113.99           1964
    0         5        10        120.648           2090
    0         5        10        127.208           2216
    0         5        10        133.681           2342
    0         5        10        140.068           2468
    0         5        10        146.391           2594
    0         5        10        152.655           2720
    0         5        10        158.862           2846
    0         5        10        165.024           2972
    0         5        10        171.135           3098
    0         5        10        177.207           3224
    0         5        10        183.245           3350
    0         5        10        189.252           3476
    0         5        10        195.232           3602
    0         5        10        201.187           3728
    0         5        10        207.121           3854
    0         5        10        213.035           3980
    0         5        11              0            200
    0         5        11       0.384658            326
    0         5        11         13.759            452
    0         5        11        25.6599            578
    0         5        11        36.3168            704
    0         5        11         46.107            830
    0         5        11        55.2535            956
    0         5        11        63.9001           1082
    0         5        11         72.152           1208
    0         5        11        80.0814           1334
    0         5        11        87.7436           1460
    0         5        11        95.1813           1586
    0         5        11        102.427           1712
    0         5        11        109.487           1838
    0         5        11        116.373           1964
    0         5        11        123.151           2090
    0         5        11         129.81           2216
    0         5        11        136.379           2342
    0         5        11        142.851           2468
    0         5        11        149.266           2594
    0         5        11        155.595           2720
    0         5        11        161.863           2846
    0         5        11        168.099           2972
    0         5        11        174.261           3098
    0         5        11        180.417           3224
    0         5        11         186.51           3350
    0         5        11        192.569           3476
    0         5        11        198.597           3602
    0         5        11        204.596           3728
    0         5        11        210.571           3854
    0         5        11        216.524           3980
    0         5        12              0            200
    0         5        12       0.215409            326
    0         5        12        13.7726            452
    0         5        12        26.0077            578
    0         5        12        36.9498            704
    0         5        12        46.9914            830
    0         5        12        56.3593            956
    0         5        12        65.2064           1082
    0         5        12        73.6391           1208
    0         5        12        81.7344           1334
    0         5        12        89.5507           1460
    0         5        12        97.1309           1586
    0         5        12        104.509           1712
    0         5        12        111.716           1838
    0         5        12        118.755           1964
    0         5        12        125.624           2090
    0         5        12        132.389           2216
    0         5        12        139.052           2342
    0         5        12         145.63           2468
    0         5        12        152.113           2594
    0         5        12        158.533           2720
    0         5        12        164.874           2846
    0         5        12        171.178           2972
    0         5        12        177.415           3098
    0         5        12        183.605           3224
    0         5        12        189.763           3350
    0         5        12        195.899           3476
    0         5        12        201.979           3602
    0         5        12        208.028           3728
    0         5        12         214.05           3854
    0         5        12        220.046           3980
    0         6        12        5.35335            400
    0         6        12        19.5554            520
    0         6        12         31.952            640
    0         6        12        43.1217            760
    0         6        12        53.4016            880
    0         6        12        63.0012           1000
    0         6        12        72.0624           1120
    0         6        12        80.6877           1240
    0         6        12        88.9529           1360
    0         6        12        96.9139           1480
    0         6        12        104.617           1600
    0         6        12          112.1           1720
    0         6        12        119.363           1840
    0         6        12        126.437           1960
    0         6        12        133.371           2080
    0         6        12        140.177           2200
    0         6        12        146.857           2320
    0         6        12        153.433           2440
    0         6        12        159.919           2560
    0         6        12        166.318           2680
    0         6        12        172.645           2800
    0         6        12        178.891           2920
    0         6        12        185.083           3040
    0         6        12        191.222           3160
    0         6        12        197.297           3280
    0         6        12        203.326           3400
    0         6        12        209.311           3520
    0         6        12        215.262           3640
    0         6        12        221.171           3760
    0         6        12        227.066           3880
    0         6        13        5.19592            400
    0         6        13        19.7974            520
    0         6        13        32.5322            640
    0         6        13        44.0039            760
    0         6        13        54.5509            880
    0         6        13        64.3902           1000
    0         6        13        73.6682           1120
    0         6        13        82.4914           1240
    0         6        13        90.9387           1360
    0         6        13        99.0705           1480
    0         6        13        106.932           1600
    0         6        13        114.561           1720
    0         6        13         121.99           1840
    0         6        13        129.215           1960
    0         6        13        136.261           2080
    0         6        13        143.179           2200
    0         6        13        149.975           2320
    0         6        13         156.66           2440
    0         6        13         163.24           2560
    0         6        13        169.731           2680
    0         6        13        176.142           2800
    0         6        13        182.483           2920
    0         6        13        188.752           3040
    0         6        13        194.961           3160
    0         6        13        201.115           3280
    0         6        13        207.217           3400
    0         6        13         213.26           3520
    0         6        13        219.289           3640
    0         6        13        225.255           3760
    0         6        13        231.185           3880
    0         6        14        4.96024            400
    0         6        14        19.9371            520
    0         6        14        32.9953            640
    0         6        14        44.7546            760
    0         6        14        55.5554            880
    0         6        14        65.6226           1000
    0         6        14        75.1066           1120
