* Fiiting funtion = par[0] + par[1]*x && y=a*x+b (y=Energy, x=Ch), so a = par[1], b = par[0];  0.0 isn't a peak
* SSDNum CHNum    par0(a)   err_par0     par1(b)      err_par1       peak1     peak2     peak3      peak4     peak5   peak6     peak7     peak8      peak9     peak10    peak11 
 1        4     0.00026809  0.00000022  -0.02197410  0.00049475   3807.5    3438.5    3066.5     2694.5     2320.5     1951.5     1576.5    1201.5    828.5      455.5      262.5    
 1        5     0.00027447  0.00000023  -0.01626298  0.00049780   3698.5    3337.5    2974.5     2610.5     2245.5     1885.5     1519.5    1153.5    788.5      423.5      235.5    
 1        6     0.00027129  0.00000015  -0.02328324  0.00033440   3770.5    3403.5    3034.5     2665.5     2296.5     1931.5     1561.5    1192.5    823.5      456.5      265.5    
 1        7     0.00027116  0.00000017  -0.02233034  0.00039121   3767.5    3401.5    3032.5     2664.5     2294.5     1929.5     1559.5    1189.5    820.5      452.5      261.5    
 1        8     0.00026701  0.00000022  -0.01940851  0.00050446   3813.5    3442.5    3069.5     2695.5     2320.5     1949.5     1573.5    1197.5    822.5      447.5      253.5    
 1        9     0.00026734  0.00000015  -0.02246855  0.00034947   3822.5    3450.5    3076.5     2702.5     2327.5     1957.5     1582.5    1206.5    832.5      459.5      266.5    
 1        10    0.00026914  0.00000016  -0.02111222  0.00035282   3792.5    3422.5    3050.5     2679.5     2306.5     1939.5     1566.5    1193.5    822.5      451.5      259.5    
 1        11    0.00026168  0.00000023  -0.01909055  0.00053624   3887.5    3514.5    3131.5     2749.5     2365.5     1987.5     1603.5    1220.5    837.5      455.5      258.5    
 1        12    0.00026613  0.00000021  -0.01793419  0.00046953   3820.5    3448.5    3074.5     2698.5     2322.5     1950.5     1572.5    1195.5    819.5      443.5      249.5    
 1        13    0.00026875  0.00000018  -0.02192911  0.00039875   3799.5    3430.5    3058.5     2686.5     2313.5     1945.5     1572.5    1198.5    826.5      454.5      262.5    
 1        14    0.00026855  0.00000019  -0.01744750  0.00042309   3785.5    3415.5    3044.5     2672.5     2299.5     1930.5     1556.5    1182.5    810.5      438.5      245.5    
 1        15    0.00028211  0.00000024  -0.01800869  0.00050642   3605.5    3253.5    2899.5     2545.5     2190.5     1840.5     1484.5    1128.5    773.5      419.5      234.5  
 2        0     0.00028015  0.00000021  -0.01935622  0.00047091   3636.5    3280.5    2924.5     2567.5     2213.5     1855.5     1498.5    1142.5    782.5      421.5      0.0      
 2        1     0.00027640  0.00000013  -0.01930090  0.00030755   3687.5    3325.5    2963.5     2601.5     2241.5     1879.5     1518.5    1157.5    793.5      428.5      0.0      
 2        2     0.00027555  0.00000021  -0.01936855  0.00049047   3696.5    3335.5    2973.5     2611.5     2250.5     1886.5     1523.5    1161.5    795.5      428.5      0.0      
 2        3     0.00028185  0.00000014  -0.02137280  0.00031453   3623.5    3268.5    2913.5     2558.5     2205.5     1850.5     1496.5    1142.5    785.5      427.5      0.0      
 2        4     0.00028618  0.00000016  -0.02219697  0.00036052   3571.5    3221.5    2872.5     2522.5     2175.5     1825.5     1476.5    1128.5    776.5      423.5      0.0      
 2        5     0.00028601  0.00000016  -0.02498604  0.00035310   3582.5    3233.5    2884.5     2534.5     2186.5     1836.5     1487.5    1138.5    786.5      433.5      0.0      
 2        6     0.00027780  0.00000018  -0.02408384  0.00041586   3684.5    3325.5    2966.5     2606.5     2248.5     1887.5     1527.5    1169.5    806.5      442.5      0.0      
 2        7     0.00027542  0.00000018  -0.02659460  0.00042565   3725.5    3363.5    3001.5     2637.5     2277.5     1912.5     1550.5    1188.5    822.5      455.5      0.0      
 2        8     0.00027922  0.00000016  -0.02152602  0.00037214   3657.5    3299.5    2942.5     2583.5     2227.5     1868.5     1510.5    1154.5    793.5      431.5      0.0      
 2        9     0.00027936  0.00000018  -0.02058675  0.00041615   3651.5    3294.5    2937.5     2579.5     2223.5     1864.5     1506.5    1150.5    789.5      427.5      0.0      
 2        10    0.00028154  0.00000015  -0.02690462  0.00034590   3646.5    3291.5    2936.5     2581.5     2228.5     1872.5     1517.5    1163.5    805.5      447.5      0.0      
 2        11    0.00028310  0.00000020  -0.02250387  0.00045464   3609.5    3257.5    2905.5     2552.5     2201.5     1847.5     1493.5    1141.5    785.5      428.5      0.0      
 2        12    0.00028183  0.00000020  -0.02482731  0.00045508   3634.5    3280.5    2926.5     2571.5     2219.5     1863.5     1508.5    1155.5    797.5      438.5      0.0      
