Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
90.000000	0.105093  	90.000000	0.0720877 	90.000000	0.0725222 	90.000000	0.0722876 	90.000000	0.0720627 	90.000000	2.50416e-05	
95.000000	0.100906  	95.000000	0.069363  	95.000000	0.0697929 	95.000000	0.0695579 	95.000000	0.0693391 	95.000000	2.38486e-05	
100.000000	0.0971093 	100.000000	0.0668917 	100.000000	0.0673147 	100.000000	0.0670793 	100.000000	0.066869  	100.000000	2.27689e-05	
105.000000	0.093649  	105.000000	0.0646399 	105.000000	0.065053  	105.000000	0.0648182 	105.000000	0.0646181 	105.000000	2.17868e-05	
110.000000	0.0904814 	110.000000	0.0625793 	110.000000	0.0629901 	110.000000	0.0627468 	110.000000	0.0625584 	110.000000	2.08894e-05	
115.000000	0.0875699 	115.000000	0.0606863 	115.000000	0.0610881 	115.000000	0.060842  	115.000000	0.0606662 	115.000000	2.00661e-05	
120.000000	0.084884  	120.000000	0.0589411 	120.000000	0.0593284 	120.000000	0.0590842 	120.000000	0.0589218 	120.000000	1.9308e-05	
125.000000	0.0823978 	125.000000	0.0573269 	125.000000	0.0577008 	125.000000	0.057457  	125.000000	0.0573083 	125.000000	1.86074e-05	
130.000000	0.0800893 	130.000000	0.0558294 	130.000000	0.0561891 	130.000000	0.0559461 	130.000000	0.0558114 	130.000000	1.79581e-05	
135.000000	0.0779396 	135.000000	0.0544363 	135.000000	0.0547816 	135.000000	0.0545396 	135.000000	0.0544189 	135.000000	1.73544e-05	
140.000000	0.0759325 	140.000000	0.053137  	140.000000	0.0534679 	140.000000	0.0532267 	140.000000	0.0531202 	140.000000	1.67917e-05	
145.000000	0.0740538 	145.000000	0.0519222 	145.000000	0.0522388 	145.000000	0.0519986 	145.000000	0.051906  	145.000000	1.62658e-05	
150.000000	0.0722913 	150.000000	0.050784  	150.000000	0.0510864 	150.000000	0.0508471 	150.000000	0.0507682 	150.000000	1.57733e-05	
155.000000	0.0698096 	155.000000	0.0497152 	155.000000	0.0500036 	155.000000	0.0497653 	155.000000	0.0496999 	155.000000	1.5311e-05	
160.000000	0.068355  	160.000000	0.0487098 	160.000000	0.0489845 	160.000000	0.048747  	160.000000	0.0486949 	160.000000	1.48761e-05	
165.000000	0.0669834 	165.000000	0.0477621 	165.000000	0.0480234 	165.000000	0.0477869 	165.000000	0.0477476 	165.000000	1.44663e-05	
170.000000	0.0656876 	170.000000	0.0468673 	170.000000	0.0471156 	170.000000	0.04688   	170.000000	0.0468533 	170.000000	1.40794e-05	
175.000000	0.0644615 	175.000000	0.0460212 	175.000000	0.0462567 	175.000000	0.0460221 	175.000000	0.0460075 	175.000000	1.37135e-05	
180.000000	0.0632995 	180.000000	0.0452198 	180.000000	0.045443  	180.000000	0.0452094 	180.000000	0.0452065 	180.000000	1.3367e-05	
185.000000	0.0621967 	185.000000	0.0444597 	185.000000	0.044671  	185.000000	0.0444382 	185.000000	0.0444467 	185.000000	1.30383e-05	
190.000000	0.0611486 	190.000000	0.0437378 	190.000000	0.0439375 	190.000000	0.0437056 	190.000000	0.0437251 	190.000000	1.2726e-05	
195.000000	0.0601512 	195.000000	0.0430512 	195.000000	0.0432397 	195.000000	0.0430088 	195.000000	0.0430388 	195.000000	1.2429e-05	
200.000000	0.0592009 	200.000000	0.0423975 	200.000000	0.0425752 	200.000000	0.0423452 	200.000000	0.0423853 	200.000000	1.2146e-05	
210.000000	0.0574285 	210.000000	0.0411795 	210.000000	0.0413369 	210.000000	0.0411086 	210.000000	0.0411679 	210.000000	1.16187e-05	
220.000000	0.0558086 	220.000000	0.0400679 	220.000000	0.0402064 	220.000000	0.0399798 	220.000000	0.0400567 	220.000000	1.11371e-05	
230.000000	0.0543222 	230.000000	0.0390493 	230.000000	0.0391706 	230.000000	0.0389456 	230.000000	0.0390386 	230.000000	1.06953e-05	
240.000000	0.0529533 	240.000000	0.0381126 	240.000000	0.0382177 	240.000000	0.0379945 	240.000000	0.0381023 	240.000000	1.02886e-05	
250.000000	0.0516884 	250.000000	0.0372484 	250.000000	0.0373396 	250.000000	0.0371172 	250.000000	0.0372385 	250.000000	9.91298e-06	
260.000000	0.0505162 	260.000000	0.0364486 	260.000000	0.0365242 	260.000000	0.0363055 	260.000000	0.036439  	260.000000	9.56486e-06	
270.000000	0.0494266 	270.000000	0.0357064 	270.000000	0.0357659 	270.000000	0.0355525 	270.000000	0.0356971 	270.000000	9.24132e-06	
280.000000	0.0484114 	280.000000	0.0350157 	280.000000	0.0350647 	280.000000	0.0348522 	280.000000	0.0350068 	280.000000	8.93982e-06	
290.000000	0.0474631 	290.000000	0.0343716 	290.000000	0.0344108 	290.000000	0.0341993 	290.000000	0.0343629 	290.000000	8.65814e-06	
300.000000	0.0465754 	300.000000	0.0337694 	300.000000	0.0337996 	300.000000	0.0335894 	300.000000	0.033761  	300.000000	8.39437e-06	
310.000000	0.0457427 	310.000000	0.0332054 	310.000000	0.0332276 	310.000000	0.0330185 	310.000000	0.0331972 	310.000000	8.14682e-06	
320.000000	0.04496   	320.000000	0.032676  	320.000000	0.0326911 	320.000000	0.032483  	320.000000	0.0326681 	320.000000	7.91404e-06	
330.000000	0.044223  	330.000000	0.0321782 	330.000000	0.0321868 	330.000000	0.0319798 	330.000000	0.0321705 	330.000000	7.69471e-06	
340.000000	0.043528  	340.000000	0.0317094 	340.000000	0.0317125 	340.000000	0.0315064 	340.000000	0.0317019 	340.000000	7.48769e-06	
350.000000	0.0428713 	350.000000	0.0312671 	350.000000	0.0312656 	350.000000	0.0310601 	350.000000	0.0312598 	350.000000	7.29195e-06	
360.000000	0.0422501 	360.000000	0.0308492 	360.000000	0.0308419 	360.000000	0.0306388 	360.000000	0.0308421 	360.000000	7.1066e-06	
370.000000	0.0416615 	370.000000	0.0304539 	370.000000	0.0304401 	370.000000	0.0302405 	370.000000	0.0304469 	370.000000	6.9308e-06	
380.000000	0.0411032 	380.000000	0.0300793 	380.000000	0.0300614 	380.000000	0.0298636 	380.000000	0.0300725 	380.000000	6.76383e-06	
390.000000	0.0405728 	390.000000	0.0297239 	390.000000	0.0297038 	390.000000	0.0295064 	390.000000	0.0297173 	390.000000	6.60504e-06	
400.000000	0.0400685 	400.000000	0.0293864 	400.000000	0.0293644 	400.000000	0.0291675 	400.000000	0.02938   	400.000000	6.45382e-06	
410.000000	0.0395883 	410.000000	0.0290655 	410.000000	0.0290416 	410.000000	0.0288457 	410.000000	0.0290592 	410.000000	6.30964e-06	
420.000000	0.0391307 	420.000000	0.02876   	420.000000	0.0287347 	420.000000	0.0285396 	420.000000	0.0287539 	420.000000	6.17202e-06	
430.000000	0.0386942 	430.000000	0.028469  	430.000000	0.0284428 	430.000000	0.0282483 	430.000000	0.0284629 	430.000000	6.04051e-06	
440.000000	0.0382773 	440.000000	0.0281913 	440.000000	0.028165  	440.000000	0.0279708 	440.000000	0.0281854 	440.000000	5.91471e-06	
450.000000	0.0378788 	450.000000	0.0279263 	450.000000	0.0278997 	450.000000	0.0277062 	450.000000	0.0279205 	450.000000	5.79424e-06	
460.000000	0.0374977 	460.000000	0.0276731 	460.000000	0.0276453 	460.000000	0.0274537 	460.000000	0.0276674 	460.000000	5.67878e-06	
470.000000	0.0371328 	470.000000	0.0274309 	470.000000	0.0274017 	470.000000	0.0272125 	470.000000	0.0274254 	470.000000	5.56801e-06	
480.000000	0.0367832 	480.000000	0.0271992 	480.000000	0.02717   	480.000000	0.0269825 	480.000000	0.0271937 	480.000000	5.46165e-06	
490.000000	0.036448  	490.000000	0.0269772 	490.000000	0.0269499 	490.000000	0.0267631 	490.000000	0.0269718 	490.000000	5.35943e-06	
500.000000	0.0361263 	500.000000	0.0267644 	500.000000	0.0267396 	500.000000	0.026553  	500.000000	0.0267591 	500.000000	5.26112e-06	
520.000000	0.0355207 	520.000000	0.0263644 	520.000000	0.0263442 	520.000000	0.0261585 	520.000000	0.0263593 	520.000000	5.07535e-06	
540.000000	0.0349611 	540.000000	0.0259955 	540.000000	0.0259803 	540.000000	0.0257955 	540.000000	0.0259906 	540.000000	4.90273e-06	
