Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
36142.322375	8.93023e+06	1.29091e+07	2.05022e+07	2.06165e+07	14466.7   	65375.3   	16977.8   	17810.4   	27268     
36235.955331	8.93624e+06	1.29267e+07	2.05506e+07	2.06651e+07	14482.6   	65594.9   	17005.7   	17838.4   	27312.1   
36329.588288	8.94225e+06	1.29442e+07	2.05989e+07	2.07136e+07	14498.4   	65814.5   	17033.7   	17866.3   	27356.2   
36423.221245	8.94826e+06	1.29618e+07	2.06472e+07	2.07621e+07	14514.3   	66034.2   	17061.6   	17894.3   	27400.3   
36516.854202	8.95427e+06	1.29794e+07	2.06956e+07	2.08106e+07	14530.1   	66253.8   	17089.5   	17922.2   	27444.4   
36610.487159	8.96029e+06	1.29969e+07	2.07439e+07	2.08592e+07	14546     	66473.4   	17117.4   	17950.2   	27488.5   
36704.120116	8.9663e+06	1.30145e+07	2.07923e+07	2.09077e+07	14561.8   	66693     	17145.4   	17978.1   	27532.6   
36797.753073	8.97231e+06	1.30321e+07	2.08406e+07	2.09562e+07	14577.7   	66912.7   	17173.3   	18006.1   	27576.8   
36891.386030	8.97832e+06	1.30496e+07	2.08889e+07	2.10048e+07	14593.5   	67132.3   	17201.2   	18034     	27620.9   
36985.018987	8.98433e+06	1.30672e+07	2.09373e+07	2.10533e+07	14609.4   	67351.9   	17229.1   	18062     	27665     
37078.651944	8.99034e+06	1.30848e+07	2.09856e+07	2.11018e+07	14625.3   	67571.5   	17257     	18089.9   	27709.1   
37172.284901	8.99635e+06	1.31023e+07	2.1034e+07	2.11504e+07	14641.1   	67791.2   	17285     	18117.9   	27753.2   
37265.917858	9.00236e+06	1.31199e+07	2.10823e+07	2.11989e+07	14657     	68010.8   	17312.9   	18145.8   	27797.3   
37359.550815	9.00837e+06	1.31374e+07	2.11306e+07	2.12474e+07	14672.8   	68230.4   	17340.8   	18173.8   	27841.5   
37453.183772	9.01439e+06	1.3155e+07	2.1179e+07	2.1296e+07	14688.7   	68450     	17368.7   	18201.7   	27885.6   
37546.816728	9.0204e+06	1.31726e+07	2.12273e+07	2.13445e+07	14704.5   	68669.7   	17396.7   	18229.7   	27929.7   
37640.449685	9.02641e+06	1.31901e+07	2.12757e+07	2.1393e+07	14720.4   	68889.3   	17424.6   	18257.6   	27973.8   
37734.082642	9.03242e+06	1.32077e+07	2.1324e+07	2.14415e+07	14736.2   	69108.9   	17452.5   	18285.6   	28017.9   
37827.715599	9.03843e+06	1.32253e+07	2.13723e+07	2.14901e+07	14752.1   	69328.5   	17480.4   	18313.5   	28062     
37921.348556	9.04444e+06	1.32428e+07	2.14207e+07	2.15386e+07	14767.9   	69548.2   	17508.3   	18341.5   	28106.1   
38014.981513	9.05038e+06	1.32603e+07	2.1469e+07	2.15871e+07	14783.7   	69768.4   	17536.2   	18369.4   	28150.2   
