*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
33.000000	5883.52   	33.000000	5759.43   	33.000000	5843.19   	33.000000	5844.11   	33.000000	145.687   	33.000000	78.6419   	33.000000	49.7275   	33.000000	43.855    	33.000000	47.8534
35.000000	6533.21   	35.000000	6397.33   	35.000000	6497.97   	35.000000	6499.1    	35.000000	162.348   	35.000000	86.9811   	35.000000	55.3209   	35.000000	48.5655   	35.000000	53.2657
38.000000	7563.28   	38.000000	7409.89   	38.000000	7536.24   	38.000000	7537.76   	38.000000	188.696   	38.000000	100.077   	38.000000	64.1797   	38.000000	55.9917   	38.000000	61.8458
41.000000	8658.74   	41.000000	8488.21   	41.000000	8640.59   	41.000000	8642.66   	41.000000	216.647   	41.000000	113.855   	41.000000	73.585    	41.000000	63.8366   	41.000000	70.9658
44.000000	9818.32   	44.000000	9631.09   	44.000000	9809.95   	44.000000	9812.57   	44.000000	246.186   	44.000000	128.311   	44.000000	83.5245   	44.000000	72.0891   	44.000000	80.615
47.000000	11040.8   	47.000000	10837.4   	47.000000	11043.1   	47.000000	11046.4   	47.000000	277.285   	47.000000	143.433   	47.000000	93.9856   	47.000000	80.7389   	47.000000	90.7827
50.000000	12325     	50.000000	12106.1   	50.000000	12339.1   	50.000000	12342.9   	50.000000	309.916   	50.000000	159.209   	50.000000	104.957   	50.000000	89.7767   	50.000000	101.459
55.000000	14599.8   	55.000000	14356.2   	55.000000	14635.6   	55.000000	14640.5   	55.000000	367.626   	55.000000	186.922   	55.000000	124.35    	55.000000	105.679   	55.000000	120.361
60.000000	17038.4   	60.000000	16772.2   	60.000000	17099.1   	60.000000	17105.1   	60.000000	429.376   	60.000000	216.366   	60.000000	145.087   	60.000000	122.599   	60.000000	140.614
65.000000	19636.8   	65.000000	19349.7   	65.000000	19724.9   	65.000000	19732.5   	65.000000	495.01    	65.000000	247.45    	65.000000	167.122   	65.000000	140.502   	65.000000	162.178
