Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
12.000000	0.0678673 	12.000000	0.0648913 	12.000000	0.0647402 	12.000000	0.0647608 	12.000000	0.0648577 	12.000000	3.36092e-05	
13.000000	0.063582  	13.000000	0.060996  	13.000000	0.0607624 	13.000000	0.0607877 	13.000000	0.0609648 	13.000000	3.12742e-05	
14.000000	0.0598503 	14.000000	0.0575759 	14.000000	0.0572816 	14.000000	0.0573089 	14.000000	0.0575466 	14.000000	2.92556e-05	
15.000000	0.0565698 	15.000000	0.0545482 	15.000000	0.0542063 	15.000000	0.0542336 	15.000000	0.0545207 	15.000000	2.74922e-05	
16.000000	0.0536619 	16.000000	0.0518484 	16.000000	0.0514657 	16.000000	0.0514924 	16.000000	0.0518224 	16.000000	2.59379e-05	
17.000000	0.0510655 	17.000000	0.0494253 	17.000000	0.0490055 	17.000000	0.0490316 	17.000000	0.0494008 	17.000000	2.45572e-05	
18.000000	0.0487324 	18.000000	0.047238  	18.000000	0.046784  	18.000000	0.0468084 	18.000000	0.0472147 	18.000000	2.3322e-05	
19.000000	0.0466237 	19.000000	0.0452532 	19.000000	0.0447664 	19.000000	0.0447888 	19.000000	0.045231  	19.000000	2.22102e-05	
20.000000	0.044708  	20.000000	0.0434437 	20.000000	0.0429234 	20.000000	0.0429449 	20.000000	0.0434225 	20.000000	2.1204e-05	
21.000000	0.0429595 	21.000000	0.041787  	21.000000	0.0412333 	21.000000	0.0412541 	21.000000	0.0417667 	21.000000	2.02887e-05	
22.000000	0.0413569 	22.000000	0.0402641 	22.000000	0.0396792 	22.000000	0.0396974 	22.000000	0.0402447 	22.000000	1.94525e-05	
23.000000	0.0398823 	23.000000	0.0388594 	23.000000	0.0382446 	23.000000	0.0382591 	23.000000	0.0388407 	23.000000	1.86853e-05	
24.000000	0.0385207 	24.000000	0.0375594 	24.000000	0.0369139 	24.000000	0.0369258 	24.000000	0.0375414 	24.000000	1.79788e-05	
25.000000	0.0372593 	25.000000	0.0363526 	25.000000	0.0356757 	25.000000	0.035686  	25.000000	0.0363352 	25.000000	1.73261e-05	
27.000000	0.0349954 	27.000000	0.0341807 	27.000000	0.0334428 	27.000000	0.0334499 	27.000000	0.0341646 	27.000000	1.61585e-05	
29.000000	0.0330203 	29.000000	0.0322802 	29.000000	0.0314847 	29.000000	0.0314878 	29.000000	0.032265  	29.000000	1.51443e-05	
