Energy (MeV/u)	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	2 - ATIMA 1.2  LS-theory (recommended for high energy)	3 - ATIMA 1.2  without LS-correction	4 - Range straggling - method [0] - LISE	5 - Range straggling - method [1] - Atima	6 - Lateral range - method [0] - LISE	7 - Lateral range - method [1] - Atima	8 - Lateral range - method [2] - PDG
16573.034376	1.20349e+07	1.41718e+07	1.8703e+07	1.87955e+07	28404.8   	68250.5   	11496.2   	12306.5   	17966.6   
16666.667333	1.20681e+07	1.42257e+07	1.88037e+07	1.88966e+07	28482.1   	68740     	11534.1   	12347.1   	18028     
16760.300290	1.21013e+07	1.42795e+07	1.89043e+07	1.89977e+07	28559.4   	69229.4   	11572     	12387.7   	18089.4   
16853.933247	1.21345e+07	1.43334e+07	1.9005e+07	1.90988e+07	28636.7   	69718.9   	11610     	12428.3   	18150.8   
16947.566204	1.21677e+07	1.43872e+07	1.91057e+07	1.91999e+07	28714     	70208.4   	11647.9   	12468.9   	18212.3   
17041.199161	1.21999e+07	1.44402e+07	1.92061e+07	1.93008e+07	28790     	70702.1   	11685.5   	12509     	18273     
17134.832118	1.2231e+07	1.44921e+07	1.93062e+07	1.94013e+07	28864.5   	71201.1   	11722.7   	12548.6   	18333     
17228.465075	1.22621e+07	1.45439e+07	1.94063e+07	1.95019e+07	28939     	71700.2   	11759.9   	12588.1   	18392.9   
17322.098032	1.22931e+07	1.45958e+07	1.95065e+07	1.96024e+07	29013.6   	72199.2   	11797.2   	12627.7   	18452.9   
17415.730989	1.23242e+07	1.46476e+07	1.96066e+07	1.9703e+07	29088.1   	72698.2   	11834.4   	12667.3   	18512.8   
17509.363946	1.23552e+07	1.46995e+07	1.97067e+07	1.98035e+07	29162.6   	73197.3   	11871.6   	12706.9   	18572.7   
17602.996903	1.23863e+07	1.47513e+07	1.98068e+07	1.99041e+07	29237.1   	73696.3   	11908.8   	12746.4   	18632.7   
17696.629860	1.24173e+07	1.48032e+07	1.9907e+07	2.00046e+07	29311.6   	74195.4   	11946.1   	12786     	18692.6   
17790.262816	1.24484e+07	1.4855e+07	2.00071e+07	2.01052e+07	29386.1   	74694.4   	11983.3   	12825.6   	18752.6   
17883.895773	1.24794e+07	1.49069e+07	2.01072e+07	2.02057e+07	29460.6   	75193.5   	12020.5   	12865.2   	18812.5   
17977.528730	1.25105e+07	1.49587e+07	2.02073e+07	2.03063e+07	29535.2   	75692.5   	12057.7   	12904.7   	18872.4   
18071.161687	1.25401e+07	1.50091e+07	2.03071e+07	2.04064e+07	29607.8   	76198.8   	12094.5   	12943.6   	18931.4   
18164.794644	1.25692e+07	1.50591e+07	2.04067e+07	2.05065e+07	29679.8   	76707.3   	12131.1   	12982.3   	18990     
18258.427601	1.25983e+07	1.51091e+07	2.05063e+07	2.06065e+07	29751.8   	77215.8   	12167.7   	13021     	19048.7   
18352.060558	1.26274e+07	1.51591e+07	2.06059e+07	2.07066e+07	29823.8   	77724.4   	12204.3   	13059.7   	19107.3   
18445.693515	1.26565e+07	1.52091e+07	2.07055e+07	2.08066e+07	29895.8   	78232.9   	12240.9   	13098.3   	19165.9   
18539.326472	1.26856e+07	1.52591e+07	2.08052e+07	2.09066e+07	29967.8   	78741.4   	12277.5   	13137     	19224.5   
18632.959429	1.27147e+07	1.53091e+07	2.09048e+07	2.10067e+07	30039.8   	79249.9   	12314.1   	13175.7   	19283.2   
18726.592386	1.27438e+07	1.53591e+07	2.10044e+07	2.11067e+07	30111.8   	79758.4   	12350.7   	13214.4   	19341.8   
18820.225343	1.27729e+07	1.5409e+07	2.1104e+07	2.12067e+07	30183.8   	80267     	12387.3   	13253.1   	19400.4   
18913.858300	1.28021e+07	1.5459e+07	2.12036e+07	2.13068e+07	30255.8   	80775.5   	12423.9   	13291.8   	19459.1   
19007.491257	1.2831e+07	1.55089e+07	2.13032e+07	2.14068e+07	30327.6   	81284.8   	12460.4   	13330.4   	19517.6   
19101.124213	1.28584e+07	1.55571e+07	2.14024e+07	2.15063e+07	30397.3   	81802.7   	12496.5   	13368.3   	19575     
19194.757170	1.28857e+07	1.56054e+07	2.15015e+07	2.16059e+07	30467     	82320.5   	12532.5   	13406.1   	19632.5   
19288.390127	1.29131e+07	1.56537e+07	2.16006e+07	2.17054e+07	30536.7   	82838.4   	12568.6   	13444     	19690     
19382.023084	1.29404e+07	1.57019e+07	2.16998e+07	2.1805e+07	30606.4   	83356.3   	12604.6   	13481.9   	19747.4   
19475.656041	1.29678e+07	1.57502e+07	2.17989e+07	2.19045e+07	30676.1   	83874.2   	12640.7   	13519.8   	19804.9   
19569.288998	1.29951e+07	1.57984e+07	2.1898e+07	2.20041e+07	30745.8   	84392.1   	12676.7   	13557.7   	19862.3   
19662.921955	1.30224e+07	1.58467e+07	2.19972e+07	2.21036e+07	30815.5   	84910     	12712.8   	13595.6   	19919.8   
19756.554912	1.30498e+07	1.5895e+07	2.20963e+07	2.22032e+07	30885.2   	85427.9   	12748.8   	13633.5   	19977.3   
