Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
24.000000	0.0231834 	24.000000	0.026676  	24.000000	0.0263351 	24.000000	0.0263425 	24.000000	0.026663  	24.000000	1.29654e-05	
25.000000	0.0224243 	25.000000	0.0257944 	25.000000	0.0254759 	25.000000	0.0254824 	25.000000	0.0257819 	25.000000	1.24919e-05	
27.000000	0.0210617 	27.000000	0.024212  	27.000000	0.0239463 	27.000000	0.0239507 	27.000000	0.0242004 	27.000000	1.16453e-05	
29.000000	0.019873  	29.000000	0.0228316 	29.000000	0.0226279 	29.000000	0.0226298 	29.000000	0.0228207 	29.000000	1.09103e-05	
31.000000	0.0188264 	31.000000	0.0216162 	31.000000	0.0214586 	31.000000	0.0214581 	31.000000	0.0216059 	31.000000	1.02658e-05	
33.000000	0.0178973 	33.000000	0.0205375 	33.000000	0.0204017 	33.000000	0.0203989 	33.000000	0.0205278 	33.000000	9.69597e-06	
35.000000	0.0170666 	35.000000	0.0195735 	35.000000	0.0194561 	35.000000	0.0194514 	35.000000	0.0195643 	35.000000	9.18836e-06	
38.000000	0.015973  	38.000000	0.0183047 	38.000000	0.0182103 	38.000000	0.0182031 	38.000000	0.0182962 	38.000000	8.52275e-06	
41.000000	0.0150283 	41.000000	0.0172095 	41.000000	0.0171332 	41.000000	0.0171241 	41.000000	0.0172015 	41.000000	7.95033e-06	
44.000000	0.0142035 	44.000000	0.0162539 	44.000000	0.0161922 	44.000000	0.0161816 	44.000000	0.0162465 	44.000000	7.45261e-06	
47.000000	0.0134767 	47.000000	0.0154126 	47.000000	0.015363  	47.000000	0.0153507 	47.000000	0.0154056 	47.000000	7.01568e-06	
50.000000	0.0128312 	50.000000	0.014666  	50.000000	0.0146247 	50.000000	0.0146126 	50.000000	0.0146594 	50.000000	6.62892e-06	
55.000000	0.0119013 	55.000000	0.0135919 	55.000000	0.0135619 	55.000000	0.0135491 	55.000000	0.0135858 	55.000000	6.07417e-06	
60.000000	0.0111162 	60.000000	0.0126864 	60.000000	0.012665  	60.000000	0.0126513 	60.000000	0.0126808 	60.000000	5.60805e-06	
65.000000	0.0104438 	65.000000	0.0119125 	65.000000	0.011896  	65.000000	0.0118826 	65.000000	0.0119073 	65.000000	5.21068e-06	
70.000000	0.00986111	70.000000	0.0112429 	70.000000	0.0112315 	70.000000	0.0112169 	70.000000	0.0112381 	70.000000	4.86774e-06	
75.000000	0.00935092	75.000000	0.0106578 	75.000000	0.0106483 	75.000000	0.0106343 	75.000000	0.0106533 	75.000000	4.56864e-06	
80.000000	0.00890024	80.000000	0.010142  	80.000000	0.0101347 	80.000000	0.0101202 	80.000000	0.0101377 	80.000000	4.30538e-06	
85.000000	0.008499  	85.000000	0.00968361	85.000000	0.00967674	85.000000	0.00966293	85.000000	0.00967954	85.000000	4.07183e-06	
90.000000	0.00813933	90.000000	0.00927356	90.000000	0.00926782	90.000000	0.00925349	90.000000	0.00926969	90.000000	3.86316e-06	
95.000000	0.00781494	95.000000	0.00890449	95.000000	0.00889835	95.000000	0.00888468	95.000000	0.00890081	95.000000	3.67556e-06	
100.000000	0.00752077	100.000000	0.00857048	100.000000	0.00856481	100.000000	0.00855068	100.000000	0.00856698	100.000000	3.50595e-06	
105.000000	0.00725269	105.000000	0.00826673	105.000000	0.00826027	105.000000	0.00824673	105.000000	0.00826338	105.000000	3.35184e-06	
110.000000	0.00700729	110.000000	0.00798926	110.000000	0.00798276	110.000000	0.00796893	110.000000	0.00798605	110.000000	3.21117e-06	
115.000000	0.00678176	115.000000	0.00773477	115.000000	0.00772755	115.000000	0.00771402	115.000000	0.00773169	115.000000	3.08223e-06	
120.000000	0.0065737 	120.000000	0.00750051	120.000000	0.00749263	120.000000	0.00747925	120.000000	0.00749754	120.000000	2.9636e-06	
125.000000	0.00638112	125.000000	0.00728412	125.000000	0.00727594	125.000000	0.00726231	125.000000	0.00728127	125.000000	2.85408e-06	
130.000000	0.00620231	130.000000	0.00708363	130.000000	0.00707437	130.000000	0.00706124	130.000000	0.00708087	130.000000	2.75264e-06	
135.000000	0.0060358 	135.000000	0.00689733	135.000000	0.00688695	135.000000	0.00687435	135.000000	0.00689467	135.000000	2.65842e-06	
