* numtel = ssdindex * 9 + csiindex
* numtel      Z         A         ECsI_MeV        ECsI_Ch
    0         6        12        65.9503           1082
    0         6        12        75.5271           1208
    0         6        12        84.9071           1334
    0         6        12        94.0818           1460
    0         6        12        103.037           1586
    0         6        12        111.767           1712
    0         6        12        120.227           1838
    0         6        12        128.436           1964
    0         6        12        136.425           2090
    0         6        12        144.196           2216
    0         6        12         151.77           2342
    0         6        12        159.162           2468
    0         6        12        166.403           2594
    0         6        12        173.532           2720
    0         6        12        180.566           2846
    0         6        12        187.545           2972
    0         6        12        194.467           3098
    0         6        12        201.376           3224
    0         6        12        208.241           3350
    0         6        12        215.058           3476
    0         6        12        221.768           3602
    0         6        12        228.309           3728
    0         6        12        234.533           3854
    0         6        12        240.293           3980
    0         6        13       0.674991            328
    0         6        13         13.765            456
    0         6        13        25.5191            584
    0         6        13        36.5081            712
    0         6        13        47.0489            840
    0         6        13        57.2986            968
    0         6        13        67.3196           1096
    0         6        13        77.1361           1224
    0         6        13        86.7529           1352
    0         6        13        96.1664           1480
    0         6        13        105.371           1608
    0         6        13        114.358           1736
    0         6        13        123.129           1864
    0         6        13        131.636           1992
    0         6        13        139.923           2120
    0         6        13        148.016           2248
    0         6        13        155.919           2376
    0         6        13         163.66           2504
    0         6        13        171.243           2632
    0         6        13        178.708           2760
    0         6        13        186.056           2888
    0         6        13        193.304           3016
    0         6        13        200.446           3144
    0         6        13        207.465           3272
    0         6        13        214.323           3400
    0         6        13         220.93           3528
    0         6        13        227.192           3656
    0         6        13        232.961           3784
    0         6        13        238.037           3912
    0         6        13        242.134           4040
    0         6        14        1.46097            344
    0         6        14        9.25309            416
    0         6        14        16.4534            488
    0         6        14        23.1591            560
    0         6        14        29.5691            632
    0         6        14        35.7758            704
    0         6        14        41.8281            776
    0         6        14        47.7663            848
    0         6        14        53.6129            920
    0         6        14        59.3824            992
    0         6        14        65.0839           1064
    0         6        14         70.721           1136
    0         6        14        76.2973           1208
    0         6        14        81.8125           1280
    0         6        14        87.2674           1352
    0         6        14        92.6597           1424
    0         6        14        97.9879           1496
    0         6        14        103.251           1568
    0         6        14        108.445           1640
    0         6        14         113.57           1712
    0         6        14        118.625           1784
    0         6        14        123.607           1856
    0         6        14        128.518           1928
    0         6        14        133.355           2000
    0         6        14        138.101           2072
    0         6        14        142.765           2144
    0         6        14        147.359           2216
    0         6        14        151.888           2288
    0         6        14         156.36           2360
    1         1         1        7.32081            200
    1         1         1         8.7592            223
    1         1         1        10.0926            246
    1         1         1        11.3298            269
    1         1         1        12.5005            292
    1         1         1        13.6159            315
    1         1         1        14.6883            338
    1         1         1        15.7274            361
    1         1         1        16.7413            384
    1         1         1         17.737            407
    1         1         1        18.7202            430
    1         1         1        19.6956            453
    1         1         1        20.6671            476
    1         1         1        21.6372            499
    1         1         1        22.6079            522
    1         1         1        23.5801            545
    1         1         1        24.5539            568
    1         1         1        25.5283            591
    1         1         1        26.5016            614
    1         1         1        27.4713            637
    1         1         1        28.4341            660
    1         1         1         29.386            683
    1         1         1        30.3225            706
    1         1         1        31.2385            729
    1         1         1        32.1292            752
    1         1         1        32.9897            775
    1         1         1        33.8154            798
    1         1         1        34.6029            821
    1         1         1        35.3495            844
    1         1         1        36.0546            867
    1         1         1        36.7193            890
    1         1         1        37.3472            913
    1         1         2        4.83503            200
    1         1         2        7.90653            252
    1         1         2        11.1662            304
    1         1         2        14.5813            356
    1         1         2        18.0791            408
    1         1         2         21.523            460
    1         1         2          24.82            512
    1         1         2        27.9107            564
    1         1         2        30.7448            616
    1         1         2        33.3044            668
    1         1         2        35.6072            720
    1         1         2        37.7008            772
    1         1         2        39.6528            824
    1         1         2        41.5393            876
    1         1         2        43.4353            928
    1         1         2        45.4077            980
    1         1         2        47.5095           1032
    1         1         2         49.776           1084
    1         1         2        52.2205           1136
    1         1         2          54.83           1188
    1         1         2        57.5617           1240
    1         1         2        60.3407           1292
    1         1         2        63.0624           1344
    1         1         2        65.6027           1396
    1         1         2        67.8386           1448
    1         1         2        69.6788           1500
    1         1         2        71.1015           1552
    1         1         2        72.1911           1604
    1         1         2        73.1692           1656
