# Fiiting funtion = par[0] + par[1]*x && y=a*x+b, so a = par[1], b = par[0];  0.0 isn't a peak
# SSDNum   CHNum    par1(a)   err_par0   par0(b)   err_par1    peak1    peak2    peak3    peak4    peak5    peak6     peak7    peak8     peak9     peak10     peak11
     3        3   2954.9234    4.4166   80.5814    2.3055     3033.5    1562.5    819.5    671.5    373.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        4   3234.9234    4.4166   94.5814    2.3055     3327.5    1716.5    903.5    741.5    415.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        5   2997.3563    4.4886   76.1839    2.3431     3071.5    1579.5    825.5    675.5    373.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        6   3200.3831    4.9210   78.3429    2.5689     3276.5    1683.5    878.5    718.5    395.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        7   3185.1149    5.7371   79.0029    2.9948     3261.5    1677.5    875.5    715.5    394.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        8   3229.8084    5.2389   75.0785    2.7348     3302.5    1695.5    882.5    720.5    395.5      0.0      0.0      0.0      0.0      0.0      0.0
     3        9   3114.3295    4.0759   72.0249    2.1277     3184.5    1633.5    850.5    694.5    381.5      0.0      0.0      0.0      0.0      0.0      0.0
     3       10   3125.0766    4.4166  100.4186    2.3055     3223.5    1667.5    881.5    725.5    410.5      0.0      0.0      0.0      0.0      0.0      0.0
     3       11   2996.8199    5.1492   78.0038    2.6880     3072.5    1581.5    827.5    677.5    374.5      0.0      0.0      0.0      0.0      0.0      0.0
     3       12   3232.6628    4.9967  102.1082    2.6084     3332.5    1723.5    910.5    748.5    422.5      0.0      0.0      0.0      0.0      0.0      0.0
     3       13   3311.6667    4.6424   79.9167    2.4234     3389.5    1740.5    907.5    742.5    408.5      0.0      0.0      0.0      0.0      0.0      0.0
     3       14   3316.0536    4.1269   79.3180    2.1543     3393.5    1741.5    908.5    742.5    408.5      0.0      0.0      0.0      0.0      0.0      0.0
     3       15   2847.3755    5.1543   74.4761    2.6906     2919.5    1503.5    786.5    643.5    356.5      0.0      0.0      0.0      0.0      0.0      0.0
