*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
6.500000	214.484   	6.500000	204.395   	6.500000	207.253   	6.500000	207.253   	6.500000	1.59793   	6.500000	1.02658   	6.500000	1.62871   	6.500000	1.659     	6.500000	1.647
7.000000	240.797   	7.000000	230.581   	7.000000	233.491   	7.000000	233.491   	7.000000	1.80827   	7.000000	1.14929   	7.000000	1.8139    	7.000000	1.83737   	7.000000	1.83542
7.500000	268.406   	7.500000	258.069   	7.500000	261.084   	7.500000	261.084   	7.500000	2.02979   	7.500000	1.27738   	7.500000	2.00869   	7.500000	2.02391   	7.500000	2.03364
8.000000	297.293   	8.000000	286.835   	8.000000	290.008   	8.000000	290.008   	8.000000	2.26219   	8.000000	1.41066   	8.000000	2.21281   	8.000000	2.21834   	8.000000	2.24138
8.500000	327.441   	8.500000	316.855   	8.500000	320.239   	8.500000	320.239   	8.500000	2.50522   	8.500000	1.54894   	8.500000	2.42602   	8.500000	2.42044   	8.500000	2.45841
9.000000	358.835   	9.000000	348.109   	9.000000	351.754   	9.000000	351.754   	9.000000	2.75863   	9.000000	1.69206   	9.000000	2.64812   	9.000000	2.62997   	9.000000	2.6845
9.500000	391.46    	9.500000	380.577   	9.500000	384.534   	9.500000	384.534   	9.500000	3.02223   	9.500000	1.83989   	9.500000	2.87888   	9.500000	2.84674   	9.500000	2.91944
10.000000	425.303   	10.000000	414.234   	10.000000	418.56    	10.000000	418.56    	10.000000	3.29583   	10.000000	1.99236   	10.000000	3.11811   	10.000000	3.07054   	10.000000	3.16303
11.000000	496.589   	11.000000	484.372   	11.000000	490.184   	11.000000	490.175   	11.000000	3.8701    	11.000000	2.31118   	11.000000	3.62032   	11.000000	3.53772   	11.000000	3.67448
12.000000	572.596   	12.000000	558.672   	12.000000	566.399   	12.000000	566.363   	12.000000	4.47836   	12.000000	2.65125   	12.000000	4.15242   	12.000000	4.02936   	12.000000	4.21648
13.000000	653.235   	13.000000	637.13    	13.000000	647.092   	13.000000	647.016   	13.000000	5.11998   	13.000000	3.01165   	13.000000	4.71315   	13.000000	4.54423   	13.000000	4.78776
14.000000	738.427   	14.000000	719.731   	14.000000	732.163   	14.000000	732.034   	14.000000	5.79435   	14.000000	3.39055   	14.000000	5.29838   	14.000000	5.08139   	14.000000	5.38486
15.000000	828.096   	15.000000	806.457   	15.000000	821.519   	15.000000	821.332   	15.000000	6.50086   	15.000000	3.78684   	15.000000	5.90896   	15.000000	5.64006   	15.000000	6.00741
16.000000	922.174   	16.000000	897.282   	16.000000	915.082   	16.000000	914.831   	16.000000	7.23898   	16.000000	4.19961   	16.000000	6.54635   	16.000000	6.21967   	16.000000	6.65739
17.000000	1020.59   	17.000000	992.181   	17.000000	1012.78   	17.000000	1012.46   	17.000000	8.00822   	17.000000	4.62793   	17.000000	7.20983   	17.000000	6.81712   	17.000000	7.3341
18.000000	1123.3    	18.000000	1091.13   	18.000000	1114.54   	18.000000	1114.15   	18.000000	8.80811   	18.000000	5.07111   	18.000000	7.89881   	18.000000	7.43259   	18.000000	8.03695
