*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG	
25.000000	1154.23   	25.000000	1130.43   	25.000000	1138.82   	25.000000	1137.22   	25.000000	9.8233    	25.000000	5.51863   	25.000000	3.18864   	25.000000	3.08905   	25.000000	3.09833
27.000000	1321.93   	27.000000	1294.41   	27.000000	1306.13   	27.000000	1304.22   	27.000000	11.3233   	27.000000	6.29405   	27.000000	3.65698   	27.000000	3.51957   	27.000000	3.55731
29.000000	1499.69   	29.000000	1468.4    	29.000000	1484.19   	29.000000	1481.98   	29.000000	12.9275   	29.000000	7.1165    	29.000000	4.15668   	29.000000	3.97649   	29.000000	4.04753
31.000000	1687.35   	31.000000	1652.27   	31.000000	1672.83   	31.000000	1670.34   	31.000000	14.6328   	31.000000	7.98383   	31.000000	4.68721   	31.000000	4.45925   	31.000000	4.56853
33.000000	1884.74   	33.000000	1845.87   	33.000000	1871.37   	33.000000	1868.65   	33.000000	16.4236   	33.000000	8.8884    	33.000000	5.24587   	33.000000	4.96549   	33.000000	5.11771
35.000000	2091.72   	35.000000	2049.09   	35.000000	2079.56   	35.000000	2076.67   	35.000000	18.2966   	35.000000	9.82897   	35.000000	5.83159   	35.000000	5.49418   	35.000000	5.69406
38.000000	2419.88   	38.000000	2371.66   	38.000000	2409.66   	38.000000	2406.62   	38.000000	21.2585   	38.000000	11.3058   	38.000000	6.75935   	38.000000	6.32785   	38.000000	6.60813
41.000000	2768.87   	41.000000	2715.17   	41.000000	2760.77   	41.000000	2757.71   	41.000000	24.4018   	41.000000	12.8601   	41.000000	7.74468   	41.000000	7.20888   	41.000000	7.58035
44.000000	3138.27   	44.000000	3079.25   	44.000000	3132.53   	44.000000	3129.54   	44.000000	27.7239   	44.000000	14.4912   	44.000000	8.78611   	44.000000	8.13589   	44.000000	8.60942
47.000000	3527.71   	47.000000	3463.53   	47.000000	3524.59   	47.000000	3521.74   	47.000000	31.222    	47.000000	16.1991   	47.000000	9.88242   	47.000000	9.10777   	47.000000	9.6943
