*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - Range straggling - method [0] - LISE	Energy (MeV/u)6	5 - Range straggling - method [1] - Atima	Energy (MeV/u)7	6 - Lateral range - method [0] - LISE	Energy (MeV/u)8	7 - Lateral range - method [1] - Atima	Energy (MeV/u)9	8 - Lateral range - method [2] - PDG
2.000000	74.8262   	2.000000	73.6994   	2.000000	73.2698   	2.000000	73.2698   	2.000000	0.550311  	2.000000	0.427069  	2.000000	0.785545  	2.000000	0.825422  	2.000000	0.787843
2.250000	88.9713   	2.250000	87.6309   	2.250000	87.1109   	2.250000	87.1109   	2.250000	0.658508  	2.250000	0.501074  	2.250000	0.890667  	2.250000	0.932704  	2.250000	0.894205
2.500000	104.124   	2.500000	102.54    	2.500000	101.938   	2.500000	101.938   	2.500000	0.7749    	2.500000	0.5794    	2.500000	1.00311   	2.500000	1.0463    	2.500000	1.00806
3.000000	137.76    	3.000000	135.205   	3.000000	134.47    	3.000000	134.47    	3.000000	1.03159   	3.000000	0.748564  	3.000000	1.2496    	3.000000	1.29198   	3.000000	1.2578
3.500000	174.873   	3.500000	171.54    	3.500000	170.722   	3.500000	170.722   	3.500000	1.31916   	3.500000	0.933625  	3.500000	1.52411   	3.500000	1.56146   	3.500000	1.53609
4.000000	215.358   	4.000000	211.412   	4.000000	210.567   	4.000000	210.567   	4.000000	1.63647   	4.000000	1.13372   	4.000000	1.82559   	4.000000	1.85366   	4.000000	1.8418
4.500000	259.126   	4.500000	254.705   	4.500000	253.895   	4.500000	253.895   	4.500000	1.9825    	4.500000	1.34815   	4.500000	2.15301   	4.500000	2.16758   	4.500000	2.17386
5.000000	306.098   	5.000000	301.313   	5.000000	300.608   	5.000000	300.608   	5.000000	2.35629   	5.000000	1.57632   	5.000000	2.50538   	5.000000	2.50225   	5.000000	2.53125
5.500000	356.209   	5.500000	351.143   	5.500000	350.616   	5.500000	350.616   	5.500000	2.75699   	5.500000	1.81765   	5.500000	2.88182   	5.500000	2.85684   	5.500000	2.91306
6.000000	409.395   	6.000000	404.112   	6.000000	403.838   	6.000000	403.838   	6.000000	3.18382   	6.000000	2.07166   	6.000000	3.28152   	6.000000	3.23055   	6.000000	3.31845
6.500000	465.605   	6.500000	460.143   	6.500000	460.202   	6.500000	460.202   	6.500000	3.63608   	6.500000	2.33792   	6.500000	3.7038    	6.500000	3.62273   	6.500000	3.74674
7.000000	524.787   	7.000000	519.168   	7.000000	519.643   	7.000000	519.643   	7.000000	4.11316   	7.000000	2.61602   	7.000000	4.14799   	7.000000	4.0327    	7.000000	4.19722
7.500000	586.896   	7.500000	581.124   	7.500000	582.099   	7.500000	582.099   	7.500000	4.61449   	7.500000	2.90564   	7.500000	4.61353   	7.500000	4.45995   	7.500000	4.66934
8.000000	651.891   	8.000000	645.954   	8.000000	647.517   	8.000000	647.517   	8.000000	5.13956   	8.000000	3.20647   	8.000000	5.09989   	8.000000	4.90395   	8.000000	5.16255
8.500000	719.733   	8.500000	713.605   	8.500000	715.846   	8.500000	715.846   	8.500000	5.68793   	8.500000	3.51826   	8.500000	5.60663   	8.500000	5.36429   	8.500000	5.6764
9.000000	790.386   	9.000000	784.031   	9.000000	787.04    	9.000000	787.04    	9.000000	6.25918   	9.000000	3.84076   	9.000000	6.13332   	9.000000	5.84055   	9.000000	6.21046
9.500000	863.816   	9.500000	857.187   	9.500000	861.056   	9.500000	861.056   	9.500000	6.85293   	9.500000	4.1737    	9.500000	6.67959   	9.500000	6.33237   	9.500000	6.76434
10.000000	939.991   	10.000000	933.014   	10.000000	937.855   	10.000000	937.855   	10.000000	7.46883   	10.000000	4.51679   	10.000000	7.24506   	10.000000	6.8394    	10.000000	7.33768
11.000000	1100.46   	11.000000	1091.02   	11.000000	1099.45   	11.000000	1099.44   	11.000000	8.7612    	11.000000	5.23355   	11.000000	8.42639   	11.000000	7.89608   	11.000000	8.53616
12.000000	1271.56   	12.000000	1258.38   	12.000000	1271.36   	12.000000	1271.33   	12.000000	10.1301   	12.000000	5.99797   	12.000000	9.67466   	12.000000	9.00637   	12.000000	9.80189
13.000000	1453.11   	13.000000	1435.09   	13.000000	1453.33   	13.000000	1453.27   	13.000000	11.5744   	13.000000	6.80848   	13.000000	10.9901   	13.000000	10.1643   	13.000000	11.1357
14.000000	1644.91   	14.000000	1621.12   	14.000000	1645.16   	14.000000	1645.06   	14.000000	13.0927   	14.000000	7.66085   	14.000000	12.3706   	14.000000	11.37     	14.000000	12.5353
15.000000	1846.79   	15.000000	1816.43   	15.000000	1846.65   	15.000000	1846.51   	15.000000	14.684    	15.000000	8.55224   	15.000000	13.8143   	15.000000	12.6247   	15.000000	13.9991
16.000000	2058.61   	16.000000	2020.97   	16.000000	2057.63   	16.000000	2057.44   	16.000000	16.347    	16.000000	9.4808    	16.000000	15.3197   	16.000000	13.9268   	16.000000	15.5255
17.000000	2280.2    	17.000000	2234.67   	17.000000	2277.94   	17.000000	2277.71   	17.000000	18.0808   	17.000000	10.4451   	17.000000	16.8856   	17.000000	15.2753   	17.000000	17.1133
18.000000	2511.44   	18.000000	2457.48   	18.000000	2507.42   	18.000000	2507.16   	18.000000	19.884    	18.000000	11.4437   	18.000000	18.5108   	18.000000	16.669    	18.000000	18.7613
