*Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
50.000000	0.0213198 	50.000000	0.0209293 	50.000000	0.0205246 	50.000000	0.0205053 	50.000000	0.0209201 	50.000000	9.15303e-06
55.000000	0.0197747 	55.000000	0.0194227 	55.000000	0.0190671 	55.000000	0.0190467 	55.000000	0.0194143 	55.000000	8.39139e-06
60.000000	0.0184702 	60.000000	0.0181503 	60.000000	0.0178342 	60.000000	0.0178124 	60.000000	0.0181426 	60.000000	7.75107e-06
65.000000	0.017353  	65.000000	0.017061  	65.000000	0.0167748 	65.000000	0.0167535 	65.000000	0.0170538 	65.000000	7.2049e-06
70.000000	0.0163848 	70.000000	0.0161174 	70.000000	0.015858  	70.000000	0.0158346 	70.000000	0.0161106 	70.000000	6.73331e-06
75.000000	0.0155371 	75.000000	0.0152918 	75.000000	0.0150516 	75.000000	0.0150294 	75.000000	0.0152855 	75.000000	6.32182e-06
80.000000	0.0147883 	80.000000	0.0145632 	80.000000	0.0143408 	80.000000	0.0143176 	80.000000	0.0145572 	80.000000	5.9595e-06
85.000000	0.0141216 	85.000000	0.0139152 	85.000000	0.0137057 	85.000000	0.0136838 	85.000000	0.0139096 	85.000000	5.63794e-06
90.000000	0.013524  	90.000000	0.0133351 	90.000000	0.0131383 	90.000000	0.0131155 	90.000000	0.0133298 	90.000000	5.35054e-06
95.000000	0.012985  	95.000000	0.0128126 	95.000000	0.0126249 	95.000000	0.0126031 	95.000000	0.0128075 	95.000000	5.09208e-06
100.000000	0.0124962 	100.000000	0.0123395 	100.000000	0.0121611 	100.000000	0.0121386 	100.000000	0.0123346 	100.000000	4.85833e-06
105.000000	0.0120508 	105.000000	0.0119089 	105.000000	0.011737  	105.000000	0.0117155 	105.000000	0.0119043 	105.000000	4.64587e-06
110.000000	0.011643  	110.000000	0.0115154 	110.000000	0.0113504 	110.000000	0.0113284 	110.000000	0.011511  	110.000000	4.45189e-06
115.000000	0.0112683 	115.000000	0.0111544 	115.000000	0.0109945 	115.000000	0.0109729 	115.000000	0.0111501 	115.000000	4.27404e-06
120.000000	0.0109226 	120.000000	0.0108218 	120.000000	0.0106666 	120.000000	0.0106453 	120.000000	0.0108177 	120.000000	4.11038e-06
125.000000	0.0106026 	125.000000	0.0105146 	125.000000	0.0103641 	125.000000	0.0103424 	125.000000	0.0105106 	125.000000	3.95924e-06
